Japan | ISCONTAINEDIN | East Asia
Overthrow Of Kamakura Shogunate | OCCURSAT | Japan
Overthrow Of Kamakura Shogunate | ISRELATEDTO | Kamakura Shogunate
Defeat Of Go-Daigo (1336) | OCCURSAT | Japan
Defeat Of Go-Daigo (1336) | ISRELATEDTO | Muromachi Period
Defeat Of Go-Daigo (1336) | ISRELATEDTO | Ashikaga Shogunate
Unification By Toyotomi Hideyoshi | OCCURSAT | Japan
Japanese Invasions Of Korea (1592–1598) | OCCURSAT | Korea
Battle Of Sekigahara | OCCURSAT | Japan
Establishment Of Tokugawa Shogunate | OCCURSAT | Edo
Establishment Of Tokugawa Shogunate | ISRELATEDTO | Tokugawa Shogunate
Enactment Of Buke Shohatto | OCCURSAT | Japan
Sakoku Policy (1639) | OCCURSAT | Japan
Perry Expedition | OCCURSAT | Uraga
Perry Expedition | ISRELATEDTO | United States Navy
Convention Of Kanagawa | OCCURSAT | Kanagawa
Convention Of Kanagawa | ISRELATEDTO | Japan
Convention Of Kanagawa | ISRELATEDTO | United States
Boshin War | OCCURSAT | Japan
Meiji Restoration | OCCURSAT | Japan
Boshin War | ISRELATEDTO | Meiji Restoration
Meiji Constitution | OCCURSAT | Japan
Meiji Constitution | ISRELATEDTO | Imperial Diet
Meiji Constitution | ISRELATEDTO | Privy Council
Meiji Constitution | ISRELATEDTO | Cabinet
First Sino-Japanese War | OCCURSAT | East Asia
Russo-Japanese War | OCCURSAT | East Asia
Annexation Of Korea (1910) | OCCURSAT | Korea
Annexation Of Korea (1910) | ISRELATEDTO | Japan
World War I | OCCURSAT | Japan
Establishment Of Manchukuo (1932) | OCCURSAT | Manchuria
Establishment Of Manchukuo (1932) | ISRELATEDTO | Manchukuo
Establishment Of Manchukuo (1932) | ISRELATEDTO | Japan
Anti-Comintern Pact (1936) | ISRELATEDTO | Japan
Anti-Comintern Pact (1936) | ISRELATEDTO | Nazi Germany
Tripartite Pact (1940) | ISRELATEDTO | Japan
Tripartite Pact (1940) | ISRELATEDTO | Axis Powers
Axis Powers | WASPRESENTAT | World War Ii
Allies | WASPRESENTAT | World War Ii
Empire Of Japan | WASPRESENTAT | World War Ii
Invasion Of China (1937) | OCCURSAT | China
Invasion Of China (1937) | ISRELATEDTO | Japan
Invasion Of French Indochina (1940) | OCCURSAT | French Indochina
Invasion Of French Indochina (1940) | ISRELATEDTO | Japan
Attack On Pearl Harbor | OCCURSAT | Pearl Harbor
Attack On Pearl Harbor | ISRELATEDTO | Japan
Attacks On Malaya, Singapore, And Hong Kong (1941) | OCCURSAT | Malaya
Attacks On Malaya, Singapore, And Hong Kong (1941) | OCCURSAT | Singapore
Attacks On Malaya, Singapore, And Hong Kong (1941) | OCCURSAT | Hong Kong
Attacks On Malaya, Singapore, And Hong Kong (1941) | ISRELATEDTO | Japan
Pacific War | OCCURSAT | Pacific Ocean
Pacific War | ISPARTOF | World War Ii
Second Sino-Japanese War | OCCURSAT | China
Second Sino-Japanese War | ISPARTOF | World War Ii
Atomic Bombings Of Hiroshima And Nagasaki | OCCURSAT | Hiroshima
Atomic Bombings Of Hiroshima And Nagasaki | OCCURSAT | Nagasaki
Atomic Bombings Of Hiroshima And Nagasaki | ISPARTOF | World War Ii
Soviet Invasion Of Manchuria | OCCURSAT | Manchuria
Soviet Invasion Of Manchuria | ISPARTOF | World War Ii
Surrender Of Japan (1945) | OCCURSAT | Japan
Surrender Of Japan (1945) | ISPARTOF | World War Ii
Allied Occupation Of Japan | OCCURSAT | Japan
Allied Occupation Of Japan | ISRELATEDTO | Allies
Allied Occupation Of Japan | ISRELATEDTO | United States
Adoption Of 1947 Constitution | OCCURSAT | Japan
Treaty Of San Francisco | OCCURSAT | San Francisco
Treaty Of San Francisco | ISRELATEDTO | Allied Occupation Of Japan
Treaty Of San Francisco | ISRELATEDTO | Japan
United Nations Membership (1956) | OCCURSAT | Japan
United Nations Membership (1956) | ISRELATEDTO | United Nations
Collapse Of Japanese Asset Price Bubble | OCCURSAT | Japan
Lost Decades | OCCURSAT | Japan
Collapse Of Japanese Asset Price Bubble | ISRELATEDTO | Lost Decades
1923 Great Tokyo Earthquake | OCCURSAT | Tokyo
1995 Great Hanshin Earthquake | OCCURSAT | Japan
2011 Tōhoku Earthquake | OCCURSAT | Japan
2011 Tōhoku Earthquake | ISRELATEDTO | Fukushima Daiichi Nuclear Disaster
Fukushima Daiichi Nuclear Disaster | OCCURSAT | Fukushima Daiichi
Abdication Of Emperor Akihito (2019) | OCCURSAT | Japan
Beginning Of Reiwa Era (2019) | OCCURSAT | Japan
Abdication Of Emperor Akihito (2019) | ISRELATEDTO | Beginning Of Reiwa Era (2019)
Record Temperature In Japan (2025-08-05) | OCCURSAT | Japan
Environmental Protection Laws (1970) | OCCURSAT | Japan
1973 Oil Crisis | ISRELATEDTO | Japan
Kyoto Protocol (1997) | OCCURSAT | Kyoto
Kyoto Protocol (1997) | ISRELATEDTO | Japan
Japan 2050 Carbon-Neutrality Target (2020) | OCCURSAT | Japan
Introduction Of Buddhism To Japan (552) | OCCURSAT | Japan
Introduction Of Buddhism To Japan (552) | ISRELATEDTO | Baekje
Introduction Of Buddhism To Japan (552) | ISRELATEDTO | China
Prince Shōtoku | WASPRESENTAT | Introduction Of Buddhism To Japan (552)
Prince Shōtoku | WASPRESENTAT | Asuka Period
Prince Naka No Ōe | WASPRESENTAT | Taika Reforms
Fujiwara No Kamatari | WASPRESENTAT | Taika Reforms
Prince Ōama | WASPRESENTAT | Jinshin War
Prince Ōtomo | WASPRESENTAT | Jinshin War
Emperor Kanmu | WASPRESENTAT | Move Of Capital To Heian-Kyō (794)
Murasaki Shikibu | WASPRESENTAT | Heian Period
Minamoto Clan | WASPRESENTAT | Genpei War
Taira Clan | WASPRESENTAT | Genpei War
Minamoto No Yoritomo | WASPRESENTAT | Genpei War
Minamoto No Yoritomo | WASPRESENTAT | Establishment Of Kamakura Shogunate
Hōjō Clan | WASPRESENTAT | Kamakura Period
Emperor Go-Daigo | WASPRESENTAT | Overthrow Of Kamakura Shogunate
Emperor Go-Daigo | WASPRESENTAT | Defeat Of Go-Daigo (1336)
Ashikaga Takauji | WASPRESENTAT | Defeat Of Go-Daigo (1336)
Oda Nobunaga | WASPRESENTAT | Azuchi–Momoyama Period
Toyotomi Hideyoshi | WASPRESENTAT | Unification By Toyotomi Hideyoshi
Toyotomi Hideyoshi | WASPRESENTAT | Japanese Invasions Of Korea (1592–1598)
Tokugawa Ieyasu | WASPRESENTAT | Battle Of Sekigahara
Tokugawa Ieyasu | WASPRESENTAT | Establishment Of Tokugawa Shogunate
Toyotomi Hideyori | ISRELATEDTO | Council Of Five Elders
Tokugawa Ieyasu | ISPARTOF | Council Of Five Elders
Emperor Go-Yōzei | WASPRESENTAT | Establishment Of Tokugawa Shogunate
Matthew C. Perry | WASPRESENTAT | Perry Expedition
United States Navy | WASPRESENTAT | Perry Expedition
Legendary Founding By Emperor Jimmu (660 Bc) | OCCURSAT | Japan
Emperor Jimmu | WASPRESENTAT | Legendary Founding By Emperor Jimmu (660 Bc)
Amaterasu | ISRELATEDTO | Emperor Jimmu
Emperor Akihito | WASPRESENTAT | Abdication Of Emperor Akihito (2019)
Naruhito | WASPRESENTAT | Beginning Of Reiwa Era (2019)
National Diet | WASPRESENTAT | Adoption Of 1947 Constitution
United Nations | WASPRESENTAT | United Nations Membership (1956)
Completion Of Kojiki (712) | OCCURSAT | Heijō-Kyō
Completion Of Nihon Shoki (720) | OCCURSAT | Heijō-Kyō
735–737 Smallpox Epidemic In Japan | OCCURSAT | Japan
Writing Of Kimigayo Lyrics | OCCURSAT | Japan
Writing Of Kimigayo Lyrics | ISRELATEDTO | Heian Period
Creation Of The Tale Of Genji | OCCURSAT | Japan
Creation Of The Tale Of Genji | ISRELATEDTO | Heian Period
Murasaki Shikibu | WASPRESENTAT | Creation Of The Tale Of Genji
Meiji Period | ISRELATEDTO | Empire Of Japan
Meiji Period | ISRELATEDTO | First Sino-Japanese War
Meiji Period | ISRELATEDTO | Russo-Japanese War
Treaty Of San Francisco | ISRELATEDTO | United States
Portuguese Traders | ISRELATEDTO | Southeast Asia
Portuguese Traders | ISRELATEDTO | Europe
Government Of Japan | ISCONTAINEDIN | Japan
National Diet | ISPARTOF | Government Of Japan
Cabinet | ISPARTOF | Government Of Japan
Supreme Court | ISPARTOF | Government Of Japan
Ministry Of Defense | ISPARTOF | Government Of Japan
Japan Self-Defense Forces (Sjdf) | ISPARTOF | Ministry Of Defense
Japan Ground Self-Defense Force | ISPARTOF | Japan Self-Defense Forces (Sjdf)
Japan Maritime Self-Defense Force | ISPARTOF | Japan Self-Defense Forces (Sjdf)
Japan Air Self-Defense Force | ISPARTOF | Japan Self-Defense Forces (Sjdf)
Japan Self-Defense Forces (Sjdf) | ISRELATEDTO | Article 9 Of The Constitution Of Japan
Article 9 Of The Constitution Of Japan | ISPARTOF | Constitution Of Japan
National Security Council | ISPARTOF | Government Of Japan
Prefectural Police Departments | ISRELATEDTO | National Police Agency
National Police Agency | ISRELATEDTO | National Public Safety Commission
Special Assault Team | ISRELATEDTO | National Police Agency
Special Assault Team | ISRELATEDTO | Anti-Firearms Squads
Special Assault Team | ISRELATEDTO | Counter-Nbc Terrorism Squads
Japan Coast Guard | ISPARTOF | Government Of Japan
Japan Coast Guard | ISCONTAINEDIN | Japan
Japan | ISPARTOF | United Nations
Japan | ISPARTOF | G4
G4 | ISRELATEDTO | United Nations Security Council
United Nations Security Council | ISPARTOF | United Nations
Japan | ISPARTOF | G7
Japan | ISPARTOF | Apec
Japan | ISPARTOF | Asean Plus Three
Japan | ISPARTOF | East Asia Summit
Japan | ISPARTOF | Quadrilateral Security Dialogue
United States | ISPARTOF | Quadrilateral Security Dialogue
Australia | ISPARTOF | Quadrilateral Security Dialogue
India | ISPARTOF | Quadrilateral Security Dialogue
Japan | ISRELATEDTO | United States
Fukushima Daiichi Nuclear Disaster | OCCURSAT | Japan
All Nuclear Power Plants Taken Offline (May 2012) | OCCURSAT | Japan
Sendai Nuclear Power Plant Restart (2015) | OCCURSAT | Sendai Nuclear Power Plant
Deployment Of Troops To Iraq And Afghanistan | OCCURSAT | Iraq
Deployment Of Troops To Iraq And Afghanistan | OCCURSAT | Afghanistan
Japan Self-Defense Forces (Sjdf) | WASPRESENTAT | Deployment Of Troops To Iraq And Afghanistan
Tokyo | ISCONTAINEDIN | Japan
Tokyo | ISPARTOF | Greater Tokyo Area
Haneda Airport | ISCONTAINEDIN | Tokyo
Keihin | ISCONTAINEDIN | Japan
Hanshin | ISCONTAINEDIN | Japan
Tanegashima Space Center | ISCONTAINEDIN | Japan
Japan Aerospace Exploration Agency | ISCONTAINEDIN | Japan
Japan Aerospace Exploration Agency | ISRELATEDTO | International Space Station
Japanese Experiment Module (Kibō) | ISPARTOF | International Space Station
Kibō Added To International Space Station (2008) | OCCURSAT | International Space Station
Japanese Experiment Module (Kibō) | WASPRESENTAT | Kibō Added To International Space Station (2008)
Akatsuki | ISRELATEDTO | Japan Aerospace Exploration Agency
Akatsuki Launch (2010) | OCCURSAT | Tanegashima Space Center
Akatsuki | WASPRESENTAT | Akatsuki Launch (2010)
Akatsuki Orbit Around Venus (2015) | OCCURSAT | Venus
Akatsuki | WASPRESENTAT | Akatsuki Orbit Around Venus (2015)
Selene (Selenological And Engineering Explorer) | ISRELATEDTO | Japan Aerospace Exploration Agency
Selene Launch (2007) | OCCURSAT | Tanegashima Space Center
Selene (Selenological And Engineering Explorer) | WASPRESENTAT | Selene Launch (2007)
Selene Lunar Orbit Insertion (2007) | OCCURSAT | Moon
Selene (Selenological And Engineering Explorer) | WASPRESENTAT | Selene Lunar Orbit Insertion (2007)
Selene Impact On Moon (2009) | OCCURSAT | Moon
Selene (Selenological And Engineering Explorer) | WASPRESENTAT | Selene Impact On Moon (2009)
Jr Enterprises | ISCONTAINEDIN | Japan
Kintetsu | ISCONTAINEDIN | Japan
Seibu Railway | ISCONTAINEDIN | Japan
Keio Corporation | ISCONTAINEDIN | Japan
Shinkansen | ISCONTAINEDIN | Japan
Shinkansen | ISRELATEDTO | Jr Enterprises
Toyota | ISCONTAINEDIN | Japan
Mitsubishi Ufj | ISCONTAINEDIN | Japan
Ntt | ISCONTAINEDIN | Japan
Aeon | ISCONTAINEDIN | Japan
Softbank | ISCONTAINEDIN | Japan
Hitachi | ISCONTAINEDIN | Japan
Itochu | ISCONTAINEDIN | Japan
Southern Kuril Islands | ISRELATEDTO | Japan
Southern Kuril Islands | ISRELATEDTO | Russia
Liancourt Rocks | ISRELATEDTO | Japan
Liancourt Rocks | ISRELATEDTO | South Korea
Senkaku Islands | ISRELATEDTO | Japan
Senkaku Islands | ISRELATEDTO | China
Senkaku Islands | ISRELATEDTO | Taiwan
Okinotorishima | ISRELATEDTO | Japan
Okinotorishima | ISRELATEDTO | China
Okinotorishima | ISRELATEDTO | Taiwan
United Nations Office On Drugs And Crime | ISRELATEDTO | Japan
World War Ii | OCCURSAT | Japan
Emperor Of Japan | ISRELATEDTO | Constitution Of Japan
National Diet | ISRELATEDTO | Constitution Of Japan
House Of Representatives | ISPARTOF | National Diet
House Of Councillors | ISPARTOF | National Diet
Liberal Democratic Party | ISCONTAINEDIN | Japan
Ishin | ISCONTAINEDIN | Japan
Sanae Takaichi | ISRELATEDTO | Government Of Japan
Sanae Takaichi | ISRELATEDTO | Liberal Democratic Party
Sanae Takaichi | WASPRESENTAT | 2025 Liberal Democratic Party Leadership Election
2025 Liberal Democratic Party Leadership Election | OCCURSAT | Japan
Ishin | ISRELATEDTO | Sanae Takaichi
Cabinet | ISRELATEDTO | Sanae Takaichi
Naruhito | ISRELATEDTO | Emperor Of Japan
Naruhito | ISRELATEDTO | Akihito
Accession To The Chrysanthemum Throne (2019) | OCCURSAT | Japan
Naruhito | WASPRESENTAT | Accession To The Chrysanthemum Throne (2019)
Accession To The Chrysanthemum Throne (2019) | ISRELATEDTO | Chrysanthemum Throne
Naruhito | ISCONTAINEDIN | Japan
Akihito | ISCONTAINEDIN | Japan
Shinzo Abe | ISRELATEDTO | Government Of Japan
Fumio Kishida | ISRELATEDTO | Government Of Japan
Japan Revised Immigration Law Enacted (2019) | OCCURSAT | Japan
Tokyo | ISCONTAINEDIN | Japan
Sapporo | ISCONTAINEDIN | Japan
Nagano | ISCONTAINEDIN | Japan
Government Of Japan | ISCONTAINEDIN | Japan
Imperial Household Agency | ISCONTAINEDIN | Japan
Imperial House Of Japan | ISCONTAINEDIN | Japan
National Diet Library | ISCONTAINEDIN | Japan
Japangov | ISPARTOF | Government Of Japan
Japangov | ISCONTAINEDIN | Japan
Prime Minister Of Japan And His Cabinet | ISPARTOF | Government Of Japan
Prime Minister Of Japan And His Cabinet | ISCONTAINEDIN | Japan
Mext | ISCONTAINEDIN | Japan
University Of Tokyo | ISCONTAINEDIN | Tokyo
Nippon Professional Baseball | ISCONTAINEDIN | Japan
Japan Professional Football League (J.League) | ISCONTAINEDIN | Japan
Super Gt | ISCONTAINEDIN | Japan
Super Formula | ISCONTAINEDIN | Japan
Unesco World Heritage List | ISPARTOF | Unesco
Programme For International Student Assessment (Pisa) | ISPARTOF | Oecd
Oecd | ISRELATEDTO | Japan
Unesco | ISRELATEDTO | Japan
Unesco World Heritage List | ISRELATEDTO | Japan
Programme For International Student Assessment (Pisa) | ISRELATEDTO | Japan
University Of Tokyo | ISRELATEDTO | Japan
Formula One | ISRELATEDTO | Japan
Motogp | ISRELATEDTO | Japan
World Rally Championship | ISRELATEDTO | Japan
Ucb Libraries Govpubs | ISRELATEDTO | Japan
Bbc News | ISRELATEDTO | Japan
Openstreetmap | ISRELATEDTO | Japan
Asia | ISRELATEDTO | Japan
Europe | ISRELATEDTO | Japan
North America | ISRELATEDTO | Japan
Ryukyu Kingdom | ISRELATEDTO | Japan
Kenzō Tange | ISRELATEDTO | Japan
Natsume Sōseki | ISRELATEDTO | Japan
Mori Ōgai | ISRELATEDTO | Japan
Ryūnosuke Akutagawa | ISRELATEDTO | Japan
Jun'Ichirō Tanizaki | ISRELATEDTO | Japan
Kafū Nagai | ISRELATEDTO | Japan
Haruki Murakami | ISRELATEDTO | Japan
Kenji Nakagami | ISRELATEDTO | Japan
Yasunari Kawabata | ISRELATEDTO | Japan
Kenzaburō Ōe | ISRELATEDTO | Japan
Sei Shōnagon | ISRELATEDTO | Japan
Murasaki Shikibu | ISRELATEDTO | Japan
Bashō | ISRELATEDTO | Japan
Saikaku | ISRELATEDTO | Japan
Ishirō Honda | ISRELATEDTO | Japan
Yasunari Kawabata | ISRELATEDTO | Nobel Prize
Kenzaburō Ōe | ISRELATEDTO | Nobel Prize
Japanese Grand Prix | OCCURSAT | Japan
Japanese Grand Prix | ISRELATEDTO | Formula One
1964 Summer Olympics | OCCURSAT | Tokyo
1972 Winter Olympics | OCCURSAT | Sapporo
1998 Winter Olympics | OCCURSAT | Nagano
2002 Fifa World Cup | OCCURSAT | Japan
2002 Fifa World Cup | OCCURSAT | South Korea
2020 Summer Olympics | OCCURSAT | Tokyo
2019 Irb Rugby World Cup | OCCURSAT | Japan
2006 Basketball World Championship | OCCURSAT | Japan
2023 Basketball World Championship | OCCURSAT | Japan
April 2016 Nine-Year Compulsory Schooling Integration | OCCURSAT | Japan
New Year'S Day | OCCURSAT | Japan
Coming Of Age Day | OCCURSAT | Japan
National Foundation Day | OCCURSAT | Japan
The Emperor'S Birthday | OCCURSAT | Japan
Vernal Equinox Day | OCCURSAT | Japan
Shōwa Day | OCCURSAT | Japan
Constitution Memorial Day | OCCURSAT | Japan
Greenery Day | OCCURSAT | Japan
Children'S Day | OCCURSAT | Japan
Marine Day | OCCURSAT | Japan
Mountain Day | OCCURSAT | Japan
Respect For The Aged Day | OCCURSAT | Japan
Autumnal Equinox | OCCURSAT | Japan
Health And Sports Day | OCCURSAT | Japan
Culture Day | OCCURSAT | Japan
Labor Thanksgiving Day | OCCURSAT | Japan
