S:japan | P:is related to | O:naruhito ascends throne
S:empire of japan | P:is related to | O:attack on hong kong
S:empire of japan | P:is related to | O:attack on singapore
S:empire of japan | P:is related to | O:japan invades french indochina
S:empire of japan | P:is related to | O:tripartite pact signed
S:empire of japan | P:is related to | O:japan resigns from league
S:empire of japan | P:is related to | O:manchukuo established
S:empire of japan | P:is related to | O:japan invades manchuria
S:empire of japan | P:is related to | O:great tokyo earthquake
S:empire of japan | P:is related to | O:russo-japanese war ends
S:empire of japan | P:is related to | O:russo-japanese war begins
S:empire of japan | P:is related to | O:end of first sino-japanese war
S:empire of japan | P:is related to | O:first sino-japanese war
S:empire of japan | P:is part of | O:cabinet
S:empire of japan | P:is part of | O:privy council
S:empire of japan | P:is part of | O:imperial diet
S:empire of japan | P:is part of | O:allies
S:empire of japan | P:is part of | O:axis powers
S:empire of japan | P:is part of | O:korea
S:empire of japan | P:is part of | O:taiwan
S:['attack on british malaya', 'malaya singapore hong kong attack'] | P:is related to | O:britain
S:['attack on british malaya', 'malaya singapore hong kong attack'] | P:occurs at | O:hong kong
S:['attack on british malaya', 'malaya singapore hong kong attack'] | P:occurs at | O:malaya
S:['attack on british malaya', 'malaya singapore hong kong attack'] | P:occurs at | O:singapore
S:['attack on pearl harbor', 'pearl harbor attack'] | P:occurs at | O:pearl harbor
S:soviet invasion of manchuria | P:is related to | O:soviet union
S:soviet invasion of manchuria | P:occurs at | O:manchuria
S:attack on hong kong | P:occurs at | O:hong kong
S:attack on singapore | P:occurs at | O:singapore
S:japan invades french indochina | P:occurs at | O:french indochina
S:tripartite pact signed | P:is related to | O:axis powers
S:japan resigns from league | P:is related to | O:league of nations
S:manchukuo established | P:occurs at | O:manchukuo
S:japan invades manchuria | P:occurs at | O:manchuria
S:great tokyo earthquake | P:occurs at | O:edo
S:russo-japanese war ends | P:occurs at | O:china
S:russo-japanese war begins | P:occurs at | O:china
S:end of first sino-japanese war | P:occurs at | O:china
S:first sino-japanese war | P:is related to | O:allies
S:first sino-japanese war | P:occurs at | O:china
S:council of five elders | P:is related to | O:toyotomi hideyori
S:council of five elders | P:is related to | O:tokugawa ieyasu
S:cabinet | P:is related to | O:meiji constitution introduced
S:meiji constitution introduced | P:is related to | O:privy council
S:meiji constitution introduced | P:is related to | O:imperial diet
S:allies | P:is related to | O:international military tribunal far east
S:international military tribunal far east | P:is related to | O:international military tribunal for the far east
S:international military tribunal far east | P:occurs at | O:tokyo
S:axis powers | P:is part of | O:nazi germany
S:axis powers | P:is part of | O:anti-comintern pact
S:china | P:is related to | O:taika reforms
S:china | P:is related to | O:introduction of buddhism
S:china | P:is contained in | O:manchuria
S:china | P:is contained in | O:hong kong
S:china | P:is related to | O:marco polo
S:taika reforms | P:is related to | O:imperial court
S:taika reforms | P:is related to | O:naka no ooe
S:taika reforms | P:is related to | O:fujiwara no kamatari
S:introduction of buddhism | P:is related to | O:baekje
S:introduction of buddhism | P:is related to | O:korea
S:introduction of buddhism | P:is related to | O:shotoku prince
S:baekje | P:was present at | O:shotoku prince
S:korea | P:was present at | O:toyotomi hideyoshi
S:korea | P:occurs at | O:toyotomi hideyoshi korean invasion
S:korea | P:occurs at | O:toyotomi hideyoshi second korean invasion
S:imperial court | P:is related to | O:move to heian kyo
S:imperial court | P:is related to | O:murasaki shikibu
S:imperial court | P:is related to | O:shotoku prince
S:imperial court | P:is related to | O:naka no ooe
S:imperial court | P:is related to | O:fujiwara no kamatari
S:imperial court | P:is related to | O:oama prince
S:imperial court | P:is related to | O:ootomo prince
S:imperial court | P:is related to | O:kanmu emperor
S:move to heian kyo | P:is related to | O:murasaki shikibu
S:move to heian kyo | P:is related to | O:kanmu emperor
S:move to heian kyo | P:occurs at | O:heian-kyo
S:mext | P:is related to | O:2016 integrated schooling start
S:programme for international student assessment | P:is related to | O:2023 tertiary education ranking
S:programme for international student assessment | P:is related to | O:2021 education gdp report
S:2023 tertiary education ranking | P:is related to | O:university of tokyo
S:liberal democratic party | P:is related to | O:takaichi becomes prime minister
S:liberal democratic party | P:is related to | O:sanae takaichi
S:takaichi becomes prime minister | P:is related to | O:ishin
S:takaichi becomes prime minister | P:is related to | O:sanae takaichi
S:ishin | P:is related to | O:sanae takaichi
S:united states | P:is contained in | O:pearl harbor
S:russia | P:is contained in | O:kuril islands
S:south korea | P:is contained in | O:liancourt rocks
S:japan self-defense forces | P:is part of | O:ministry of defense
S:japan self-defense forces | P:is part of | O:japan ground self-defense force
S:japan self-defense forces | P:is part of | O:japan maritime self-defense force
S:japan self-defense forces | P:is part of | O:japan air self-defense force
S:jsdf | P:is related to | O:kishida defense spending instruction
S:kishida defense spending instruction | P:is related to | O:fumio kishida
S:prefectural police departments | P:is related to | O:un violent crime statistics report
S:prefectural police departments | P:is part of | O:national police agency
S:prefectural police departments | P:is part of | O:anti-firearms squads
S:prefectural police departments | P:is part of | O:counter-nbc terrorism squads
S:un violent crime statistics report | P:is related to | O:national police agency
S:un violent crime statistics report | P:is related to | O:national public safety commission
S:un violent crime statistics report | P:is related to | O:special assault team
S:un violent crime statistics report | P:is related to | O:anti-firearms squads
S:un violent crime statistics report | P:is related to | O:counter-nbc terrorism squads
S:un violent crime statistics report | P:is related to | O:japan coast guard
S:un violent crime statistics report | P:is related to | O:united nations office on drugs and crime
S:un violent crime statistics report | P:is related to | O:un
S:national police agency | P:is part of | O:national public safety commission
S:national police agency | P:is part of | O:special assault team
S:united nations office on drugs and crime | P:is part of | O:un
S:haneda airport | P:is contained in | O:tokyo
S:tokyo | P:is contained in | O:honshu
S:tokyo | P:is contained in | O:greater tokyo area
S:honshu | P:is contained in | O:sea of japan
S:honshu | P:is contained in | O:kyoto
S:honshu | P:is contained in | O:chugoku
S:honshu | P:is contained in | O:seto inland sea
S:honshu | P:is contained in | O:tohoku
S:honshu | P:is contained in | O:central highland
S:heian-kyo | P:was present at | O:murasaki shikibu
S:heian-kyo | P:was present at | O:kanmu emperor
S:kamakura | P:was present at | O:go daigo
S:kamakura | P:was present at | O:yoritomo minamoto
S:kamakura | P:was present at | O:go-daigo emperor
S:yamato | P:was present at | O:jimmu emperor
S:edo | P:was present at | O:tokugawa ieyasu
S:uraga | P:was present at | O:matthew c perry
S:uraga | P:occurs at | O:perry expedition arrives
S:kanagawa | P:was present at | O:matthew c perry
S:manchuria | P:is contained in | O:manchukuo
S:pearl harbor | P:is contained in | O:san francisco
S:cipangu | P:was present at | O:marco polo
S:muromachi | P:was present at | O:takauji ashikaga
S:ryukyu islands | P:is contained in | O:okinawa
S:afghanistan | P:was present at | O:shinzo abe
S:iraq | P:was present at | O:shinzo abe
S:shikoku | P:is contained in | O:seto inland sea
S:seto inland sea | P:is contained in | O:kyushu
S:nanpo islands | P:is contained in | O:bonin islands
S:tohoku | P:is contained in | O:fukushima daiichi nuclear disaster
S:oda nobunaga | P:is related to | O:death of oda nobunaga
S:toyotomi hideyoshi | P:is related to | O:toyotomi hideyoshi second korean invasion
S:toyotomi hideyoshi | P:is related to | O:toyotomi hideyoshi korean invasion
S:matthew c perry | P:is related to | O:convention of kanagawa
S:matthew c perry | P:is related to | O:perry expedition arrives
S:oama prince | P:is related to | O:jinshin war
S:jinshin war | P:is related to | O:ootomo prince
S:shinzo abe | P:is related to | O:abe responsibilities speech
