S:tokyo | P:is contained in | O:japan
S:minamoto clan | P:is related to | O:yoritomo minamoto
S:liberal democratic party | P:is related to | O:sanae takaichi
S:ishin | P:is related to | O:sanae takaichi
S:japan self-defense forces | P:is part of | O:japan ground self-defense force
S:japan self-defense forces | P:is part of | O:japan maritime self-defense force
S:japan self-defense forces | P:is part of | O:japan air self-defense force
S:japan self-defense forces | P:is related to | O:shinzo abe
S:japan self-defense forces | P:is related to | O:fumio kishida
S:prefectural police departments | P:is part of | O:national police agency
S:national police agency | P:is part of | O:national public safety commission
