S:european union | P:is contained in | O:croatia
S:end ragusan republic | P:is related to | O:first french empire
S:illyrian provinces created | P:is related to | O:first french empire
S:battle of vis | P:is related to | O:first french empire
S:battle of vis | P:is related to | O:royal navy
S:treaty of berlin | P:is related to | O:austria-hungary
S:constitution adopted | P:is related to | O:croatian parliament (sabor)
S:pfp membership | P:is related to | O:partnership for peace
S:pfp membership | P:is related to | O:north atlantic treaty organization (nato)
S:wto membership | P:is related to | O:world trade organization
S:nato membership | P:is related to | O:north atlantic treaty organization (nato)
S:mp vote to dissolve | P:is related to | O:croatian parliament (sabor)
S:president dissolves parliament | P:is related to | O:croatian parliament (sabor)
S:president dissolves parliament | P:is related to | O:ivo josipovic
S:plenkovic becomes prime minister | P:is related to | O:government of croatia
S:plenkovic becomes prime minister | P:is related to | O:andrej plenkovic
S:2020 presidential election | P:is related to | O:zoran milanovic
S:oecd accession talks opened | P:is related to | O:organisation for economic co-operation and development (oecd)
S:oecd accession talks opened | P:is related to | O:oecd council
S:riva eurovision win 1989 | P:is related to | O:riva
S:eec recognition | P:is related to | O:european economic community
S:independence declaration | P:is related to | O:croatian parliament (sabor)
S:independence declaration | P:is related to | O:state of slovenes, croats, and serbs
S:croatian parliament (sabor) | P:is part of | O:republic of croatia
S:croatian parliament (sabor) | P:is related to | O:union with serbia
S:croatian parliament (sabor) | P:is related to | O:ivo josipovic
S:union with serbia | P:is related to | O:state of slovenes, croats, and serbs
S:union with serbia | P:is related to | O:kingdom of serbia
S:union with serbia | P:is related to | O:kingdom of serbs, croats, and slovenes
S:sisak partisan formation | P:is related to | O:yugoslav partisans
S:sisak partisan formation | P:is related to | O:1st sisak partisan detachment
S:socialist federal republic of yugoslavia (sfr yugoslavia) | P:is part of | O:montenegro
S:socialist federal republic of yugoslavia (sfr yugoslavia) | P:is part of | O:kosovo
S:socialist federal republic of yugoslavia (sfr yugoslavia) | P:is part of | O:yugoslav people's army (jna)
S:socialist federal republic of yugoslavia (sfr yugoslavia) | P:is related to | O:vladimir zerjavic
S:socialist federal republic of yugoslavia (sfr yugoslavia) | P:is related to | O:bogoljub kocovic
S:socialist federal republic of yugoslavia (sfr yugoslavia) | P:is related to | O:josip broz
S:united nations security council | P:is part of | O:united nations
S:partnership for peace | P:is part of | O:north atlantic treaty organization (nato)
S:ministry of the interior | P:is part of | O:national police force
S:austria-hungary | P:is part of | O:kingdom of hungary
S:croatian armed forces (caf) | P:is part of | O:croatian air force
S:croatian armed forces (caf) | P:is part of | O:croatian army
S:croatian armed forces (caf) | P:is part of | O:croatian navy
S:croatian armed forces (caf) | P:is part of | O:education and training command
S:croatian armed forces (caf) | P:is part of | O:support command
S:croatian armed forces (caf) | P:is part of | O:general staff
S:republic of croatia | P:is part of | O:european union language association
S:republic of croatia | P:is part of | O:government of croatia
S:republic of croatia | P:is part of | O:croatian armed forces
S:government of croatia | P:is related to | O:andrej plenkovic
S:unesco | P:is part of | O:unesco man and the biosphere programme
S:italy | P:was present at | O:julius nepos
S:italy | P:is related to | O:ante pavelic
S:croatian olympic committee | P:is part of | O:olympic movement
S:united nations | P:is part of | O:united nations transitional administration for eastern slavonia, baranja and western sirmium (untaes)
S:international security assistance force | P:is part of | O:north atlantic treaty organization
S:north atlantic treaty organization | P:is part of | O:kosovo force
S:croatian government | P:is part of | O:office of displaced persons and refugees
S:kingdom of hungary | P:is related to | O:josip jelacic
S:croats | P:is part of | O:slavs
S:ruder boskovic institute | P:is related to | O:ruder boskovic
S:organisation for economic co-operation and development (oecd) | P:is part of | O:oecd council
S:hanza media | P:is part of | O:jutarnji list
S:styria media group | P:is part of | O:vecernji list
S:yugoslav partisans | P:is part of | O:1st sisak partisan detachment
S:yugoslav partisans | P:is related to | O:josip broz
S:kingdom of serbs, croats, and slovenes | P:is part of | O:national assembly
S:national assembly | P:is related to | O:stjepan radic
S:national assembly | P:was present at | O:punisa racic
S:croatian peasant party | P:is related to | O:stjepan radic
S:croatian peasant party | P:is related to | O:vladko macek
S:nrs | P:is related to | O:punisa racic
S:nazi germany | P:is related to | O:ante pavelic
S:independent state of croatia (ndh) | P:is part of | O:ustase
S:independent state of croatia (ndh) | P:is related to | O:ante pavelic
S:ustase | P:is related to | O:ante pavelic
S:allies | P:is related to | O:josip broz
S:soviet troops | P:is related to | O:josip broz
