S:Japan | P:is part of | O:Tokyo
S:Children'S Day | P:is part of | O:Japan
S:Marine Day | P:is part of | O:Japan
S:Mountain Day | P:is part of | O:Japan
S:Respect For The Aged Day | P:is part of | O:Japan
S:Autumnal Equinox | P:is part of | O:Japan
S:Health And Sports Day | P:is part of | O:Japan
S:Culture Day | P:is part of | O:Japan
S:Labor Thanksgiving Day | P:is part of | O:Japan
S:Japanese Cuisine | P:is part of | O:Japan
S:Japanese Curry | P:is part of | O:Japan
S:Wagashi | P:is part of | O:Japan
S:Green Tea Ice Cream | P:is part of | O:Japan
S:Sake | P:is part of | O:Japan
S:Beer | P:is part of | O:Japan
S:Matcha | P:is part of | O:Japan
S:Sumo | P:is part of | O:Japan
S:Judo | P:is part of | O:Japan
S:Kendo | P:is part of | O:Japan
S:Karate | P:is part of | O:Japan
S:Baseball | P:is part of | O:Japan
S:Nippon Professional Baseball | P:is part of | O:Japan
S:Japan Professional Football League | P:is part of | O:Japan
S:Fifa World Cup 2002 | P:is part of | O:Japan
S:Asian Cup | P:is part of | O:Japan
S:Fifa Women'S World Cup | P:is part of | O:Japan
S:Golf | P:is part of | O:Japan
S:Motorsport | P:is part of | O:Japan
S:Formula One | P:is part of | O:Japan
S:Motogp | P:is part of | O:Japan
S:World Rally Championship | P:is part of | O:Japan
S:Super Gt | P:is part of | O:Japan
S:Super Formula | P:is part of | O:Japan
S:Japanese Grand Prix | P:is part of | O:Japan
S:Summer Olympics 1964 | P:is part of | O:Japan
S:Winter Olympics 1972 | P:is part of | O:Japan
S:Winter Olympics 1998 | P:is part of | O:Japan
S:Basketball World Championship 2006 | P:is part of | O:Japan
S:Basketball World Championship 2023 | P:is part of | O:Japan
S:Tokyo Summer Olympics 2020 | P:is part of | O:Japan
S:Women'S Volleyball World Championship | P:is part of | O:Japan
S:Rugby Union World Cup 2019 | P:is part of | O:Japan
