S:Japan | P:is related to | O:East Asia
S:Cooperative_Sector_In_Japan | P:is related to | O:Largest_Agricultural_Cooperative
S:Largest_Consumer_Cooperative | P:is related to | O:Three_Largest_Cooperatives
S:Largest_Agricultural_Cooperative | P:is related to | O:Three_Largest_Cooperatives
S:Japan | P:is related to | O:Toyota
S:Japan | P:is related to | O:Mitsubishi_Ufj
S:Japan | P:is related to | O:Ntt
S:Japan | P:is related to | O:Aeon
S:Japan | P:is related to | O:Softbank
S:Japan | P:is related to | O:Hitachi
S:Japan | P:is related to | O:Itochu
S:Japan | P:is related to | O:Kintetsu
S:Japan | P:is related to | O:Seibu_Railway
S:Japan | P:is related to | O:Keio_Corporation
S:Japan | P:is related to | O:Jr_Enterprises
S:Jr_Enterprises | P:is part of | O:Privatization_Of_Jr_1987
S:Jaxa | P:is related to | O:Japan
S:Selene | P:was present at | O:Moon
S:Akatsuki | P:is related to | O:Jaxa
S:Privatization_Of_Jr_1987 | P:is related to | O:Jr_Enterprises
S:Privatization_Of_Jr_1987 | P:is related to | O:Japan
S:Greater_Tokyo_Area | P:is related to | O:Tokyo
S:Tokyo | P:is related to | O:Haneda_Airport
S:Airports_In_Japan | P:is related to | O:Japan
S:Travelandtourismreport2024 | P:is related to | O:Japan
S:Inbound_Tourism_2019_Rank11 | P:is related to | O:Japan
S:Ryukyuan Languages | P:is related to | O:Japonic Language Family
S:Amami | P:is part of | O:Ryukyuan Languages
S:Kunigami | P:is part of | O:Ryukyuan Languages
S:Okinawan | P:is part of | O:Ryukyuan Languages
S:Miyako | P:is part of | O:Ryukyuan Languages
S:Yaeyama | P:is part of | O:Ryukyuan Languages
S:Yonaguni | P:is part of | O:Ryukyuan Languages
S:Amami | P:was present at | O:Ryukyu Islands Chain
S:Kunigami | P:was present at | O:Ryukyu Islands Chain
S:Okinawan | P:was present at | O:Ryukyu Islands Chain
S:Miyako | P:was present at | O:Ryukyu Islands Chain
S:Yaeyama | P:was present at | O:Ryukyu Islands Chain
S:Yonaguni | P:was present at | O:Ryukyu Islands Chain
S:Ainu | P:is related to | O:Language Isolate
S:Shinto | P:is related to | O:Japan
S:Buddhism | P:is related to | O:Japan
S:Taoism | P:is related to | O:Japan
S:Confucianism | P:is related to | O:Japan
S:Christianity | P:is related to | O:Japan
S:Islam | P:is related to | O:Japan
S:Hinduism | P:is related to | O:Japan
S:Judaism | P:is related to | O:Japan
S:Bahá'Í Faith | P:is related to | O:Japan
S:Ainu Animist Beliefs | P:is related to | O:Ainu
S:University Of Tokyo | P:is related to | O:Japan
S:Pisa | P:is related to | O:Oecd
S:Pisa | P:is related to | O:Japan
S:Oecd | P:is related to | O:Japan
S:Mext | P:is related to | O:Japan
S:Kenzō Tange | P:is related to | O:Japanese Architecture
S:Ishirō Honda | P:is related to | O:Godzilla
S:Godzilla | P:is related to | O:Godzilla Film Franchise
S:Noh | P:is related to | O:Japanese Theater
S:Kyōgen | P:is related to | O:Japanese Theater
S:Kabuki | P:is related to | O:Japanese Theater
S:Bunraku | P:is related to | O:Japanese Theater
S:Kojiki | P:is related to | O:Japanese Literature
S:Nihon Shoki | P:is related to | O:Japanese Literature
S:Man'Yōshū | P:is related to | O:Japanese Literature
S:Tale Of The Bamboo Cutter | P:is related to | O:Japanese Literature
S:Pillow Book | P:is related to | O:Japanese Literature
S:Tale Of Genji | P:is related to | O:Japanese Literature
S:Haruki Murakami | P:is related to | O:Japanese Literature
S:Kenji Nakagami | P:is related to | O:Japanese Literature
S:Natsume Soseki | P:is related to | O:Japanese Literature
S:Mori Ogai | P:is related to | O:Japanese Literature
S:Ryūnosuke Akutagawa | P:is related to | O:Japanese Literature
S:Yasunari Kawabata | P:is related to | O:Japanese Literature
S:Kenzaburō Ōe | P:is related to | O:Japanese Literature
S:Unesco World Heritage List | P:is related to | O:Japan
S:Twenty-Two Sites Inscribed On Unesco World Heritage List | P:is related to | O:Japan
S:Korean | P:is related to | O:Zainichi Korean Dialect
S:Korean | P:is related to | O:Korean Language
S:New Year'S Day | P:is related to | O:Public Holiday Law
S:Coming Of Age Day | P:is related to | O:Public Holiday Law
S:National Foundation Day | P:is related to | O:Public Holiday Law
S:The Emperor'S Birthday | P:is related to | O:Public Holiday Law
S:Vernal Equinox Day | P:is related to | O:Public Holiday Law
S:Shōwa Day | P:is related to | O:Public Holiday Law
S:Constitution Memorial Day | P:is related to | O:Public Holiday Law
S:Greenery Day | P:is related to | O:Public Holiday Law
S:Children'S Day | P:is related to | O:Public Holiday Law
S:Marine Day | P:is related to | O:Public Holiday Law
S:Mountain Day | P:is related to | O:Public Holiday Law
S:Respect For The Aged Day | P:is related to | O:Public Holiday Law
S:Autumnal Equinox | P:is related to | O:Public Holiday Law
S:Health And Sports Day | P:is related to | O:Public Holiday Law
S:Culture Day | P:is related to | O:Public Holiday Law
S:Labor Thanksgiving Day | P:is related to | O:Public Holiday Law
S:Coming Of Age Day | P:is related to | O:Happy Monday System
S:Marine Day | P:is related to | O:Happy Monday System
S:Respect For The Aged Day | P:is related to | O:Happy Monday System
S:Health And Sports Day | P:is related to | O:Happy Monday System
S:Summer Olympics 1964 | P:occurs at | O:Tokyo
S:Winter Olympics 1972 | P:occurs at | O:Sapporo
S:Winter Olympics 1998 | P:occurs at | O:Nagano
S:2002 Fifa World Cup | P:occurs at | O:Japan
S:2002 Fifa World Cup | P:occurs at | O:South Korea
S:2011 Fifa Women'S World Cup | P:occurs at | O:Japan
S:2019 Rugby World Cup | P:occurs at | O:Japan
S:2006 Basketball World Championship | P:occurs at | O:Japan
S:2023 Basketball World Championship | P:occurs at | O:Japan
