s,p,o
jinshin war,IsRelatedTo,kamakura shogunate
emperor kanmu's capital move,OccursAt,heian-kyo
heian-kyo,WasPresentAt,murasaki shikibu
genpei war defeat,OccursAt,kamakura
genpei war defeat,IsRelatedTo,minamoto clan
mongol invasions repel,IsRelatedTo,hojo clan
mongol invasions repel,IsRelatedTo,hojo clan
go-daigo's defeat,IsRelatedTo,takauji ashikaga
go-daigo's defeat,IsRelatedTo,ashikaga shogunate
"['sanae takaichi takes office', ""Takaichi's prime ministership""]",OccursAt,honshu
"['sanae takaichi takes office', ""Takaichi's prime ministership""]",IsRelatedTo,sanae takaichi
"['sanae takaichi takes office', ""Takaichi's prime ministership""]",IsRelatedTo,liberal democratic party
honshu,OccursAt,environmental laws introduced
honshu,OccursAt,carbon neutrality target announced
honshu,OccursAt,emperor Naruhito's accession
honshu,IsContainedIn,ryukyu islands
honshu,IsContainedIn,chugoku region
honshu,IsContainedIn,shikoku region
honshu,IsContainedIn,seto inland sea
honshu,IsContainedIn,nanpo islands
honshu,IsContainedIn,okinawa
japan's military overseas deployment,OccursAt,iraq
japan's military overseas deployment,IsRelatedTo,japan self-defense forces
statement by shinzo abe,IsRelatedTo,shinzo abe
statement by shinzo abe,IsRelatedTo,national police agency
statement by shinzo abe,IsRelatedTo,national public safety commission
statement by shinzo abe,IsRelatedTo,japan coast guard
statement by shinzo abe,IsRelatedTo,united nations office on drugs and crime
"['spending increase instruction', 'japan military budget increase']",IsRelatedTo,fumio kishida
"['spending increase instruction', 'japan military budget increase']",IsRelatedTo,ministry of defense
"['spending increase instruction', 'japan military budget increase']",IsRelatedTo,japan self-defense forces (jsdf)
"['spending increase instruction', 'japan military budget increase']",IsRelatedTo,united nations office on drugs and crime
highest temperature recorded,OccursAt,sea of japan
highest temperature recorded,IsRelatedTo,environment ministry
sea of japan,WasPresentAt,sanae takaichi
environmental laws introduced,IsRelatedTo,environment ministry
carbon neutrality target announced,IsRelatedTo,environment ministry
surrender of japan,IsRelatedTo,allies
surrender of japan,IsRelatedTo,international military tribunal for the far east
tohoku earthquake,OccursAt,fukushima daiichi
yasunari kawabata,IsRelatedTo,national government of japan
national government of japan,IsRelatedTo,kenzaburo oe
national government of japan,IsRelatedTo,sey shonagon
national government of japan,IsRelatedTo,murasaki shikibu
national government of japan,IsRelatedTo,natsume soseki
national government of japan,IsRelatedTo,mori ogai
national government of japan,IsRelatedTo,ryunosuke akutagawa
national government of japan,IsRelatedTo,jun'ichiro tanizaki
national government of japan,IsRelatedTo,kafu nagai
national government of japan,IsRelatedTo,haruki murakami
national government of japan,IsRelatedTo,kenji nakagami
national government of japan,IsRelatedTo,kenzo tange
national government of japan,IsPartOf,local governments of japan
ishiro honda,IsRelatedTo,nippon professional baseball
go daigo,IsRelatedTo,kamakura shogunate
kamakura shogunate,IsPartOf,ashikaga shogunate
kamakura shogunate,IsPartOf,minamoto clan
kamakura shogunate,IsPartOf,hojo clan
ashikaga takauji,IsRelatedTo,ashikaga shogunate
ashikaga shogunate,IsRelatedTo,takauji ashikaga
tokugawa ieyasu,IsRelatedTo,tokugawa shogunate
matthew perry,WasPresentAt,hong kong
matthew perry,WasPresentAt,singapore
matthew perry,WasPresentAt,nagasaki
naka no Oe,IsRelatedTo,imperial court
imperial court,IsRelatedTo,fujiwara no kamatari
sanae takaichi,WasPresentAt,okinawa
sanae takaichi,IsRelatedTo,liberal democratic party
sanae takaichi,IsRelatedTo,government of japan
liberal democratic party,IsRelatedTo,shinzo abe
liberal democratic party,IsRelatedTo,fumio kishida
liberal democratic party,IsPartOf,ishin
government of japan,IsRelatedTo,shinzo abe
government of japan,IsRelatedTo,fumio kishida
government of japan,IsPartOf,mext
government of japan,IsPartOf,oecd
shinzo abe,IsRelatedTo,japan self-defense forces (jsdf)
japan self-defense forces (jsdf),IsRelatedTo,fumio kishida
national police agency,IsPartOf,national public safety commission
