franjo bucar | IsRelatedTo | croatia
croatia | IsPartOf | government of croatia
croatia | IsPartOf | croatian parliament (sabor)
croatia | IsPartOf | croatian armed forces
croatia | IsPartOf | croatian railways
croatia | IsPartOf | hrvatske ceste
croatia | IsPartOf | hrvatska elektroprivreda
croatia | IsPartOf | croatian government
croatia | IsPartOf | city of zagreb
croatia | IsPartOf | zagreb county
croatia | IsPartOf | koprivnica-krizevci county
croatia | IsPartOf | krapina-zagorje county
croatia | IsPartOf | medimurje county
croatia | IsPartOf | varazdin county
croatia | IsPartOf | bjelovar-bilogora county
croatia | IsPartOf | brod-posavina county
croatia | IsPartOf | karlovac county
croatia | IsPartOf | osijek-baranja county
croatia | IsPartOf | pozega-slavonia county
croatia | IsPartOf | sisak-moslavina county
croatia | IsPartOf | virovitica-podravina county
croatia | IsPartOf | vukovar-syrmia county
croatia | IsPartOf | city of split
croatia | IsPartOf | ministry of culture
croatia | IsPartOf | state anti-fascist council for the national liberation of croatia
croatia | IsPartOf | sabor (croatian parliament)
croatia | IsPartOf | hina
croatia | IsPartOf | croatian radiotelevision (hrt)
franjo tudman | WasPresentAt | croatia
croatia | WasPresentAt | ivo josipovic
croatia | WasPresentAt | andrej plenkovic
croatia | WasPresentAt | zoran milanovic
croatia | IsContainedIn | european union
croatia | IsContainedIn | adriatic province
croatia | IsContainedIn | central european province
croatia | IsContainedIn | illyrian province
croatia | IsContainedIn | boreal kingdom
croatia | IsContainedIn | zagreb
croatia | IsContainedIn | plitvice lakes national park
croatia | IsContainedIn | lika
croatia | IsContainedIn | gorski kotar
croatia | IsContainedIn | pannonian mixed forests
croatia | IsContainedIn | dinaric mountains mixed forests
croatia | IsContainedIn | illyrian deciduous forests
croatia | IsContainedIn | istria
croatia | IsContainedIn | krk
croatia | IsContainedIn | dalmatia
croatia | IsContainedIn | split
croatia | IsContainedIn | northwest croatia
croatia | IsContainedIn | slavonia
croatia | IsContainedIn | rijeka
croatia | IsContainedIn | peljesac bridge
croatia | IsContainedIn | korcula
croatia | IsContainedIn | lastovo
croatia | IsContainedIn | dubrovnik
croatia | IsContainedIn | osijek
croatia | IsContainedIn | vukovar
croatia | IsContainedIn | a1
croatia | IsContainedIn | a3
croatia | IsContainedIn | croatian military frontier
croatia | IsContainedIn | western bosnia
croatia | IsContainedIn | western slavonia
croatia | IsContainedIn | vis
croatia | IsContainedIn | hvar
croatia | IsContainedIn | varazdin
croatia | IsContainedIn | university of zadar
croatia | IsContainedIn | dinara
croatia | IsContainedIn | hrvatsko zagorje
croatia | IsContainedIn | plitvice lakes
croatia | IsContainedIn | cakovec
croatia | IsContainedIn | ploce
croatia | IsContainedIn | bisevo
croatia | IsContainedIn | svetac
croatia | IsContainedIn | insular croatia
croatia | IsContainedIn | sibenik
croatia | IsContainedIn | republic of serbian krajina
croatia | IsContainedIn | eastern slavonia
croatia | IsContainedIn | krajina
croatia | IsContainedIn | karlovac
croatia | OccursAt | independence recognition 879
croatia | OccursAt | independence declared
croatia | OccursAt | national debt level
croatia | OccursAt | branimir recognition
croatia | OccursAt | constitution adopted
croatia | OccursAt | pfp membership
croatia | OccursAt | wto membership
croatia | OccursAt | saa signed
croatia | OccursAt | nato membership
croatia | OccursAt | eu negotiations completed
croatia | OccursAt | mp vote to dissolve
croatia | OccursAt | president dissolves parliament
croatia | OccursAt | eu accession treaty signed
croatia | OccursAt | eu referendum
croatia | OccursAt | eu membership
croatia | OccursAt | plenkovic becomes prime minister
croatia | OccursAt | 2020 presidential election
croatia | OccursAt | euro adopted
croatia | OccursAt | schengen membership
croatia | OccursAt | croatia eurovision debut 1993
croatia | OccursAt | croatia 4th place 1996
croatia | OccursAt | croatia 4th place 1999
croatia | OccursAt | croatia 2nd place 2024
croatia | OccursAt | independence declaration
croatia | OccursAt | independence implemented
croatia | OccursAt | eec recognition
croatia | OccursAt | croatian victory
josip jelacic | WasPresentAt | kingdom of hungary
josip jelacic | IsRelatedTo | austrian empire
josip jelacic | IsRelatedTo | kingdom of hungary
josip jelacic | IsRelatedTo | kingdom of croatia
austrian empire | IsPartOf | illyrian provinces
austrian empire | IsRelatedTo | congress of vienna
austrian empire | IsPartOf | austria-hungary
austrian empire | IsPartOf | kingdom of dalmatia
kingdom of hungary | IsRelatedTo | louis ii death
kingdom of hungary | IsRelatedTo | battle of mohacs
kingdom of hungary | IsPartOf | austria-hungary
kingdom of croatia | IsRelatedTo | battle of sisak
kingdom of croatia | IsRelatedTo | cetin election
kingdom of croatia | IsRelatedTo | battle of mohacs
kingdom of croatia | IsRelatedTo | battle of krbava
kingdom of croatia | IsPartOf | sabor
kingdom of croatia | IsPartOf | croatian military frontier
nikola tesla | WasPresentAt | smiljan
julius nepos | WasPresentAt | italy
julius nepos | WasPresentAt | diocletian's palace
julius nepos | IsRelatedTo | western roman empire
diocletian's palace | IsContainedIn | split
ruder boskovic | IsRelatedTo | ruder boskovic institute
ivo josipovic | IsRelatedTo | president dissolves parliament
ivo josipovic | IsRelatedTo | croatian parliament (sabor)
president dissolves parliament | IsRelatedTo | croatian parliament (sabor)
croatian parliament (sabor) | IsRelatedTo | union with serbia
croatian parliament (sabor) | IsRelatedTo | independence declaration
croatian parliament (sabor) | IsRelatedTo | mp vote to dissolve
croatian parliament (sabor) | IsRelatedTo | constitution adopted
croatian parliament (sabor) | IsPartOf | republic of croatia
andrej plenkovic | IsRelatedTo | plenkovic becomes prime minister
andrej plenkovic | IsRelatedTo | government of croatia
plenkovic becomes prime minister | IsRelatedTo | government of croatia
government of croatia | IsPartOf | republic of croatia
zoran milanovic | IsRelatedTo | 2020 presidential election
vladimir zerjavic | IsRelatedTo | socialist federal republic of yugoslavia (sfr yugoslavia)
socialist federal republic of yugoslavia (sfr yugoslavia) | IsRelatedTo | bogoljub kocovic
socialist federal republic of yugoslavia (sfr yugoslavia) | IsRelatedTo | josip broz
socialist federal republic of yugoslavia (sfr yugoslavia) | IsPartOf | montenegro
socialist federal republic of yugoslavia (sfr yugoslavia) | IsPartOf | kosovo
socialist federal republic of yugoslavia (sfr yugoslavia) | IsPartOf | vojvodina
socialist federal republic of yugoslavia (sfr yugoslavia) | IsPartOf | yugoslav people's army (jna)
josip broz | IsRelatedTo | yugoslavia
josip broz | IsRelatedTo | soviet troops
josip broz | IsRelatedTo | allies
josip broz | IsRelatedTo | yugoslav partisans
yugoslavia | IsRelatedTo | six january dictatorship
yugoslavia | IsRelatedTo | riva eurovision win 1989
yugoslavia | IsRelatedTo | yugoslavia esc debut 1961
yugoslavia | IsPartOf | banovina of croatia
yugoslavia | IsPartOf | yugoslav government
yugoslavia | IsPartOf | avnoj
yugoslav partisans | IsRelatedTo | sisak partisan formation
yugoslav partisans | IsPartOf | 1st sisak partisan detachment
stjepan radic | WasPresentAt | national assembly
stjepan radic | IsRelatedTo | national assembly
stjepan radic | IsRelatedTo | croatian peasant party
national assembly | WasPresentAt | punisa racic
national assembly | IsPartOf | kingdom of serbs, croats, and slovenes
croatian peasant party | IsRelatedTo | vladko macek
punisa racic | IsRelatedTo | nrs
vladko macek | IsRelatedTo | banovina of croatia
ante pavelic | IsRelatedTo | italy
ante pavelic | IsRelatedTo | nazi germany
ante pavelic | IsRelatedTo | ustase
ante pavelic | IsRelatedTo | independent state of croatia (ndh)
italy | IsPartOf | european union
ustase | IsPartOf | independent state of croatia (ndh)
bosnia and herzegovina | IsContainedIn | north-western bosnia
bosnia and herzegovina | IsContainedIn | neum
slovenia | IsContainedIn | krsko nuclear power plant
schengen area | OccursAt | schengen accession
eurozone | OccursAt | eurozone accession
erm ii | OccursAt | erm ii entry
zagreb | IsContainedIn | transleithania
zagreb | IsContainedIn | northwest croatia
zagreb | IsContainedIn | banski dvori
zagreb | IsContainedIn | franjo tudman airport
zagreb | IsContainedIn | ruder boskovic institute
zagreb | IsContainedIn | croatian academy of sciences and arts
zagreb | OccursAt | hamburg–zagreb launch
transleithania | IsContainedIn | osijek
transleithania | IsContainedIn | vukovar
transleithania | IsContainedIn | bjelovar
transleithania | IsContainedIn | gospic
transleithania | IsContainedIn | ogulin
transleithania | IsContainedIn | pozega
transleithania | IsContainedIn | varazdin
northwest croatia | IsContainedIn | koprivnica-krizevci county
northwest croatia | IsContainedIn | krapina-zagorje county
northwest croatia | IsContainedIn | medimurje county
northwest croatia | IsContainedIn | varazdin county
northwest croatia | IsContainedIn | zagreb county
gorski kotar | IsContainedIn | risnjak
gorski kotar | IsContainedIn | snjeznik
krk | IsContainedIn | insular croatia
insular croatia | IsContainedIn | cres
dalmatia | IsContainedIn | dubrovnik
slavonia | IsContainedIn | pannonian basin
rijeka | IsContainedIn | refinery in rijeka
belgrade | OccursAt | union with serbia
belgrade | OccursAt | six january dictatorship
dubrovnik | OccursAt | end ragusan republic
osijek | IsContainedIn | tvrda
zadar | IsContainedIn | church of st donatus
lng hrvatska terminal | OccursAt | lng terminal opening
hungary | IsContainedIn | baranja
hungary | IsContainedIn | medimurje
independent state of croatia | IsContainedIn | syrmia
vienna | OccursAt | illyrian provinces created
vienna | OccursAt | congress of vienna
yugoslavia | IsContainedIn | kosovo
yugoslavia | IsContainedIn | vojvodina
yugoslavia | OccursAt | yugoslavia esc debut 1961
yugoslavia | OccursAt | riva eurovision win 1989
kingdom of croatia | IsContainedIn | croatian littoral
krbava field | OccursAt | battle of krbava
mohacs | OccursAt | battle of mohacs
mohacs | OccursAt | louis ii death
cetin | OccursAt | cetin election
sisak | OccursAt | battle of sisak
sisak | OccursAt | sisak partisan formation
illyrian provinces | IsContainedIn | austrian empire
vis | OccursAt | battle of vis
central and eastern (pannonian) croatia | IsContainedIn | bjelovar-bilogora county
central and eastern (pannonian) croatia | IsContainedIn | brod-posavina county
central and eastern (pannonian) croatia | IsContainedIn | karlovac county
central and eastern (pannonian) croatia | IsContainedIn | osijek-baranja county
central and eastern (pannonian) croatia | IsContainedIn | pozega-slavonia county
central and eastern (pannonian) croatia | IsContainedIn | sisak-moslavina county
central and eastern (pannonian) croatia | IsContainedIn | virovitica-podravina county
central and eastern (pannonian) croatia | IsContainedIn | vukovar-syrmia county
cakovec | OccursAt | lowest temperature recorded
ploce | OccursAt | highest temperature recorded
sibenik | IsContainedIn | cathedral of st james
croatian parliament (sabor) | OccursAt | independence declaration
schengen accession | IsRelatedTo | schengen area
eurozone accession | IsRelatedTo | eurozone
erm ii entry | IsRelatedTo | erm ii
lng terminal opening | IsRelatedTo | lng hrvatska
hamburg–zagreb launch | IsRelatedTo | croatia airlines
battle of krbava | IsRelatedTo | ottoman empire
battle of mohacs | IsRelatedTo | ottoman empire
cetin election | IsRelatedTo | sabor
cetin election | IsRelatedTo | house of habsburg
battle of sisak | IsRelatedTo | ottoman empire
end venetian republic | IsRelatedTo | republic of venice
end venetian republic | IsRelatedTo | first french empire
end ragusan republic | IsRelatedTo | republic of ragusa
end ragusan republic | IsRelatedTo | first french empire
illyrian provinces created | IsRelatedTo | first french empire
illyrian provinces created | IsRelatedTo | illyrian provinces
battle of vis | IsRelatedTo | first french empire
battle of vis | IsRelatedTo | royal navy
congress of vienna | IsRelatedTo | illyrian provinces
treaty of berlin | IsRelatedTo | austria-hungary
branimir recognition | IsRelatedTo | duchy of croatia
pfp membership | IsRelatedTo | partnership for peace
pfp membership | IsRelatedTo | north atlantic treaty organization (nato)
wto membership | IsRelatedTo | world trade organization
saa signed | IsRelatedTo | european union
nato membership | IsRelatedTo | north atlantic treaty organization (nato)
eu negotiations completed | IsRelatedTo | european union
eu accession treaty signed | IsRelatedTo | european union
eu referendum | IsRelatedTo | european union
eu membership | IsRelatedTo | european union
oecd accession talks opened | IsRelatedTo | organisation for economic co-operation and development (oecd)
oecd accession talks opened | IsRelatedTo | oecd council
euro adopted | IsRelatedTo | eurozone
schengen membership | IsRelatedTo | schengen area
riva eurovision win 1989 | IsRelatedTo | riva
eec recognition | IsRelatedTo | european economic community
croatian victory | IsRelatedTo | republic of serbian krajina
independence declaration | IsRelatedTo | state of slovenes, croats, and serbs
union with serbia | IsRelatedTo | state of slovenes, croats, and serbs
union with serbia | IsRelatedTo | kingdom of serbia
union with serbia | IsRelatedTo | kingdom of serbs, croats, and slovenes
sisak partisan formation | IsRelatedTo | 1st sisak partisan detachment
north atlantic treaty organization (nato) | IsPartOf | partnership for peace
united nations security council | IsPartOf | united nations
united nations | IsPartOf | united nations transitional administration for eastern slavonia, baranja and western sirmium (untaes)
eurozone | IsPartOf | european union
european union | IsPartOf | slovenia
european union | IsPartOf | natura 2000
european union | IsPartOf | european investment bank
european union | IsPartOf | hungary
european union | IsPartOf | austria
european union | IsPartOf | eurostat
european union | IsPartOf | germany
european union | IsPartOf | czechia
european union | IsPartOf | poland
european union | IsPartOf | france
european union | IsPartOf | netherlands
european union | IsPartOf | slovakia
european union | IsPartOf | european environmental agency
ministry of the interior | IsPartOf | national police force
bosnia and herzegovina | IsPartOf | austria-hungary
serbia | IsPartOf | vojvodina
croatian armed forces (caf) | IsPartOf | croatian air force
croatian armed forces (caf) | IsPartOf | croatian army
croatian armed forces (caf) | IsPartOf | croatian navy
croatian armed forces (caf) | IsPartOf | education and training command
croatian armed forces (caf) | IsPartOf | support command
croatian armed forces (caf) | IsPartOf | general staff
republic of croatia | IsPartOf | european union language association
republic of croatia | IsPartOf | croatian armed forces
unesco | IsPartOf | unesco man and the biosphere programme
croatian olympic committee | IsPartOf | olympic movement
socialist republic of croatia | IsPartOf | socialist federal republic of yugoslavia
international security assistance force | IsPartOf | north atlantic treaty organization
north atlantic treaty organization | IsPartOf | kosovo force
croatian government | IsPartOf | office of displaced persons and refugees
first french empire | IsPartOf | illyrian provinces
francia | IsPartOf | duchy of croatia
croats | IsPartOf | slavs
organisation for economic co-operation and development (oecd) | IsPartOf | oecd council
hanza media | IsPartOf | jutarnji list
styria media group | IsPartOf | vecernji list
