zagreb | IsContainedIn | croatia
university of zagreb | OccursAt | zagreb university founded
rudjer boskovic institute | WasPresentAt | rudjer boskovic
rudjer boskovic institute | OccursAt | ['r&d expenditure 2022', 'corruption index 2022']
croatian academy of sciences and arts | OccursAt | croatian academy inception
zagreb fair | WasPresentAt | interliber
sibenik | IsContainedIn | cathedral of st james in sibenik
tehran | WasPresentAt | josip tito
cathedral of st james in sibenik | WasPresentAt | giorgio da sebenico
cathedral of st james in sibenik | WasPresentAt | nicolas of florence
franjo bucar | IsRelatedTo | croatian olympic committee
croatian olympic committee | IsPartOf | croatian sports association
franjo tudman | IsRelatedTo | croatian government
franjo tudman | IsRelatedTo | franjo tudman airport
croatian government | IsRelatedTo | 1991 croatia displacements
croatian government | IsRelatedTo | independence declared
croatian government | IsPartOf | office of displaced persons and refugees
petar kresimir iv | IsRelatedTo | kingdom of croatia
kingdom of croatia | IsRelatedTo | dmitar zvonimir
kingdom of croatia | IsRelatedTo | louis ii
kingdom of croatia | IsRelatedTo | ferdinand i
kingdom of croatia | IsRelatedTo | stjepan ii
kingdom of croatia | IsRelatedTo | ladislaus crown claim
kingdom of croatia | IsRelatedTo | croatia hungary union
kingdom of croatia | IsRelatedTo | dmitar zvonimir reign
kingdom of croatia | IsRelatedTo | petar kresimir iv reign
kingdom of croatia | IsRelatedTo | tomislav king recognition
kingdom of croatia | IsRelatedTo | jelacic defeats hungarians
kingdom of croatia | IsRelatedTo | hungary croatia union
kingdom of croatia | IsRelatedTo | tomislav recognized as king
ladislaus i | IsRelatedTo | hungary croatia union
hungary croatia union | OccursAt | hungary
louis ii | IsRelatedTo | battle mohacs
battle mohacs | IsRelatedTo | ottoman empire
ferdinand i | IsRelatedTo | cetin election
ferdinand i | IsRelatedTo | house of habsburg
cetin election | IsRelatedTo | sabor
house of habsburg | IsPartOf | military frontier
maria theresa | IsRelatedTo | austrian empire
austrian empire | IsRelatedTo | 1848 revolution
austrian empire | IsRelatedTo | dalmatia formed
austrian empire | IsRelatedTo | illyrian provinces captured
austrian empire | IsRelatedTo | rijeka corpus separatum
charles iii | IsRelatedTo | parliament pragmatic sanction
charles iii | IsRelatedTo | sabor
parliament pragmatic sanction | IsRelatedTo | sabor
sabor | OccursAt | parliament dissolution
sabor | OccursAt | sabor dissolution
josip jelacic | IsRelatedTo | jelacic defeats hungarians
julius nepos | IsRelatedTo | julius nepos rule
julius nepos | IsRelatedTo | roman empire
julius nepos rule | IsRelatedTo | roman empire
roman empire | IsRelatedTo | roman annexation croatia
andrej plenkovic | IsRelatedTo | plenkovic prime minister
ivo josipovic | IsRelatedTo | dec 2011 elections
ivo josipovic | IsRelatedTo | sabor dissolution
zoran milanovic | IsRelatedTo | presidential election 2020
vladimir zerjavic | IsRelatedTo | state anti-fascist council for the national liberation of croatia
state anti-fascist council for the national liberation of croatia | IsRelatedTo | bogoljub kocovic
stjepan radic | IsRelatedTo | croatian peasant party
croatian peasant party | IsRelatedTo | vladko macek
punisa racic | IsRelatedTo | narodna radikalna stranka
ante pavelic | IsRelatedTo | independent state of croatia
josip tito | IsRelatedTo | yugoslav partisan movement
yugoslav partisan movement | IsRelatedTo | first sisak detachment
yugoslav partisan movement | IsPartOf | first sisak partisan detachment
ministry of the interior | IsPartOf | security and intelligence agency
croatian armed forces | IsPartOf | education and training command
croatian armed forces | IsPartOf | support command
croatian armed forces | IsPartOf | croatian air force
croatian armed forces | IsPartOf | croatian army
croatian armed forces | IsPartOf | croatian navy
european union | IsRelatedTo | ['schengen membership', 'join schengen eurozone', 'euro adoption']
european union | IsRelatedTo | eu membership
european union | IsRelatedTo | acc treaty signed
european union | IsRelatedTo | eu accession completed
european union | IsRelatedTo | eu-saa signing
european union | IsRelatedTo | croatia joins eu
european union | IsPartOf | eurostat
european union | IsPartOf | european environment agency
['schengen membership', 'join schengen eurozone', 'euro adoption'] | IsRelatedTo | ministry of foreign affairs and european integration
ministry of foreign affairs and european integration | IsRelatedTo | join erm ii
republic of croatia | IsRelatedTo | ['literacy rate 2021', '2021 census', 'census 2021']
republic of croatia | IsRelatedTo | education law 2007
republic of croatia | IsRelatedTo | foreign language survey 2011
republic of croatia | IsRelatedTo | ec language survey 2005
republic of croatia | IsPartOf | european union language association
eurotap | IsRelatedTo | motorway mileage 2020
motorway mileage 2020 | IsRelatedTo | eurotest
croatia airlines | IsRelatedTo | hamburg zagreb service
hrvatska elektroprivreda | IsPartOf | krsko nuclear power plant
independence declared | IsRelatedTo | croatian parliament
croatia independence | IsRelatedTo | yugoslav people's army
nato | IsRelatedTo | nato accession
nato | IsRelatedTo | isaf troops afghanistan 2019
united nations | IsRelatedTo | peacekeeping deployments may 2019
world trade organization | IsRelatedTo | wto membership
partnership for peace | IsRelatedTo | partnership for peace
1991 croatia displacements | IsRelatedTo | office of displaced persons and refugees
1991 croatia displacements | IsRelatedTo | serb forces
isaf troops afghanistan 2019 | IsRelatedTo | croatian military
peacekeeping deployments may 2019 | IsRelatedTo | croatian military
transparency international | IsRelatedTo | ['r&d expenditure 2022', 'corruption index 2022']
bounce | IsRelatedTo | ['wedding trends 2023', 'bounce index 2023']
republic of venice | IsRelatedTo | dalmatia venetian control
military frontier | IsRelatedTo | territorial split
ottoman empire | IsRelatedTo | great turkish war begins
ottoman empire | IsRelatedTo | battle sisak
ottoman empire | IsRelatedTo | krbava field battle
austro-hungarian empire | IsRelatedTo | world war i halts reforms
austro-hungarian empire | IsRelatedTo | frontier return croatia
austro-hungarian empire | IsRelatedTo | treaty berlin 1878
austro-hungarian empire | IsRelatedTo | croatia hungary settlement
austro-hungarian empire | IsRelatedTo | austro-hungarian compromise
illyrian provinces | IsRelatedTo | illyrian provinces established
royal navy | IsRelatedTo | battle of vis
croatian national revival | IsRelatedTo | croatian national revival
duchy of croatia | IsRelatedTo | branimir papal recognition
duchy of croatia | IsRelatedTo | duchy croatia attested
duchy of croatia | IsRelatedTo | trpimir charter
duchy of croatia | IsPartOf | francia
trpimirovic dynasty | IsRelatedTo | stjepan ii death
croatian military | IsRelatedTo | kfor troops kosovo 2019
kfor troops kosovo 2019 | IsRelatedTo | kfor
hs produkt | IsRelatedTo | arms exports 2020
arms exports 2020 | IsRelatedTo | djuro djakovic factory
organization for economic co-operation and development | IsRelatedTo | oecd accession opened
european economic community | IsRelatedTo | eec recognition
state of slovenes, croats, and serbs | IsRelatedTo | union with serbia
state of slovenes, croats, and serbs | IsPartOf | kingdom of serbs, croats, and slovenes
union with serbia | IsRelatedTo | kingdom of serbia
kingdom of serbs, croats, and slovenes | IsPartOf | kingdom of serbia
croatian parliament (sabor) | IsRelatedTo | 6 january dictatorship
croatian parliament (sabor) | IsRelatedTo | independence declaration
first sisak detachment | IsRelatedTo | first sisak partisan detachment
