Toivo Reingoldt | occupation | swimmer
Simon Bassey | coach of sports team | AFC Wimbledon
Max Weiler | coach of sports team | FC Schaffhausen
Tim Mulqueen | coach of sports team | Memphis 901 FC
Filippo Galli | coach of sports team | A.C. Milan
Guillermo Barros Schelotto | coach of sports team | LA Galaxy
Billy Orchard | coach of sports team | Geelong Football Club
Jákup á Borg | coach of sports team | B36 Tórshavn
Wally Downes | coach of sports team | AFC Wimbledon
Reg Hickey | coach of sports team | Geelong Football Club
Steve Chettle | league | Premier League
Shay Given | league | Premier League
David Luiz | league | Premier League
Paul Pogba | league | Premier League
Christian Benteke | league | Premier League
Sylvain Wiltord | league | Premier League
Michael Carrick | league | Premier League
Celestine Babayaro | league | Premier League
Harry Maguire | league | Premier League
Adam Hammill | league | Premier League
Marouane Chamakh | league | Premier League
Thierry Henry | league | Premier League
Fabien Barthez | league | Premier League
Simon Mignolet | league | Premier League
Eden Hazard | league | Premier League
Brad Friedel | league | Premier League
David Beckham | league | Major League Soccer
Daniel Sturridge | league | Premier League
Roberto Pereyra | league | Premier League
Titus Bramble | league | Premier League
Winston Reid | league | Premier League
Asier del Horno | league | Premier League
Nathaniel Chalobah | league | Premier League
Diniyar Bilyaletdinov | league | Premier League
Matěj Vydra | league | Premier League
Brad Guzan | league | Premier League
Marians Pahars | league | Premier League
Gareth Barry | league | Premier League
Henrikh Mkhitaryan | league | Premier League
Michael Ballack | league | Premier League
Mikel Arteta | league | Premier League
Jack Colback | league | Premier League
Roberto Di Matteo | league | Premier League
Leighton Baines | league | Premier League
George Weah | league | Premier League
Jack Butland | league | Premier League
Ryan Babel | league | Premier League
David N'Gog | league | Premier League
Ledley King | league | Premier League
Stéphane Guivarc'h | league | Premier League
Peter Schmeichel | league | Premier League
Jimmy Floyd Hasselbaink | league | Premier League
Matthew Upson | league | Premier League
Jonathan dos Santos | league | Major League Soccer
Rémi Garde | league | Premier League
Phil Bardsley | league | Premier League
Alexandre Pato | league | Premier League
John Arne Riise | league | Premier League
Jonny Evans | league | Premier League
Didier Drogba | league | Premier League
Javier Mascherano | league | Premier League
Darren Fletcher | league | Premier League
Obafemi Martins | league | Premier League
Andy Carroll | league | Premier League
Lucas Leiva | league | Premier League
Andreas Isaksson | league | Premier League
Nigel Pearson | league | Premier League
Enda Stevens | league | Premier League
Theo Walcott | league | Premier League
Raheem Sterling | league | Premier League
Ruud van Nistelrooy | league | Premier League
Calum Chambers | league | Premier League
Robert Pires | league | Premier League
Emile Heskey | league | Premier League
Karl Henry | league | Premier League
Zesh Rehman | league | Premier League
Tim Howard | league | Premier League
Christian Ziege | league | Premier League
Yuri Zhirkov | league | Premier League
Michael Owen | league | Premier League
Mauricio Pellegrino | league | Premier League
Brett Holman | league | Premier League
Craig Bellamy | league | Premier League
Lukas Podolski | league | Premier League
Paul Scholes | league | Premier League
Giorgos Donis | league | Premier League
Robert Huth | league | Premier League
Wayne Hennessey | league | Premier League
Roque Santa Cruz | league | Premier League
Darron Gibson | league | Premier League
Super Rugby | country of origin  | South Africa
Omark Model 44 | country of origin  | Australia
Carlos Tevez | league | Premier League
Collins John | league | Premier League
Clarke Carlisle | league | Premier League
Jack Colback | league | Premier League
Mixu Paatelainen | league | Premier League
Shaun Maloney | league | Premier League
Robin van Persie | league | Premier League
Scott Parker | league | Premier League
Dean Kiely | league | Premier League
Jonny Evans | league | Premier League
Adam Lallana | league | Premier League
Aleksandar Kolarov | league | Premier League
Kevin Nolan | league | Premier League
Freddie Ljungberg | league | Premier League
Ibrahima Sonko | league | Premier League
Theo Walcott | league | Premier League
David Beckham | league | Premier League
Bradley Wright-Phillips | league | Premier League
Radamel Falcao | league | Premier League
Simon Mignolet | league | Premier League
Howard Easterling | league | Negro league baseball
Andy Wilkinson | league | Premier League
Oka Nikolov | league | Major League Soccer
Chris Herd | league | Premier League
Sol Campbell | league | Premier League
Robert Pires | league | Premier League
Nwankwo Kanu | league | Premier League
Alan Shearer | league | Premier League
Nicky Weaver | league | Premier League
Billy Sharp | league | Premier League
Shkodran Mustafi | league | Premier League
Arne Friedrich | league | Major League Soccer
Miguel Britos | league | Premier League
Michael Ballack | league | Premier League
Jud Wilson | league | Negro league baseball
Quincy Owusu-Abeyie | league | Premier League
Park Ji-sung | league | Premier League
David Meyler | league | Premier League
Jonjo Shelvey | league | Premier League
David Rocastle | league | Premier League
Chris Woods | league | Premier League
Mauricio Pellegrino | league | Premier League
Colin Kazim-Richards | league | Premier League
Darren Ferguson | league | Premier League
Ezequiel Schelotto | league | Premier League
Ashley Barnes | league | Premier League
Jody Craddock | league | Premier League
Jody Morris | league | Premier League
Marians Pahars | league | Premier League
Hidetoshi Nakata | league | Premier League
Liam Lawrence | league | Premier League
John Harkes | league | Premier League
Gary Naysmith | league | Premier League
Aaron Mooy | league | Premier League
Steven Caulker | league | Premier League
David Seaman | league | Premier League
Winston Bogarde | league | Premier League
Ryan Giggs | league | Premier League
Phil Bardsley | league | Premier League
Seyi Olofinjana | league | Premier League
Matěj Vydra | league | Premier League
Marouane Chamakh | league | Premier League
Allan Nielsen | league | Premier League
Charles N'Zogbia | league | Premier League
Kyle Walker | league | Premier League
Jack Wilshere | league | Premier League
David Ginola | league | Premier League
Tim Flowers | league | Premier League
Mark Hughes | league | Premier League
Andy Griffin | league | Premier League
Bobby Mimms | league | Premier League
Alexandre Lacazette | league | Premier League
Samir Nasri | league | Premier League
Paul Pogba | league | Premier League
Emircan Koşut | league | EuroLeague
Paul Scholes | league | Premier League
Glenn Carano | league | United States Football League
Paolo Di Canio | league | Premier League
Gareth McAuley | league | Premier League
Glenn Murray | league | Premier League
Bosnia and Herzegovina women's national volleyball team | competition class | women's volleyball
Russia men's national under-19 volleyball team | competition class | men's volleyball
Senegal women's national volleyball team | competition class | women's volleyball
Costa Rica women's national volleyball team | competition class | women's volleyball
Israel women's national water polo team | competition class | women's water polo
Cuba women's national volleyball team | competition class | women's volleyball
Italy women's national under-18 volleyball team | competition class | women's volleyball
Burkina Faso women's national volleyball team | competition class | women's volleyball
Papua New Guinea national under-23 football team | competition class | men's U23 association football
South Africa men's national volleyball team | competition class | men's volleyball
Spain women's national water polo team | competition class | women's water polo
Nepal women's national volleyball team | competition class | women's volleyball
Ukraine women's national volleyball team | competition class | women's volleyball
Slovakia women's national volleyball team | competition class | women's volleyball
Croatia women's national under-18 volleyball team | competition class | women's volleyball
Ethiopia national under-20 football team | competition class | men's U20 association football
Iran men's national volleyball team | competition class | men's volleyball
Chinese Taipei women's national ice hockey team | competition class | women's ice hockey
Tonga national under-23 football team | competition class | men's U23 association football
Belgium women's national volleyball team | competition class | women's volleyball
Ethiopia national under-20 football team | competition class | men's U20 association football
Faroe Islands national under-21 football team | competition class | men's U21 association football
England women's national under-21 football team | competition class | women's U21 association football
Canada women's national volleyball team | competition class | women's volleyball
Tunisia women's national volleyball team | competition class | women's volleyball
Indonesia women's national volleyball team | competition class | women's volleyball
Albania national under-20 football team | competition class | men's U20 association football
Tunisia men's national under-19 volleyball team | competition class | men's volleyball
Guatemala women's national volleyball team | competition class | women's volleyball
India national under-20 football team | competition class | men's U20 association football
Denmark men's national volleyball team | competition class | men's volleyball
Switzerland women's national ice hockey team | competition class | women's ice hockey
Azerbaijan men's national volleyball team | competition class | men's volleyball
Nicaragua women's national volleyball team | competition class | women's volleyball
Sweden women's national volleyball team | competition class | women's volleyball
Sweden national under-21 football team | competition class | men's U21 association football
Seychelles women's national volleyball team | competition class | women's volleyball
Uruguay men's national volleyball team | competition class | men's volleyball
Italy men's national under-23 volleyball team | competition class | men's volleyball
Northern Ireland national under-18 schoolboys football team | competition class | men's U18 association football
Croatia national under-21 football team | competition class | men's U21 association football
Cuba men's national under-19 volleyball team | competition class | men's volleyball
Qatar women's national volleyball team | competition class | women's volleyball
Romania national under-21 football team | competition class | men's U21 association football
Albania national under-16 football team | competition class | men's U16 association football
Latvia women's national volleyball team | competition class | women's volleyball
Mississauga Chiefs | competition class | women's ice hockey
Turkey women's national under-23 volleyball team | competition class | women's volleyball
Venezuela women's national volleyball team | competition class | women's volleyball
Iran men's national under-23 volleyball team | competition class | men's volleyball
Barbados men's national volleyball team | competition class | men's volleyball
South Korea women's national volleyball team | competition class | women's volleyball
EPA Larnaca FC | competition class | women's volleyball
Canada men's national under-18 soccer team | competition class | men's U18 association football
Belgium women's national under-18 volleyball team | competition class | women's volleyball
Mongolia women's national volleyball team | competition class | women's volleyball
Uruguay women's national volleyball team | competition class | women's volleyball
United States women's national volleyball team | competition class | women's volleyball
Vaughan Flames | competition class | women's ice hockey
Togo women's national volleyball team | competition class | women's volleyball
Botswana women's national volleyball team | competition class | women's volleyball
Nepal national under-23 football team | competition class | men's U23 association football
Brazil women's national under-18 volleyball team | competition class | women's volleyball
Bulgaria women's national under-18 volleyball team | competition class | women's volleyball
Solomon Islands national under-23 football team | competition class | men's U23 association football
Bangladesh men's national volleyball team | competition class | men's volleyball
Singapore men's national volleyball team | competition class | men's volleyball
Japan women's national volleyball team | competition class | women's volleyball
Gambia women's national volleyball team | competition class | women's volleyball
Cook Islands national football team | competition class | men's association football
Croatia women's national under-23 volleyball team | competition class | women's volleyball
England women's national under-19 football team | competition class | women's U19 association football
Saint Vincent and the Grenadines women's national volleyball team | competition class | women's volleyball
Sri Lanka women's national volleyball team | competition class | women's volleyball
Northern Mariana Islands national football team | competition class | men's association football
Brazil women's national under-20 volleyball team | competition class | women's volleyball
Germany national under-20 football team | competition class | men's U20 association football
Cameroon women's national volleyball team | competition class | women's volleyball
Somalia national under-23 football team | competition class | men's U23 association football
Cambodia women's national volleyball team | competition class | women's volleyball
