145534 Jhongda | site of astronomical discovery | Lulin Observatory
16525 Shumarinaiko | site of astronomical discovery | Kitami Observatory
4486 Mithra | site of astronomical discovery | Rozhen Observatory
63305 Bobkepple | site of astronomical discovery | Junk Bond Observatory
42 Isis | site of astronomical discovery | Radcliffe Observatory
39741 Komm | site of astronomical discovery | Goodricke-Pigott Observatory
161 Athor | site of astronomical discovery | Detroit Observatory
62 Erato | site of astronomical discovery | Berlin Observatory
24101 Cassini | site of astronomical discovery | Fountain Hills Observatory
2080 Jihlava | site of astronomical discovery | Zimmerwald Observatory
2131 Mayall | site of astronomical discovery | Lick Observatory
1951 Lick | site of astronomical discovery | Lick Observatory
3960 Chaliubieju | site of astronomical discovery | Purple Mountain Observatory
1845 Helewalda | site of astronomical discovery | Zimmerwald Observatory
1133 Lugduna | site of astronomical discovery | Leiden Southern Station
(5604) 1992 FE | site of astronomical discovery | Siding Spring Observatory
2029 Binomi | site of astronomical discovery | Zimmerwald Observatory
5635 Cole | site of astronomical discovery | Siding Spring Observatory
1830 Pogson | site of astronomical discovery | Zimmerwald Observatory
2014 Vasilevskis | site of astronomical discovery | Lick Observatory
1960 Guisan | site of astronomical discovery | Zimmerwald Observatory
4008 Corbin | site of astronomical discovery | Leoncito Astronomical Complex
4263 Abashiri | site of astronomical discovery | Kitami Observatory
52246 Donaldjohanson | site of astronomical discovery | Siding Spring Observatory
11949 Kagayayutaka | site of astronomical discovery | Kitami Observatory
34351 Decatur | site of astronomical discovery | Emerald Lane Observatory
1600 Vyssotsky | site of astronomical discovery | Lick Observatory
5855 Yukitsuna | site of astronomical discovery | JCPM Yakiimo Station
5380 Sprigg | site of astronomical discovery | Siding Spring Observatory
1768 Appenzella | site of astronomical discovery | Zimmerwald Observatory
2175 Andrea Doria | site of astronomical discovery | Zimmerwald Observatory
9936 Al-Biruni | site of astronomical discovery | Rozhen Observatory
4401 Aditi | minor planet group | Amor asteroid
2009 DD45 | minor planet group | Apollo asteroid
2001 GO2 | minor planet group | Apollo asteroid
(8035) 1992 TB | minor planet group | Apollo asteroid
3671 Dionysus | minor planet group | Amor asteroid
2102 Tantalus | minor planet group | Apollo asteroid
6063 Jason | minor planet group | Apollo asteroid
3553 Mera | minor planet group | Amor asteroid
(10302) 1989 ML | minor planet group | Amor asteroid
2012 FP35 | minor planet group | Apollo asteroid
(163249) 2002 GT | minor planet group | Apollo asteroid
2011 GA | minor planet group | Apollo asteroid
NGC 331 | constellation | Cetus
NGC 6085 | constellation | Corona Borealis
NGC 61 | constellation | Cetus
NGC 5962 | constellation | Serpens
NGC 192 | constellation | Cetus
NGC 6925 | constellation | Microscopium
NGC 276 | constellation | Cetus
NGC 2613 | constellation | Pyxis
NGC 7060 | constellation | Microscopium
NGC 684 | constellation | Triangulum
NGC 922 | constellation | Fornax
NGC 142 | constellation | Cetus
NGC 367 | constellation | Cetus
NGC 118 | constellation | Cetus
NGC 478 | constellation | Cetus
NGC 4100 | constellation | Ursa Major
NGC 985 | constellation | Cetus
NGC 1090 | constellation | Cetus
NGC 73 | constellation | Cetus
NGC 107 | constellation | Cetus
NGC 168 | constellation | Cetus
NGC 669 | constellation | Triangulum
NGC 1398 | constellation | Fornax
NGC 428 | constellation | Cetus
NGC 173 | constellation | Cetus
NGC 779 | constellation | Cetus
Black Eye Galaxy | constellation | Coma Berenices
NGC 4414 | constellation | Coma Berenices
NGC 3310 | constellation | Ursa Major
NGC 6384 | constellation | Ophiuchus
NGC 352 | constellation | Cetus
NGC 497 | constellation | Cetus
NGC 178 | constellation | Cetus
NGC 908 | constellation | Cetus
NGC 7003 | constellation | Delphinus
NGC 1019 | constellation | Cetus
NGC 337 | constellation | Cetus
NGC 4090 | constellation | Coma Berenices
NGC 3783 | constellation | Centaurus
NGC 207 | constellation | Cetus
NGC 2082 | constellation | Dorado
NGC 271 | constellation | Cetus
NGC 4571 | constellation | Coma Berenices
NGC 1022 | constellation | Cetus
NGC 4595 | constellation | Coma Berenices
NGC 1425 | constellation | Fornax
NGC 4076 | constellation | Coma Berenices
NGC 171 | constellation | Cetus
NGC 165 | constellation | Cetus
NGC 1350 | constellation | Fornax
NGC 4394 | constellation | Coma Berenices
NGC 1672 | constellation | Dorado
NGC 3079 | constellation | Ursa Major
NGC 755 | constellation | Cetus
NGC 4312 | constellation | Coma Berenices
NGC 1365 | constellation | Fornax
NGC 434 | constellation | Tucana
NGC 5640 | constellation | Camelopardalis
NGC 143 | constellation | Cetus
NGC 4559 | constellation | Coma Berenices
Messier 100 | constellation | Coma Berenices
NGC 223 | constellation | Cetus
NGC 3726 | constellation | Ursa Major
NGC 4603 | constellation | Centaurus
NGC 1032 | constellation | Cetus
NGC 925 | constellation | Triangulum
Messier 91 | constellation | Coma Berenices
NGC 7015 | constellation | Equuleus
NGC 4041 | constellation | Ursa Major
NGC 64 | constellation | Cetus
NGC 481 | constellation | Cetus
NGC 66 | constellation | Cetus
NGC 1310 | constellation | Fornax
NGC 195 | constellation | Cetus
NGC 4945 | constellation | Centaurus
NGC 187 | constellation | Cetus
NGC 4092 | constellation | Coma Berenices
NGC 309 | constellation | Cetus
AM 0644-741 | constellation | Volans
NGC 237 | constellation | Cetus
Frank De Winne | astronaut mission | Expedition 21
James McDivitt | astronaut mission | Apollo 9
Pyotr Klimuk | astronaut mission | Soyuz 18
Vladimir Aksyonov | astronaut mission | Soyuz 22
Dmitri Kondratyev | astronaut mission | Expedition 26
Vladimir Shatalov | astronaut mission | Soyuz 10
Michael E. Fossum | astronaut mission | STS-121
Alvin Drew | astronaut mission | STS-133
Yuri Baturin | astronaut mission | Soyuz TM-32
Fyodor Yurchikhin | astronaut mission | Expedition 24
Mark Kelly | astronaut mission | STS-108
Chris Hadfield | astronaut mission | STS-74
Oleg Kononenko | astronaut mission | Expedition 31
Nicole Stott | astronaut mission | Expedition 21
Bjarni Tryggvason | astronaut mission | STS-85
Frederick W. Sturckow | astronaut mission | STS-105
Wubbo Ockels | astronaut mission | STS-61-A
Vasily Tsibliyev | astronaut mission | Soyuz TM-25
Richard Hieb | astronaut mission | STS-65
Nicole Stott | astronaut mission | Expedition 20
Charles Simonyi | astronaut mission | Soyuz TMA-10
Luca Urbani | astronaut mission | STS-78
Dmitri Kondratyev | astronaut mission | Expedition 27
Alfred Worden | astronaut mission | Apollo 15
Andrei Borisenko | astronaut mission | Expedition 28
Garrett Reisman | astronaut mission | Expedition 16
Sunita Williams | astronaut mission | Expedition 32
William E. Thornton | astronaut mission | STS-8
Valery Bykovsky | astronaut mission | Soyuz 31
Sergei Zalyotin | astronaut mission | Soyuz TMA-1
Robert Crippen | astronaut mission | STS-41-G
Jim Lovell | astronaut mission | Apollo 8
Anatoly Artsebarsky | astronaut mission | Soyuz TM-12
Robert Curbeam | astronaut mission | STS-116
Timothy Kopra | astronaut mission | Expedition 20
Gregory Chamitoff | astronaut mission | STS-134
Ulrich Walter | astronaut mission | STS-55
Ken Mattingly | astronaut mission | STS-4
Guion Bluford | astronaut mission | STS-8
David M. Brown | astronaut mission | STS-107
Vladimir Vasyutin | astronaut mission | Soyuz T-14
Leonid Kizim | astronaut mission | Soyuz T-10
Rex J. Walheim | astronaut mission | STS-110
William Oefelein | astronaut mission | STS-116
Richard Mastracchio | astronaut mission | Soyuz TMA-11M
Chris Hadfield | astronaut mission | Soyuz TMA-07M
Frank Borman | astronaut mission | Gemini 7
Roberto Vittori | astronaut mission | STS-134
Oleg Kotov | astronaut mission | Expedition 37
Dennis Tito | astronaut mission | Soyuz TM-31
Yuri Shargin | astronaut mission | Soyuz TMA-5
Valery Rozhdestvensky | astronaut mission | Soyuz 23
Aleksei Yeliseyev | astronaut mission | Soyuz 8
Vitaly Zholobov | astronaut mission | Soyuz 21
Gordon Cooper | astronaut mission | Gemini 5
David Scott | astronaut mission | Apollo 15
Aleksei Gubarev | astronaut mission | Soyuz 17
Charles Duke | astronaut mission | Apollo 16
Aleksandr Samokutyayev | astronaut mission | Expedition 27
Mark L. Polansky | astronaut mission | STS-116
Barry E. Wilmore | astronaut mission | Expedition 41
Oleg Skripochka | astronaut mission | Expedition 25
Margaret Rhea Seddon | astronaut mission | STS-58
Fei Junlong | astronaut mission | Shenzhou 6
Jing Haipeng | astronaut mission | Shenzhou 7
Oleg Kononenko | astronaut mission | Soyuz TMA-12
Garrett Reisman | astronaut mission | STS-132
Leroy Chiao | astronaut mission | Expedition 10
Sergey Ryazansky | astronaut mission | Expedition 37
Peggy Whitson | astronaut mission | Expedition 5
Timothy Kopra | astronaut mission | Expedition 46
Michael E. Fossum | astronaut mission | Expedition 29
Michael S. Hopkins | astronaut mission | Expedition 38
Gregory H. Johnson | astronaut mission | STS-123
Vyacheslav Zudov | astronaut mission | Soyuz 23
Chiaki Mukai | astronaut mission | STS-65
Donn F. Eisele | astronaut mission | Apollo 7
Richard Mastracchio | astronaut mission | Expedition 39
Norman Thagard | astronaut mission | Soyuz TM-21
Robert A. Parker | astronaut mission | STS-9
Soyuz TM-1 | spacecraft docking/undocking date | 23 May 1986
Soyuz TMA-18M | spacecraft docking/undocking date | 02 March 2016
Progress M-29M | spacecraft docking/undocking date | 01 October 2015
Soyuz MS-05 | spacecraft docking/undocking date | 28 July 2017
Kosmos 212 | spacecraft docking/undocking date | 15 April 1968
Soyuz MS-05 | spacecraft docking/undocking date | 14 December 2017
Soyuz TMA-18M | location of landing | Kazakhstan
Mercury-Atlas 8 | location of landing | Pacific Ocean
Soyuz 6 | location of landing | Kazakhstan
Soyuz 23 | location of landing | Lake Tengiz
Luna 16 | location of landing | Mare Fecunditatis
Soyuz TM-13 | location of landing | Kazakhstan
Soyuz TMA-04M | location of landing | Kazakhstan
