Have You Ever? | composer | Diane Warren
Mirrorcle World | lyrics by | Ayumi Hamasaki
Call Me Maybe | lyrics by | Carly Rae Jepsen
Kongesangen | lyrics by | Henrik Wergeland
You Raise Me Up | lyrics by | Brendan Graham
Counting Stars | lyrics by | Ryan Tedder
Can't Remember to Forget You | lyrics by | Kid Harpoon
J'aimerais tellement | lyrics by | Jena Lee
Fino all'estasi | lyrics by | Eros Ramazzotti
Il Canto degli Italiani | lyrics by | Goffredo Mameli
Come, Thou Long Expected Jesus | lyrics by | Charles Wesley
Thinking Out Loud | lyrics by | Ed Sheeran
Hold It Against Me | lyrics by | Dr. Luke
You Are Not Alone | lyrics by | R. Kelly
Out from Under | lyrics by | Shelly Peiken
Heroes and Villains | lyrics by | Van Dyke Parks
Hey Hey, My My (Into the Black) | lyrics by | Neil Young
West Side Story | lyrics by | Stephen Sondheim
Really Don't Care | lyrics by | Rami Yacoub
Right by My Side | lyrics by | Nicki Minaj
Beauty and a Beat | lyrics by | Max Martin
Let's Wait Awhile | lyrics by | Janet Jackson
L'amour est bleu | lyrics by | Pierre Cour
La Danza | lyrics by | Carlo Pepoli
Ja, vi elsker dette landet | lyrics by | Bjørnstjerne Bjørnson
I Knew You Were Trouble | lyrics by | Max Martin
Crazy in Love | lyrics by | Jay-Z
Another One Bites the Dust | lyrics by | John Deacon
Celluloid Heroes | lyrics by | Ray Davies
El Scorcho | publication date | 24 September 1996
Crockett's Theme | publication date | 01 January 1987
Da Da Dam | publication date | 16 February 2011
Never Too Far | publication date | 23 October 2001
Star Trekkin' | publication date | 01 January 1987
Breakin'... There's No Stopping Us | publication date | 21 June 1984
Wild West Hero | publication date | 10 June 1978
Fight for This Love | publication date | 16 October 2009
That's the Way My Heart Goes | publication date | 01 January 2006
Celluloid Heroes | publication date | 24 November 1972
Coup de Boule | publication date | 01 January 2006
If Not for You | publication date | 19 October 1970
Ballerina Girl | publication date | 01 January 1986
A Thousand Miles | publication date | 12 February 2002
Comme j'ai mal | publication date | 01 July 1996
The Ballad of Chasey Lain | publication date | 14 February 2000
In God's Country | publication date | 17 November 1987
Do It like a Dude | publication date | 18 November 2010
What Have You Done for Me Lately | publication date | 13 January 1986
I'm a Slave 4 U | publication date | 24 September 2001
Knock You Down | publication date | 07 April 2009
Run the World (Girls) | publication date | 21 April 2011
Pourvu qu'elles soient douces | publication date | 12 September 1988
Glass of Water | publication date | 21 November 2008
LoveGame | publication date | 24 March 2009
Rapper's Delight | publication date | 09 November 1979
You Shook Me | publication date | 01 January 1962
I Can't Quit You Baby | publication date | 01 January 1956
Method of Modern Love | publication date | 15 December 1984
Zwei kleine Italiener | publication date | 01 January 1962
Call Me Maybe | publication date | 17 April 2012
J'aimerais tellement | publication date | 06 July 2009
I'm Not a Girl, Not Yet a Woman | publication date | 18 February 2002
Lose Yourself | publication date | 22 October 2002
Arthur's Theme (Best That You Can Do) | publication date | 14 August 1981
Under the Bridge | publication date | 10 March 1992
Heavy in Your Arms | publication date | 07 July 2010
Bang a Drum | publication date | 28 September 1998
Beauty and a Beat | publication date | 24 October 2012
Cheers (Drink to That) | publication date | 02 August 2011
Someone to Call My Lover | publication date | 26 June 2001
New Born | publication date | 05 June 2001
Hold the Line | publication date | 02 October 1978
Wait and Bleed | publication date | 28 July 1999
Romance, Irane | publication date | 23 January 2008
Daylight in Your Eyes | publication date | 05 February 2001
Toute seule | publication date | 19 March 2002
When the Sun Comes Down | publication date | 05 December 2008
What More Can I Give | publication date | 01 January 2001
You Rock My World | publication date | 01 January 2001
He Is | publication date | 01 January 2002
Tatoue-moi | publication date | 01 January 2008
Not Gonna Get Us | publication date | 05 May 2003
After the Love | publication date | 10 July 2009
Waka Waka (This Time for Africa) | publication date | 11 March 2010
Not That Far Away | publication date | 24 May 2010
Skateaway | publication date | 27 March 1980
My Kind of Lady | publication date | 01 January 1983
Do the Bartman | publication date | 20 November 1990
We Are the World 25 for Haiti | publication date | 12 February 2010
Wonderful Tonight | publication date | 01 January 1977
Junge | publication date | 05 October 2007
Into the Ocean | publication date | 16 October 2006
Earth Song | publication date | 27 December 1995
I Don't Wanna Cry | publication date | 25 April 1991
Un-Break My Heart | publication date | 08 October 1996
Suga Mama | publication date | 01 January 2007
Au nom de la rose | publication date | 13 April 1999
Echo (You and I) | publication date | 30 January 2012
Capri c'est fini | publication date | 01 January 1965
Sensual Seduction | publication date | 20 November 2007
Follia d'amore | publication date | 16 February 2011
Haba Haba | publication date | 28 January 2011
Touch My Body | publication date | 19 February 2008
Rocky Top | publication date | 25 December 1967
Dessine-moi un mouton | publication date | 05 December 2000
Stranded (Haiti Mon Amour) | publication date | 23 January 2010
I Wanna Go | publication date | 21 June 2011
Jar of Hearts | publication date | 27 July 2010
Relight My Fire | publication date | 01 January 1993
Der Rebbe Elimelech | language of work or name | Yiddish
Ishy Bilady | language of work or name | Arabic
Kassaman | language of work or name | Arabic
Dies Irae | language of work or name | Latin
Puer natus in Bethlehem | language of work or name | Latin
Tantum ergo | language of work or name | Latin
National Anthem of Saudi Arabia | language of work or name | Arabic
De Temporum Fine Comoedia | language of work or name | Latin
Cherifian Anthem | language of work or name | Arabic
Locus iste | language of work or name | Latin
Di Shvue | language of work or name | Yiddish
Flos Carmeli | language of work or name | Latin
Gloria, laus et honor | language of work or name | Latin
Pange lingua gloriosi corporis mysterium | language of work or name | Latin
Humat ad-Diyar | language of work or name | Arabic
National anthem of South Africa | language of work or name | Afrikaans
Jerry Hadley | voice type | tenor
Franco Bonisolli | voice type | tenor
Rhys Meirion | voice type | tenor
Ragnar Ulfung | voice type | tenor
Alexander Gemignani | voice type | tenor
Chris Merritt | voice type | tenor
Lutfiyar Imanov | voice type | tenor
Vlaho Paljetak | voice type | tenor
Fyodor Petrovich Komissarzhevsky | voice type | tenor
Ronan Tynan | voice type | tenor
Robert Breault | voice type | tenor
Bernardo de Muro | voice type | tenor
Salvatore Champagne | voice type | tenor
George Rasely | voice type | tenor
Joseph Friebert | voice type | tenor
Marcel Beekman | voice type | tenor
Daniele Barioni | voice type | tenor
Zurab Sotkilava | voice type | tenor
Colm Wilkinson | voice type | tenor
Victor Capoul | voice type | tenor
Edgar Bastidas | voice type | tenor
Charles Friant | voice type | tenor
Cesare Valletti | voice type | tenor
Gustave-Hippolyte Roger | voice type | tenor
Atilla Kiss B. | voice type | tenor
Valentin Duc | voice type | tenor
Armando Bini | voice type | tenor
Marc Laho | voice type | tenor
Vincenzo Manno | voice type | tenor
Erkan Aki | voice type | tenor
Aroldo Lindi | voice type | tenor
Joseph Carl Breil | voice type | tenor
Antonio Cesti | voice type | tenor
Ernesto Palacio | voice type | tenor
John Mark Ainsley | voice type | tenor
Paul McCartney | voice type | tenor
Kristaq Antoniu | voice type | tenor
Gianni Raimondi | voice type | tenor
Sean Altman | voice type | tenor
Reed Miller | voice type | tenor
Helmut Lotti | voice type | tenor
Martin Lattke | voice type | tenor
Bruno Landi | voice type | tenor
Masafumi Akikawa | voice type | tenor
Vladimir Atlantov | voice type | tenor
Fritz Soot | voice type | tenor
Sergej Larin | voice type | tenor
Ronald Naldi | voice type | tenor
Antonello Palombi | voice type | tenor
Sophie Arnould | voice type | soprano
Hans Peter Blochwitz | voice type | tenor
Anna Renzi | voice type | soprano
Marco Bordogni | voice type | tenor
Amelia Pinto | voice type | soprano
Luigi Antinori | voice type | tenor
Mohammed El-Bakkar | voice type | tenor
Erwin Wohlfahrt | voice type | tenor
Carlo Negrini | voice type | tenor
Giulio Gari | voice type | tenor
Deon van der Walt | voice type | tenor
Virgilijus Noreika | voice type | tenor
Orville Harrold | voice type | tenor
Richard Kubla | voice type | tenor
Biser Kirov | voice type | tenor
Kurt Streit | voice type | tenor
Sydney Rayner | voice type | tenor
Graham Nash | voice type | tenor
Alfonso Ortiz Tirado | voice type | tenor
Richard Crooks | voice type | tenor
Roger Doucet | voice type | tenor
Alessandro Bonci | voice type | tenor
Vinson Cole | voice type | tenor
Christian Elsner | voice type | tenor
Leonid Sobinov | voice type | tenor
Simon-Max | voice type | tenor
Sims Reeves | voice type | tenor
Cristoforo Caresana | voice type | tenor
Arne Hendriksen | voice type | tenor
Philip Ritte | voice type | tenor
Steve Thoreson | voice type | tenor
Flos Campi | instrumentation | choir
Variations on a Rococo Theme | instrumentation | cello
Second Rhapsody | instrumentation | piano
Rhapsody on a Theme of Paganini | instrumentation | piano
Rhapsody on a Theme of Paganini | instrumentation | orchestra
Variations sérieuses | instrumentation | piano
Chôros No. 5 | instrumentation | piano
Six Metamorphoses after Ovid | instrumentation | oboe
Rhapsody in Blue | instrumentation | orchestra
Chants d'Espagne | instrumentation | piano
Fitzwilliam Virginal Book | instrumentation | harpsichord
Eroica Variations | instrumentation | piano
Death and Transfiguration | instrumentation | orchestra
Simple Symphony | instrumentation | string orchestra
In the Mists | instrumentation | piano
Violin Concerto | instrumentation | orchestra
Violin Concerto | instrumentation | orchestra
Trauermusik | instrumentation | string orchestra
1. X. 1905 | instrumentation | piano
Concierto heroico | instrumentation | piano
Concerto pathétique | instrumentation | piano
Arpeggione Sonata | instrumentation | piano
Piano Concerto | instrumentation | orchestra
Sonata for clarinet and bassoon | instrumentation | bassoon
Harold en Italie | instrumentation | viola
La campanella | instrumentation | piano
Man lebt nur einmal! | instrumentation | quintet
Variations on a Theme of Corelli | instrumentation | piano
Circus Galop | instrumentation | piano
Pictures at an Exhibition | instrumentation | piano
Concierto heroico | instrumentation | orchestra
Gaspard de la nuit | instrumentation | piano
Violin Concerto | instrumentation | orchestra
Rhapsody in Blue | instrumentation | piano
Lyric Pieces | instrumentation | piano
Quatuor pour la fin du temps | instrumentation | violin
Songs Without Words | instrumentation | piano
Trout Quintet | instrumentation | cello
La lugubre gondola | instrumentation | piano
Warsaw Concerto | instrumentation | piano
Trout Quintet | instrumentation | piano
F-A-E Sonata | instrumentation | violin
Symphonie espagnole | instrumentation | violin
Trois mouvements de Petrouchka | instrumentation | piano
Nights in the Gardens of Spain | instrumentation | orchestra
42 études ou caprices | instrumentation | violin
Andante and Finale | instrumentation | piano
Islamey | instrumentation | piano
Morceaux de fantaisie | instrumentation | piano
Maple Leaf Rag | instrumentation | piano
Children's Corner | instrumentation | piano
On an Overgrown Path | instrumentation | piano
Circus Galop | instrumentation | player piano
Kinderszenen | instrumentation | piano
Fonogrammi | instrumentation | chamber ensemble
My Beautiful Scream | instrumentation | string quartet
Last Post | instrumentation | trumpet
Rage Over a Lost Penny | instrumentation | piano
Romanian Folk Dances | instrumentation | piano
Trout Quintet | instrumentation | violin
Vox Balaenae | instrumentation | piano
Hungarian Rhapsody No. 2 | instrumentation | piano
Suite bergamasque | instrumentation | piano
The Planets | instrumentation | symphony orchestra
Kreisleriana | instrumentation | piano
F-A-E Sonata | instrumentation | piano
Chromatic Fantasia and Fugue | instrumentation | harpsichord
1812 Overture | instrumentation | cannon
The Young Person's Guide to the Orchestra | instrumentation | symphony orchestra
Sonata Undine | instrumentation | piano
Slavonic Dances | instrumentation | piano four hands
Violin Concerto | instrumentation | orchestra
Passacaglia on DSCH | instrumentation | piano
Piano Concerto | instrumentation | orchestra
Goldberg Variations | instrumentation | harpsichord
Slavonic Dances | instrumentation | piano
Violin Concerto | instrumentation | orchestra
Pièces de clavecin en concerts | instrumentation | violin
Beethoven Symphonies (Liszt) | instrumentation | piano
Gestural Variations | instrumentation | oboe
Mother's Milk | tracklist | Higher Ground
Lioness: Hidden Treasures | tracklist | Body and Soul
Pablo Honey | tracklist | Creep
Beatles for Sale | tracklist | Rock and Roll Music
Who's Next | tracklist | My Wife
Hounds of Love | tracklist | Hounds Of Love
The Andy Williams Christmas Album | tracklist | White Christmas
Essence ordinaire | tracklist | Tomber la chemise
Seventeen Seconds | tracklist | A Forest
Affectionately Melanie | tracklist | Beautiful People
Rubber Soul | tracklist | Nowhere Man
Walking on a Rainbow | tracklist | Sorry Little Sarah
Hemingway's Whiskey | tracklist | The Boys of Fall
Come Share My Love | tracklist | Imagination
Winelight | tracklist | Just the Two of Us
Powerslave | tracklist | 2 Minutes To Midnight
Traces of Sadness | tracklist | Liar
Help! | tracklist | Yesterday
Beaucoup Fish | tracklist | Jumbo
Aladdin Sane | tracklist | The Jean Genie
Four Seasons of Love | tracklist | Spring Affair
Never for Ever | tracklist | Babooshka
Make It Big | tracklist | Everything She Wants
Prismophonic | tracklist | Starlite
Music from the Edge of Heaven | tracklist | Last Christmas
Talk That Talk | tracklist | You da One
Puzzle People | tracklist | I Can't Get Next to You
I Remember Yesterday | tracklist | Love's Unkind
Never for Ever | tracklist | Army Dreamers
The Andy Williams Christmas Album | tracklist | It's the Most Wonderful Time of the Year
Learning to Crawl | tracklist | Back on the Chain Gang
Origin of Symmetry | tracklist | Feeling Good
She's So Unusual | tracklist | She Bop
Till Deaf Do Us Part | tracklist | Lock Up Your Daughters
Elton John's Christmas Party | tracklist | Step Into Christmas
The Head on the Door | tracklist | Inbetween Days
Magical Mystery Tour | tracklist | I Am the Walrus
The Dream Weaver | tracklist | Love Is Alive
La Zizanie | tracklist | Rue de la paix
Learning to Crawl | tracklist | My City Was Gone
Mes fantaisies | tracklist | Femme de couleur
Dolly, Dolly, Dolly | tracklist | Old Flames Can't Hold a Candle to You
HIStory: Past, Present and Future, Book I | tracklist | You Are Not Alone
Who's Next | tracklist | Won't Get Fooled Again
Beatles for Sale | tracklist | No Reply
Help! | tracklist | Yesterday
Marcher dans le sable | tracklist | Tomber
Remain in Light | tracklist | Once in a Lifetime
Friends Keep Secrets | tracklist | Eastside
ReJoyce: The Christmas Album | tracklist | Let It Snow, Let It Snow, Let It Snow
Who's Zoomin' Who? | tracklist | Sisters Are Doin' It for Themselves
The Fame | tracklist | LoveGame
Life in 1472 | tracklist | Sweetheart
If You Wait | tracklist | Wasting My Young Years
The Fame Monster | tracklist | Dance in the Dark
Sgt. Pepper's Lonely Hearts Club Band | tracklist | Lucy in the Sky with Diamonds
Premier Gaou | tracklist | 1er Gaou
In the Lonely Hour | tracklist | Money on My Mind
Hounds of Love | tracklist | The Big Sky
The Whole Story | tracklist | Wuthering Heights
Magical Mystery Tour | tracklist | The Fool on the Hill
Learning to Crawl | tracklist | Thin Line Between Love and Hate
Help! | tracklist | Ticket to Ride
Kill 'Em All | tracklist | Whiplash
Panique celtique | tracklist | La Tribu de Dana
Beatles for Sale | tracklist | Rock and Roll Music
Il Silenzio | tracklist | Scandale dans la famille
Mes fantaisies | tracklist | Oublie-moi
Music of the Sun | tracklist | Pon de Replay
Love at First Sting | tracklist | Still Loving You
Powerslave | tracklist | Aces High
Nevermind | tracklist | Smells Like Teen Spirit
Excitable Boy | tracklist | Werewolves of London
In the Zone | tracklist | Everytime
A Lesson in Romantics | tracklist | When I Get Home, You're So Dead
Beatles for Sale | tracklist | No Reply
The Kick Inside | tracklist | Wuthering Heights
Sexto Sentido | tracklist | La Luna
The Whole Story | tracklist | The Man With The Child In His Eyes
2001.2011 | tracklist | Du temps
Aaj Jaane Ki Zid Na Karo | genre | ghazal
Il corsaro | genre | opera
Trionfo di Afrodite | genre | cantata
When Love Takes Over | genre | dance music
Treemonisha | genre | ragtime
The Easy Winners | genre | ragtime
Battery Check | genre | punk rock
Bajo el mismo cielo | genre | Latin pop
Peace Sells | genre | thrash metal
Heliotrope Bouquet | genre | ragtime
La favorite | genre | grand opera
Good Fruit | genre | indie rock
Kal Chaudhvin Ki Raat Thi | genre | ghazal
Six Degrees of Inner Turbulence | genre | progressive metal
Cuando Se Va El Amor | genre | Latin pop
Mmm Papi | genre | Latin pop
Cease to Exist (Suicide Silence song) | genre | deathcore
Love on the Brain | genre | doo-wop
I Wonder Where My Easy Rider's Gone | genre | ragtime
Missed the Boat | genre | indie rock
Laisse parler les gens | genre | zouk
My Girlfriend's Girlfriend | genre | gothic metal
Don Carlos | genre | grand opera
Rosetta Stoned | genre | progressive metal
Ranjish Hi Sahi | genre | ghazal
Outdoor Miner | genre | post-punk
Somebody Someone | genre | nu metal
In Ankhon Ki Masti Ke | genre | ghazal
Lips Are Movin | genre | doo-wop
I Loves You, Porgy | genre | opera
The End of Heartache | genre | metalcore
Lip Gloss and Black | genre | metalcore
I Can't Give You Anything but Love, Baby | genre | jazz standard
A.M. 180 | genre | indie rock
Papa-Oom-Mow-Mow | genre | doo-wop
Tears on My Pillow | genre | doo-wop
La Croce d'oro | genre | opera
Really Love | genre | neo soul
Oh, You Beautiful Doll | genre | ragtime
Chinese Rocks | genre | punk rock
Dragged into the Grave | genre | deathcore
I'm Alabama Bound | genre | ragtime
La jolie fille de Perth | genre | opera
La bella dormente nel bosco | genre | opera
La battaglia di Legnano | genre | opera
Kings of Speed | genre | space rock
Runaround Sue | genre | doo-wop
Too Good | genre | dancehall
Root Beer Rag | genre | ragtime
Es war einmal | genre | opera
Que Te Vaya Mal | genre | Latin pop
Phir Le Aya Dil | genre | ghazal
The Perfect Crime No. 2 | genre | indie rock
War Is All We Know | genre | thrash metal
Midnight Gold | genre | indie rock
Mary's Prayer | genre | sophisti-pop
Ms. Jackson | genre | alternative hip hop
I gioielli della Madonna | genre | opera
Flavio | genre | opera
James Dean-esque | genre | indie rock
Black and White Rag | genre | ragtime
Un' alma innamorata | genre | cantata
I'd Rather Be Dead (Than Be with You) | genre | indie rock
I Wanna Go | genre | Hi-NRG
Wall Street Rag | genre | ragtime
Twelve-step Suite | genre | progressive metal
Tears on My Pillow | genre | doo-wop
New Rose | genre | punk rock
Not Like That | genre | dancehall
Il corsaro | genre | opera
Beat on the Brat | genre | punk rock
Super Bass | performer | Nicki Minaj
Baby Don't Forget My Number | performer | Milli Vanilli
What Is Truth | performer | Johnny Cash
Really Love You | performer | Paul McCartney
When Love Takes Over | performer | David Guetta
The Ghost of You | performer | My Chemical Romance
Space Oddity | performer | David Bowie
The Things That I Used to Do | performer | Guitar Slim
Follow / Swallow | performer | Crystal Fighters
Still D.R.E. | performer | Dr. Dre
Follia d'amore | performer | Raphael Gualazzi
Waka Waka (This Time for Africa) | performer | Shakira
Jenny from the Block | performer | Jadakiss
Brown Eyed Girl | performer | Van Morrison
I'm Gonna Be Alright | performer | Jennifer Lopez
Everlong | performer | Foo Fighters
Born to Die | performer | Lana Del Rey
I Am Your Leader | performer | Cam'ron
Spinning Around | performer | Kylie Minogue
Heroes and Villains | performer | The Beach Boys
When the Stars Go Blue | performer | Ryan Adams
I Wanna Go Crazy | performer | will.i.am
