Cambodia | head of state | Norodom Sihamoni
Otto Benndorf | Member of | Austrian Archaeological Institute
Dave Farrell | Member of | Tasty Snax
Probal Dasgupta | Member of | Universal Esperanto Association
Ludwig Bledow | Member of | Berlin Pleiades
Hector Hodler | Member of | Universal Esperanto Association
Klaus Fuchs | Member of | Reichsbanner Schwarz-Rot-Gold
Herbert List | Member of | Magnum Photos
Trace Cyrus | Member of | Ashland HIGH
Bernt Anker | Member of | Royal Society
Otto Brendel | Member of | American Academy in Rome
Eric Clapton | Member of | Blind Faith
Brad Delson | Member of | Linkin Park
Edward Frenkel | Member of | American Academy of Arts and Sciences
Alexander Wesselsky | Member of | Eisbrecher
Hermann Ehrhardt | Member of | Marinebrigade Ehrhardt
Erich Hückel | Member of | International Academy of Quantum Molecular Science
Jacob Appelbaum | Member of | Cult of the Dead Cow
Felix Krueger | Member of | Militant League for German Culture
Allen Ginsberg | Member of | American Academy of Arts and Letters
Gustav Weigand | Member of | Macedonian Scientific Institute
Pharrell Williams | Member of | The Neptunes
Karl Wolfskehl | Member of | Munich Cosmic Circle
Margaret H. Wright | Member of | American Mathematical Society
George Clooney | Member of | Council on Foreign Relations
Menahem Pressler | Member of | Beaux Arts Trio
Rudolf von Sebottendorf | Member of | Thule Society
Joseph Berchtold | Member of | Sturmabteilung
Oleg Besov | Member of | Russian Academy of Sciences
Gottlob Berger | Member of | Schutzstaffel
Stephen Hawking | Member of | Royal Society
Justin Timberlake | Member of | NSYNC
Hans Scholl | Member of | White Rose
Brigitte Mohnhaupt | Member of | Red Army Faction
Lisa Gerrard | Member of | Dead Can Dance
Rob Bourdon | Member of | Linkin Park
Jessica Wahls | Member of | No Angels
Adolfas Jucys | Member of | Lithuanian Academy of Sciences
Hermann Ehrhardt | Member of | Organisation Consul
Renato Corsetti | Member of | International Academy of Sciences San Marino
Manuela M. Veloso | Member of | Association for the Advancement of Artificial Intelligence
Verena Becker | Member of | Red Army Faction
Jimmy Wales | Member of | Wikimedia Foundation
Benito Mussolini | Member of | Grand Council of Fascism
Richard G. Morris | Member of | Royal Society
Erhard Heiden | Member of | Schutzstaffel
50 Cent | Member of | G-Unit
James Cook | Member of | Royal Society
Pekka Haavisto | member of political party | Green League
Raimo Tuomainen | member of political party | Green League
Oriol Junqueras | member of political party | Republican Left of Catalonia
David Coon | member of political party | Green Party of New Brunswick
Ulla Anttila | member of political party | Green League
Pekka Sauri | member of political party | Green League
Kees IJmkers | member of political party | Communist Party of the Netherlands
Lluís Companys | member of political party | Republican Left of Catalonia
Kirsi Ojansuu | member of political party | Green League
Diego Cobo Terrazas | member of political party | Ecologist Green Party of Mexico
Faith Dane | member of political party | D.C. Statehood Green Party
Carlos Samuel Moreno Terán | member of political party | Ecologist Green Party of Mexico
Ursula Haverbeck | member of political party | Ecological Democratic Party
Jean Lambert | member of political party | Green Party of England and Wales
Zahra Abdulla | member of political party | Green League
Ab Harrewijn | member of political party | Communist Party of the Netherlands
Bruno Kramm | member of political party | Pirate Party Germany
Jan Laurier | member of political party | Communist Party of the Netherlands
Ruth Zavaleta | member of political party | Ecologist Green Party of Mexico
Frank Habineza | member of political party | Democratic Green Party of Rwanda
Gloria Lavara | member of political party | Ecologist Green Party of Mexico
Augustin Senghor | member of political party | Rally of the Ecologists of Senegal
Irma Ortega Fajardo | member of political party | Ecologist Green Party of Mexico
Janina Andersson | member of political party | Green League
Josep Antoni Duran i Lleida | member of political party | Democratic Union of Catalonia
Jonathan Bartley | member of political party | Green Party of England and Wales
Monique Worth | member of political party | Union Montreal
Ian Cohen | member of political party | Greens New South Wales
Andreu Mayayo i Artal | member of political party | Initiative for Catalonia Greens
Emma Kari | member of political party | Green League
Clive Lord | member of political party | Green Party of England and Wales
Lucius E. Pinkham | member of political party | Democratic Party of Hawaii
Cam Gordon | member of political party | Green Party of Minnesota
Bernd Richter | member of political party | Ecological Democratic Party
John Eder | member of political party | Maine Green Independent Party
Peter Bevan-Baker | member of political party | Green Party of Prince Edward Island
Paul de Groot | member of political party | Communist Party of the Netherlands
Adrian Ramsay | member of political party | Green Party of England and Wales
Henry John Bear | member of political party | Maine Green Independent Party
Outi Alanko-Kahiluoto | member of political party | Green League
Pirkka-Pekka Petelius | member of political party | Green League
Jani Toivola | member of political party | Green League
Annie Young | member of political party | Green Party of Minnesota
Amelia Womack | member of political party | Green Party of England and Wales
Tina Keeper | candidacy in election | 2008 Canadian federal election
Svend Robinson | candidacy in election | 2019 Canadian federal election
Solidary Democracy | political ideology | Christian left
Communist Party of Indonesia (Red) | political ideology | communism
Green Party | political ideology | green politics
Civil Movement | political ideology | Third Way
Autonomy Liberty Participation Ecology | political ideology | green politics
Ukrainian Radical Party | political ideology | socialism
United Democratic Christians | political ideology | Christian democracy
National Fascist Party | political ideology | Italian Fascism
Nonpartisan Bloc for Cooperation with the Government | political ideology | Sanation
National Congress Party of Afghanistan | political ideology | federalism
Green Party | political ideology | green politics
Movement for the Progress of Madagascar | political ideology | liberalism
Janata Dal (United) | political ideology | secularism
Swiss People's Party | political ideology | Euroscepticism
Chunta Aragonesista | political ideology | eco-socialism
Green Party of the United States | political ideology | green politics
People's Action Party | political ideology | civic nationalism
Scottish Socialist Party | political ideology | Scottish independence
Justicialist Party | political ideology | Peronism
Greek Left | political ideology | Eurocommunism
Guatemalan Christian Democracy | political ideology | Christian democracy
Family First Party | political ideology | Christian right
National Socialist Movement of Chile | political ideology | fascism
Tunisian Communist Party | political ideology | communism
Yugoslav Radical Union | political ideology | fascism
Identity and Action | political ideology | Christian democracy
British National Party | political ideology | Euroscepticism
Venetian People's Movement | political ideology | Christian democracy
Herut | political ideology | Revisionist Zionism
Nationalist Movement Party | political ideology | Euroscepticism
Great Unity Party | political ideology | Islamism
Scottish Democratic Alliance | political ideology | Scottish independence
National Popular Rally | political ideology | fascism
Pan-Iranist Party | political ideology | Pan-Iranism
Sortu | political ideology | Abertzale left
Federation of Christian Democracy | political ideology | Christian democracy
Indian Liberal Party | political ideology | liberalism
Communist Party | political ideology | communism
Democratic Action Party | political ideology | secularism
Communist League of America | political ideology | Trotskyism
Dveri | political ideology | Serbian nationalism
Italian Communist Party | political ideology | communism
Sammarinese Communist Party | political ideology | communism
United for a New Alternative | political ideology | Peronism
Solidarity Party of Afghanistan | political ideology | secularism
UK Independence Party | political ideology | Euroscepticism
Movement for National Reform | political ideology | moderate
Lower Saxony State Party | political ideology | conservatism
New Fighter | political ideology | democratic socialism
Democratic-Republican Party | political ideology | republicanism
Yisrael Beiteinu | political ideology | Revisionist Zionism
Scottish Jacobite Party | political ideology | Scottish independence
Christian Democratic Party of Uruguay | political ideology | Christian left
Green Party | political ideology | green politics
Party of Democratic Kampuchea | political ideology | democratic socialism
Marxist Unification Movement | political ideology | socialism
Persatuan Muslim Indonesia | political ideology | nationalism
Our Republican Party | political ideology | Pro-Park
Green Party | political ideology | green politics
Family First Party | political ideology | Christian right
Liga Veneta | political ideology | federalism
Christian Peoples Alliance | political ideology | Christian democracy
Brazilian Integralist Action | political ideology | integralism
