Urusei Yatsura 2: Beautiful Dreamer | director | Mamoru Oshii
Gosenzo-sama Banbanzai! | director | Mamoru Oshii
Space Pilot 3000 | director | Rich Moore
Mouse and Garden | director | Friz Freleng
Diebuster | director | Kazuya Tsurumaki
The Little Orphan | director | William Hanna
John Henry and the Inky-Poo | director | George Pal
Bleach: Memories of Nobody | director | Noriyuki Abe
The Great Circus Mystery | director | Jay Marchant
Arrietty | director | Hiromasa Yonebayashi
Red Shoe Diaries | director | Zalman King
Cyber City Oedo 808 | director | Yoshiaki Kawajiri
No Hunting | director | Jack Hannah
Flying Phantom Ship | director | Hiroshi Ikeda
Roujin Z | director | Hiroyuki Kitakubo
Tekkonkinkreet | director | Michael Arias
Pale Cocoon | director | Yasuhiro Yoshiura
Origin: Spirits of the Past | director | Keiichi Sugiyama
Mickey's Fire Brigade | director | Ben Sharpsteen
The SpongeBob SquarePants Movie | director | Stephen Hillenburg
Little Johnny Jet | director | Tex Avery
Strange Too | director | Anton Corbijn
Swooner Crooner | director | Frank Tashlin
Alice Solves the Puzzle | director | Walt Disney
Mobile Suit Gundam 00 the Movie: A Wakening of the Trailblazer | director | Seiji Mizushima
The Big Snit | director | Richard Condie
Summer Days with Coo | director | Keiichi Hara
The Little Orphan | director | Joseph Barbera
Heavy Traffic | director | Ralph Bakshi
FLCL | director | Kazuya Tsurumaki
Unaired Buffy the Vampire Slayer pilot | director | Joss Whedon
Death Has a Shadow | screenwriter | Seth MacFarlane
Symphony in Slang | screenwriter | Rich Hogan
The Simpsons Movie | screenwriter | Matt Groening
Harvie Krumpet | screenwriter | Adam Elliot
The Simpsons Movie | screenwriter | Matt Selman
Batman v Superman: Dawn of Justice | screenwriter | David S. Goyer
It's a SpongeBob Christmas! | screenwriter | Luke Brookshier
The Fantastic Flying Books of Mr. Morris Lessmore | screenwriter | William Joyce
Fresh Hare | screenwriter | Michael Maltese
Yu-Gi-Oh!: The Dark Side of Dimensions | screenwriter | Kazuki Takahashi
Mickey's Christmas Carol | screenwriter | Burny Mattinson
Frigid Hare | screenwriter | Michael Maltese
Winnie-the-Pooh Pays a Visit | screenwriter | Fyodor Khitruk
Chuck Versus the Intersect | screenwriter | Josh Schwartz
Vampires of Geon | screenwriter | Gennady Tishchenko
Periwig Maker | screenwriter | Steffen Schäffler
Tsunami: The Aftermath | screenwriter | Abi Morgan
Creature Comforts | screenwriter | Nick Park
Der Fuehrer's Face | screenwriter | Dick Huemer
The Karnival Kid | screenwriter | Walt Disney
Love Live! The School Idol Movie | screenwriter | Jukki Hanada
Notes Towards an African Orestes | screenwriter | Pier Paolo Pasolini
Abel Cain | screenwriter | Alejandro Jodorowsky
Arcadia of My Youth | screenwriter | Leiji Matsumoto
The Night of Taneyamagahara | screenwriter | Kenji Miyazawa
Gloria Victoria | screenwriter | Theodore Ushev
Koro no Daisanpo | screenwriter | Hayao Miyazaki
Angel's Egg | screenwriter | Mamoru Oshii
Ghost in the Shell 2: Innocence | screenwriter | Masamune Shirow
Jack-Jack Attack | screenwriter | Brad Bird
Space Pilot 3000 | screenwriter | Matt Groening
Sakura Wars: The Movie | screenwriter | Mitsuru Hongo
Luxo Jr. | screenwriter | John Lasseter
City Of | screenwriter | David Greenwalt
The End of Evangelion | screenwriter | Hideaki Anno
The Prize Pest | screenwriter | Tedd Pierce
A Herb Alpert and the Tijuana Brass Double Feature | screenwriter | Faith Hubley
No Time for Nuts | screenwriter | Chris Renaud
Vampire Hunter D: Bloodlust | screenwriter | Yoshiaki Kawajiri
Wallace & Gromit: The Curse of the Were-Rabbit | screenwriter | Nick Park
The Night of Taneyamagahara | screenwriter | Kazuo Oga
Ham and Eggs | screenwriter | Walter Lantz
The Heron and the Crane | screenwriter | Yuri Norstein
Symphonie diagonale | screenwriter | Viking Eggeling
Wings, legs and tails | screenwriter | Igor Kovalyov
Perfect Blue | screenwriter | Sadayuki Murai
Godzilla: Planet of the Monsters | screenwriter | Gen Urobuchi
The Simpsons Movie | screenwriter | Ian Maxtone-Graham
The Simpsons Movie | screenwriter | James L. Brooks
The Haunted Mouse | screenwriter | Michael Maltese
There Lived Kozyavin | screenwriter | Gennady Shpalikov
Urusei Yatsura 2: Beautiful Dreamer | screenwriter | Mamoru Oshii
Blue Puppy | screenwriter | Yuri Entin
Tin Toy | screenwriter | John Lasseter
Mr. Duck Steps Out | screenwriter | Frank Tashlin
Sin-Jin Smyth | screenwriter | Ethan Dettenmaier
The Lion King | screenwriter | Irene Mecchi
Dragon Ball Z: Resurrection 'F' | screenwriter | Akira Toriyama
Me and My Moulton | screenwriter | Torill Kove
A Matter of Loaf and Death | screenwriter | Nick Park
Steamboat Willie | screenwriter | Walt Disney
Summer Days with Coo | screenwriter | Keiichi Hara
The Day When I Was Born | screenwriter | Fujiko Fujio A
Ice Age: Continental Drift | screenwriter | Jason Fuchs
Bezhin Meadow | screenwriter | Sergei Eisenstein
The Cat Concerto | screenwriter | William Hanna
Case Closed: The Phantom of Baker Street | screenwriter | Hisashi Nozawa
For Scent-imental Reasons | screenwriter | Michael Maltese
Superman II | screenwriter | Leslie Newman
Der Fuehrer's Face | screenwriter | Joe Grant
Hoodwinked Too! Hood vs. Evil | screenwriter | Cory Edwards
Superman IV: The Quest for Peace | screenwriter | Lawrence Konner
Canary Row | screenwriter | Tedd Pierce
From A to Z-Z-Z-Z | screenwriter | Michael Maltese
Hedgehog in the Fog | screenwriter | Sergei Kozlov
2010: The Year We Make Contact | screenwriter | Arthur C. Clarke
Dragon Ball: Yo! Son Goku and His Friends Return!! | screenwriter | Akira Toriyama
One Piece The Movie: Dead End no Bōken | screenwriter | Yoshiyuki Suga
Knick Knack | screenwriter | John Lasseter
The Fantastic Flying Books of Mr. Morris Lessmore | screenwriter | William Joyce
Embracing Love | genre | yaoi
Microwave Massacre | genre | comedy horror
Killer Nerd | genre | comedy horror
Scooby-Doo! and the Goblin King | genre | comedy horror
Live & Smokin' | genre | stand-up comedy
Gory Gory Hallelujah | genre | comedy horror
Rhythmus 21 | genre | absolute film
Book of Shadows: Blair Witch 2 | genre | psychological horror
Baghead | genre | comedy horror
Psychos in Love | genre | comedy horror
Ernest Scared Stupid | genre | comedy horror
Midnight Ballad for Ghost Theater | genre | comedy horror
Capulina contra las momias | genre | comedy horror
Ghost Team One | genre | comedy horror
Psycho Beach Party | genre | comedy horror
Knights of Badassdom | genre | comedy horror
Prom Night III: The Last Kiss | genre | comedy horror
Jamie Foxx: I Might Need Security | genre | stand-up comedy
Ghost in the Shell | genre | cyberpunk
Strippers vs Werewolves | genre | comedy horror
Ang Darling Kong Aswang | genre | comedy horror
I Bought a Vampire Motorcycle | genre | comedy horror
Basket Case 3: The Progeny | genre | comedy horror
Bloodspit | genre | comedy horror
Sundown: The Vampire in Retreat | genre | comedy horror
Crazy Knights | genre | comedy horror
Kill Keith | genre | comedy horror
I Spit on Your Rave | genre | comedy horror
Ghost Sweepers | genre | comedy horror
Scooby-Doo! Abracadabra-Doo | genre | comedy horror
The Quiet Family | genre | comedy horror
Pervert! | genre | comedy horror
Teenage Exorcist | genre | comedy horror
Cool Devices | genre | hentai
My Name Is Bruce | genre | comedy horror
Someone's Knocking at the Door | genre | comedy horror
Fish in the Trap | genre | yaoi
Rock 'n' Roll High School | genre | musical comedy
Jamie Foxx: Straight from the Foxxhole | genre | stand-up comedy
Star Wreck: In the Pirkinning | genre | parody
Night of the Hell Hamsters | genre | comedy horror
Magic Woman M | genre | magical girl
ParaNorman | genre | comedy horror
Lovestruck: The Musical | genre | jukebox musical
Bag Boy Lover Boy | genre | comedy horror
Terror Toons | genre | comedy horror
Deadbeat Hero | genre | stand-up comedy
A Shriek in the Night | genre | comedy horror
Bloodsucking Bastards | genre | comedy horror
Creepshow 2 | genre | comedy horror
Hollywood Chainsaw Hookers | genre | comedy horror
Basket Case 2 | genre | comedy horror
Ellen DeGeneres: Here and Now | genre | stand-up comedy
Terror Toons 2: The Sick and Silly Show | genre | comedy horror
Bhool Bhulaiyaa | genre | comedy horror
Who Is Undercover | genre | suspense
Coons! Night of the Bandits of the Night | genre | comedy horror
Athalie | genre | tragedy
There's Nothing Out There | genre | comedy horror
Forgetting Sarah Marshall | genre | romantic comedy
Scooby-Doo on Zombie Island | genre | comedy horror
You Can't Kill Stephen King | genre | comedy horror
Todo Por Ustedes | genre | Latin pop
A Bucket of Blood | genre | comedy horror
The Day of the Beast | genre | comedy horror
Lolita Anime | genre | hentai
The Headless Ghost | genre | comedy horror
Gangnam Style | genre | K-pop
Celeste and Jesse Forever | genre | romantic comedy
Full Moon High | genre | comedy horror
Sky Captain and the World of Tomorrow | genre | dieselpunk
BraveStarr | genre | space Western
Starship Troopers: Traitor of Mars | genre | military science fiction
Bubba Ho-tep | genre | comedy horror
King Lear | genre | tragedy
King Lear | genre | tragedy
The Uh-Oh! Show | genre | comedy horror
Mr. Vampire III | genre | comedy horror
Strange Things Happen at Sundown | genre | comedy horror
Blur: The Best Of | genre | Britpop
Murder in Three Acts | based on | Three Act Tragedy
Sherlock Holmes and the Baskerville Curse | based on | The Hound of the Baskervilles
Otello | based on | Othello
Huck and Tom | based on | The Adventures of Tom Sawyer
Tromeo and Juliet | based on | Romeo and Juliet
The Journey to Melonia | based on | The Tempest
She's the Man | based on | Twelfth Night
Maqbool | based on | Macbeth
Things to Come | based on | The Shape of Things to Come
The Wiz | based on | The Wonderful Wizard of Oz
Courage Mountain | based on | Heidi
Nosferatu | based on | Dracula
Let the Devil Wear Black | based on | Hamlet
Fantasia 3 | based on | The Devil With the Three Golden Hairs
The Monkey King 2 | based on | Journey to the West
Fried Green Tomatoes | based on | Fried Green Tomatoes at the Whistle Stop Cafe
The Hunt for Gollum | based on | The Lord of the Rings
Ryan's Daughter | based on | Madame Bovary
Oliver! | based on | Oliver Twist
Huck and Tom | based on | Adventures of Huckleberry Finn
The Girl in the White Coat | based on | The Overcoat
Monkey King vs. Er Lang Shen | based on | Journey to the West
The Luzhin Defence | based on | The Defense
Raavanan | based on | Ramayana
Manon | based on | Manon Lescaut
The Tale of the Princess Kaguya | based on | The Tale of the Bamboo Cutter
Silent Hill: Revelation | based on | Silent Hill 3
Tangled | based on | Rapunzel
Fantasia 3 | based on | The Wonderful Wizard of Oz
The Forbidden Kingdom | based on | Journey to the West
Doraemon: The Record of Nobita's Parallel Visit to the West | based on | Journey to the West
Bride and Prejudice | based on | Pride and Prejudice
Joseph: King of Dreams | based on | Book of Genesis
Return to Oz | based on | Ozma of Oz
Tom Sawyer & Huckleberry Finn | based on | The Adventures of Tom Sawyer
The Boys of Paul Street | based on | The Paul Street Boys
Edge of Madness | based on | A Wilderness Station
A Chinese Ghost Story | based on | Strange Stories from a Chinese Studio
Final Fantasy: Legend of the Crystals | based on | Final Fantasy V
Nastasja | based on | The Idiot
Hopelessly Lost | based on | Adventures of Huckleberry Finn
Donkey Xote | based on | Don Quixote
Romeo + Juliet | based on | Romeo and Juliet
The Phantom Lover | based on | The Phantom of the Opera
Lucia di Lammermoor | based on | The Bride of Lammermoor
The Return of Captain Nemo | based on | Twenty Thousand Leagues Under the Sea
Der Hund von Baskerville | based on | The Hound of the Baskervilles
Havoc in Heaven | based on | Journey to the West
The Bible: In the Beginning... | based on | Book of Genesis
One Hundred and One Dalmatians | based on | The Hundred and One Dalmatians
La Captive | based on | The Captive
Kaliyattam | based on | Othello
Sherlock Holmes and Dr. Watson | based on | A Study in Scarlet
The Fury of Achilles | based on | Iliad
Barbie: The Princess & the Popstar | based on | The Prince and the Pauper
Merlin's Apprentice | based on | Arthurian romance
First Knight | based on | Arthurian romance
Gogol. The Beginning | based on | Evenings on a Farm Near Dikanka
Forbidden Planet | based on | The Tempest
Ikiru | based on | The Death of Ivan Ilyich
The Blood Spattered Bride | based on | Carmilla
A Master Builder | based on | The Master Builder
The Two Faces of Dr. Jekyll | based on | Strange Case of Dr Jekyll and Mr Hyde
Panda and the Magic Serpent | based on | Legend of the White Snake
A Trip to the Moon | based on | From the Earth to the Moon
Fantasia 3 | based on | The Little Mermaid
Zinda Laash | based on | Dracula
Dil Diya Dard Liya | based on | Wuthering Heights
Aakasha Gopuram | based on | The Master Builder
Gnomeo & Juliet | based on | Romeo and Juliet
Monty Python and the Holy Grail | based on | Arthurian romance
Invasion of the Body Snatchers | based on | The Body Snatchers
Suspect X | based on | The Devotion of Suspect X
Tom and Jerry: Willy Wonka and the Chocolate Factory | based on | Charlie and the Chocolate Factory
The Light at the Edge of the World | based on | The Lighthouse at the End of the World
A Chinese Odyssey | based on | Journey to the West
Phantom of the Paradise | based on | The Picture of Dorian Gray
Queen of the Damned | based on | The Queen of the Damned
The Enchanted Boy | based on | The Wonderful Adventures of Nils
The Monkey King 3 | based on | Journey to the West
2010: The Year We Make Contact | cast member | Douglas Rain
Moonwalker | cast member | Michael Jackson
12 Rounds 2: Reloaded | cast member | Randy Orton
Cool World | cast member | Gabriel Byrne
1 Night in Paris | cast member | Rick Salomon
Alvin and the Chipmunks: The Squeakquel | cast member | Amy Poehler
Superman IV: The Quest for Peace | cast member | Gene Hackman
Alvin and the Chipmunks: The Squeakquel | cast member | Matthew Gray Gubler
Alvin and the Chipmunks: The Squeakquel | cast member | Zachary Levi
Kim Kardashian, Superstar | cast member | Ray J
Space Jam | cast member | Michael Jordan
2010: The Year We Make Contact | cast member | Bob Balaban
Alvin and the Chipmunks: The Squeakquel | cast member | David Cross
Pink Collar | cast member | Matt Malloy
The Flame of Love | cast member | Anna May Wong
Where on Earth?? | cast member | Jo Se-ho
Monterey Pop | cast member | Otis Redding
The Vigilante | cast member | Ralph Byrd
Hai-Tang | cast member | Anna May Wong
12 Rounds 2: Reloaded | cast member | Brian Markinson
12 Rounds 2: Reloaded | cast member | Cindy Busby
Superman II | cast member | Gene Hackman
Live Forever: The Rise and Fall of Brit Pop | cast member | Jarvis Cocker
Palominas | cast member | Daryl Hannah
The Road to Dishonour | cast member | Anna May Wong
Pearl Jam Twenty | cast member | Cameron Crowe
Superman IV: The Quest for Peace | cast member | Margot Kidder
Superman III | cast member | Marc McClure
Kuch Kuch Hota Hai | cast member | Shah Rukh Khan
Acting Sheriff | cast member | Robert Goulet
The Rolling Stones Rock and Roll Circus | cast member | John Lennon
Jonas Brothers: The 3D Concert Experience | cast member | Nick Jonas
Alvin and the Chipmunks: Chipwrecked | cast member | Christina Applegate
The Road to Dishonour | cast member | Francis Lederer
The Dragon Ring | cast member | Anna Falchi
The Compleat Beatles | cast member | Billy Preston
Alvin and the Chipmunks: The Squeakquel | cast member | Justin Long
Palominas | cast member | Wes Studi
Remember That Night | cast member | David Gilmour
Superman IV: The Quest for Peace | cast member | Marc McClure
Superman III | cast member | Jackie Cooper
Fantasia 2000 | cast member | Itzhak Perlman
Zombies of the Stratosphere | cast member | Leonard Nimoy
Superman II | cast member | Terence Stamp
Hail! Hail! Rock 'n' Roll | cast member | Eric Clapton
Fuck Me, Ray Bradbury | cast member | Rachel Bloom
Symphony: Live in Vienna | cast member | Sarah Brightman
Superman IV: The Quest for Peace | cast member | Mark Pillow
Out of an Old Man's Head | cast member | Tage Danielsson
65 Revisited | cast member | Bob Neuwirth
Superman III | cast member | Annette O'Toole
The Rolling Stones Rock and Roll Circus | cast member | Marianne Faithfull
The Freak | cast member | Victoria Chaplin
One Last Time Live in Concert | cast member | Tina Turner
Playmobil: The Movie | cast member | Gabriel Bateman
Monterey Pop | cast member | Hugh Masekela
Cruel Intentions | cast member | Sarah Michelle Gellar
Along the Way | cast member | Jay Bentley
Hail! Hail! Rock 'n' Roll | cast member | Chuck Berry
Kurt & Courtney | cast member | Kurt Cobain
Emak-Bakia | cast member | Man Ray
Live at River Plate | cast member | Malcolm Young
Tomorrow Never Dies | cast member | Pierce Brosnan
Alvin and the Chipmunks: Chipwrecked | cast member | Jenny Slate
2010: The Year We Make Contact | cast member | John Lithgow
Fantasia 2000 | cast member | James Earl Jones
Superman III | cast member | Robert Vaughn
The Compleat Beatles | cast member | Brian Epstein
Superman/Batman: Apocalypse | cast member | Kevin Conroy
Message to Love | cast member | Jimi Hendrix
65 Revisited | cast member | Bob Dylan
The Road to Dishonour | cast member | Georg H. Schnell
The Compleat Beatles | cast member | George Martin
Radar Men from the Moon | cast member | Aline Towne
Alvin and the Chipmunks: Chipwrecked | cast member | David Cross
Flight of the Butterflies | cast member | Gordon Pinsent
The SpongeBob Movie: Sponge Out of Water | cast member | Antonio Banderas
Lookwell | cast member | Adam West
Alvin and the Chipmunks: The Squeakquel | cast member | Jesse McCartney
Pink Collar | cast member | Hedy Burress
The Tree of Wooden Clogs | award received | Palme d'Or
Not One Less | award received | Golden Lion
The Girl from Nowhere | award received | Golden Leopard
A Man and a Woman | award received | Palme d'Or
Amdavad Ma Famous | award received | National Film Award for Best Non-Feature Film
After This Our Exile | award received | Golden Horse Award for Best Feature Film
The Wages of Fear | award received | Golden Bear
Vive L'Amour | award received | Golden Lion
Spider-Man 2 | award received | Academy Award for Best Visual Effects
Annie Hall | award received | Academy Award for Best Picture
Sundae in New York | award received | Academy Award for Best Animated Short Film
The Red Violin | award received | Academy Award for Best Original Score
After This Our Exile | award received | Hong Kong Film Award for Best Film
Franz Kafka's It's a Wonderful Life | award received | Academy Award for Best Live Action Short Film
Tweetie Pie | award received | Academy Award for Best Animated Short Film
The Cat Concerto | award received | Academy Award for Best Animated Short Film
An Autumn's Tale | award received | Hong Kong Film Award for Best Film
The Woman and the Stranger | award received | Golden Bear
Kamla Ki Maut | award received | Filmfare Award for Best Screenplay
Spirited Away | award received | Golden Bear
Sudigundalu | award received | Nandi Award for Best Feature Film
Uncle Boonmee Who Can Recall His Past Lives | award received | Palme d'Or
Wrong Side Raju | award received | National Film Awards
Rain Man | award received | Golden Bear
The Moving True Story of a Woman Ahead of Her Time | award received | Platinum Film
The Son's Room | award received | David di Donatello for Best Film
Viridiana | award received | Palme d'Or
When Father Was Away on Business | award received | Palme d'Or
The Abyss | award received | Academy Award for Best Visual Effects
For Scent-imental Reasons | award received | Academy Award for Best Animated Short Film
The Dirty Dozen | award received | Academy Award for Best Sound Editing
Spirited Away | award received | Academy Award for Best Animated Feature
Blinkity Blank | award received | Short Film Palme d'Or
All About My Father | award received | Amanda Award for Best Film
Winnie the Pooh and the Blustery Day | award received | Academy Award for Best Animated Short Film
Koi... Mil Gaya | award received | National Film Award for Best Film on Other Social Issues
Dilwale Dulhania Le Jayenge | award received | National Film Award for Best Popular Film Providing Wholesome Entertainment
Law of Desire | award received | Teddy Award
Neecha Nagar | award received | Palme d'Or
The Broadway Melody | award received | Academy Award for Best Picture
A Prominent Patient | award received | Czech Lion for Best Film
Knighty Knight Bugs | award received | Academy Award for Best Animated Short Film
Chico and Rita | award received | Goya Award for Best Animated Film
73 Cows | award received | BAFTA Award for Best Short Film
The Forgiveness of Blood | award received | Silver Bear for Best Screenplay
The Quiet Man | award received | Academy Award for Best Director
Watch on the Rhine | award received | Academy Award for Best Actor
Toni Erdmann | award received | Lux Prize
Tow Truck Pluck | award received | Golden Film
A Song for Tibet | award received | Genie Awards
Pete on the Way to Heaven | award received | Golden George
Save the Tiger | award received | Academy Award for Best Actor
Road to Perdition | award received | Academy Award for Best Cinematography
A Separation | award received | Golden Bear
Dear Basketball | award received | Academy Award for Best Animated Short Film
The Purple Rose of Cairo | award received | BAFTA Award for Best Film
The Working Class Goes to Heaven | award received | David di Donatello for Best Film
She Wore a Yellow Ribbon | award received | Academy Award for Best Cinematography, Color
Yes Nurse! No Nurse! | award received | Platinum Film
Mon Oncle | award received | New York Film Critics Circle Award for Best Foreign Language Film
I, Daniel Blake | award received | Prix du public
Blade Runner | award received | Hugo Award for Best Dramatic Presentation
The Fight Between the Snipe and the Clam | award received | Silver Bear for Best Short Film
Pirates of the Caribbean: Dead Man's Chest | award received | Academy Award for Best Visual Effects
The Barefoot Contessa | award received | Academy Award for Best Supporting Actor
Il Postino: The Postman | award received | Academy Award for Best Original Dramatic Score
Of Horses and Men | award received | Nordic Council Film Prize
Syriana | award received | Academy Award for Best Supporting Actor
Pelle the Conqueror | award received | Palme d'Or
The Ascent | award received | Golden Bear
The Son's Room | award received | Palme d'Or
South of 8 | award received | Best Dramatic Screenplay
The Juror | award received | Golden Raspberry Award for Worst Actress
The Longing | award received | Golden Leopard
True Lies | award received | Saturn Award for Best Director
As Good as It Gets | award received | Academy Award for Best Actor
Keep Off | award received | Golden Film
The Theme | award received | Golden Bear
La Maison en Petits Cubes | award received | Annecy Cristal for a Short Film
Johnny Eager | award received | Academy Award for Best Supporting Actor
For a Good Time, Call... | production company | Focus Features
He Fought for the U.S.A. | production company | Essanay Studios
Lamhe | production company | Yash Raj Films
Alita: Battle Angel | production company | Lightstorm Entertainment
Suraj Ka Satvan Ghoda | production company | National Film Development Corporation of India
Nabin Jatra | production company | New Theatres
Dhoom 2 | production company | Yash Raj Films
The Last Airbender | production company | Nickelodeon Movies
Mother Krause's Journey to Happiness | production company | Prometheus Film
Ice Age: The Meltdown | production company | Blue Sky Studios
The Puzzle of the Red Orchid | production company | Rialto Film
Love Nest on Wheels | production company | Educational Pictures
The Wheel of the Law | production company | Metro Pictures
The Testament of Dr. Mabuse | production company | Nero-Film
The Adventures of Sharkboy and Lavagirl in 3-D | production company | Dimension Films
Where the Pavement Ends | production company | Metro Pictures
I Spit on Your Corpse | production company | Troma Entertainment
Nanny McPhee | production company | Working Title Films
Casper Meets Wendy | production company | Saban Entertainment
Contra Conspiracy | production company | Troma Entertainment
Teenage Catgirls in Heat | production company | Troma Entertainment
Dead Space: Downfall | production company | Film Roman
Curse of the Cannibal Confederates | production company | Troma Entertainment
Her Humble Ministry | production company | Lubin Manufacturing Company
Dikshul | production company | New Theatres
Cry Uncle! | production company | Troma Entertainment
Combat Shock | production company | Troma Entertainment
Seeking a Friend for the End of the World | production company | Focus Features
Gone Nutty | production company | Blue Sky Studios
The Saving of Bill Blewitt | production company | GPO Film Unit
China's Unnatural Disaster: The Tears of Sichuan Province | production company | HBO Films
The Hobbit: The Desolation of Smaug | production company | New Line Cinema
Band Baaja Baaraat | production company | Yash Raj Films
The Family Man | production company | Saturn Films
San Demetrio London | production company | Ealing Studios
The Hanging Woman | production company | Troma Entertainment
Cycle Psycho | production company | Troma Entertainment
Who Killed the Electric Car? | production company | Sony Pictures Classics
Empire of Passion | production company | Argos Films
Saved from the Torrents | production company | Essanay Studios
Tom and Jerry: The Movie | production company | Film Roman
Waitress! | production company | Troma Entertainment
Viennese Girls | production company | Wien-Film
All the Love You Cannes! | production company | Troma Entertainment
Mickybo and Me | production company | Working Title Films
The Right That Failed | production company | Metro Pictures
Rock-a-Doodle | production company | Goldcrest Films
All Dogs Go to Heaven | production company | Goldcrest Films
The Toxic Avenger Part II | production company | Troma Entertainment
Nocturnal Animals | production company | Focus Features
Roadside Romeo | production company | Yash Raj Films
Luther the Geek | production company | Troma Entertainment
Dead of Night | production company | Ealing Studios
Bugged! | production company | Troma Entertainment
On the Basis of Sex | production company | Focus Features
The Twilight Saga: New Moon | production company | Summit Entertainment
The Haunted World of El Superbeasto | production company | Film Roman
The Endless Road | production company | Bavaria Film
The Girl Spy: An Incident of the Civil War | production company | Kalem Company
Live, Love and Believe | production company | Essanay Studios
Garfield Gets Real | production company | Davis Entertainment
Dena Paona | production company | New Theatres
Legends of Valhalla: Thor | production company | CAOZ
The Plot to Assassinate Hitler | production company | CCC Film
Le Corbeau | production company | Continental Films
The Cloverfield Paradox | production company | Bad Robot Productions
Battle of the Last Panzer | production company | Troma Entertainment
A Strange Transgressor | production company | Triangle Film Corporation
Blood Hook | production company | Troma Entertainment
Ice Age: Continental Drift | production company | Blue Sky Studios
Anna and the Moods | production company | CAOZ
Path to War | production company | HBO
Step Up Revolution | production company | Summit Entertainment
Ice Age: Collision Course | production company | Blue Sky Studios
Donnie Darko | production company | Flower Films
Bloodspit | production company | Troma Entertainment
Hollywood Zap! | production company | Troma Entertainment
Rabid Grannies | production company | Troma Entertainment
Big Gus, What's the Fuss? | production company | Troma Entertainment
The Ice Harvest | production company | Focus Features
Just Another Missing Kid | country of origin | Canada
Klondike Fever | country of origin | Canada
Caravan 841 | country of origin | Israel
Vacation with Derek | country of origin | Canada
The Decline of the American Empire | country of origin | Canada
Kempler video | country of origin | Israel
The Place Promised in Our Early Days | country of origin | Japan
Godzilla: Final Wars | country of origin | Japan
Dr. Pomerantz | country of origin | Israel
Atanarjuat: The Fast Runner | country of origin | Canada
Kamikaze Taxi | country of origin | Japan
Kippur | country of origin | Israel
Case Closed: Countdown to Heaven | country of origin | Japan
The Triplets of Belleville | country of origin | Canada
The Bells of Nagasaki | country of origin | Japan
The Big Snit | country of origin | Canada
Ghidorah, the Three-Headed Monster | country of origin | Japan
When the Day Breaks | country of origin | Canada
The Policeman | country of origin | Israel
V for Vendetta | country of origin | United Kingdom
Godzilla vs. Hedorah | country of origin | Japan
The Grudge | country of origin | Japan
El Cielo Rojo | country of origin | Costa Rica
Close, Closed, Closure | country of origin | Israel
Harry Potter and the Goblet of Fire | country of origin | United Kingdom
The Legend of the 7 Golden Vampires | country of origin | United Kingdom
Franklin and the Turtle Lake Treasure | country of origin | Canada
Martin Luther, Heretic | country of origin | United Kingdom
Franklyn | country of origin | United Kingdom
Final Destination 3 | country of origin | Canada
Return to the Land of Wonders | country of origin | Iraq
All Hell Broke Loose | country of origin | Israel
Tomorrow Never Dies | country of origin | United Kingdom
Maikol Yordan de Viaje Perdido | country of origin | Costa Rica
Sister Wife | country of origin | Israel
Late Marriage | country of origin | Israel
