Aaron_Boogaard | birthYear | 1986
Adam_McQuaid | birthYear | 1986
Adam_McQuaid | birthPlace | Prince_Edward_Island
Adam_McQuaid | birthYear | 1986
Adam_McQuaid | height | 1.9558
Adam_McQuaid | birthPlace | Prince_Edward_Island
Adam_McQuaid | weight | 94.8024 (kilograms)
Adam_McQuaid | birthYear | 1986
Adam_McQuaid | draftTeam | Columbus_Blue_Jackets
Adam_McQuaid | club | Boston_Bruins
Boston_Bruins | city | Boston
Adam_McQuaid | draftTeam | Columbus_Blue_Jackets
Columbus_Blue_Jackets | city | Columbus,_Ohio
Adam_McQuaid | club | Boston_Bruins
Adam_McQuaid | draftTeam | Columbus_Blue_Jackets
Columbus_Blue_Jackets | city | Columbus,_Ohio
Columbus_Blue_Jackets | generalManager | Jarmo_Kekäläinen
Akeem_Adams | club | Central_F.C.
Akeem_Adams | club | T&TEC_Sports_Club
Akeem_Adams | birthPlace | Point Fortin, Trinidad and Tobago
Akeem_Adams | club | Ferencvárosi_TC
Akeem_Adams | club | Central_F.C.
Akeem_Adams | birthPlace | Point Fortin, Trinidad and Tobago
Akeem_Adams | club | Ferencvárosi_TC
Akeem_Adams | club | T&TEC_Sports_Club
Akeem_Adams | birthPlace | Point Fortin, Trinidad and Tobago
Akeem_Adams | club | Ferencvárosi_TC
Akeem_Adams | club | Trinidad_and_Tobago_national_under-17_football_team
Akeem_Adams | birthPlace | Point Fortin, Trinidad and Tobago
Akeem_Adams | club | Ferencvárosi_TC
Akeem_Adams | club | United_Petrotrin_F.C.
United_Petrotrin_F.C. | ground | Palo_Seco
Akeem_Adams | club | Ferencvárosi_TC
United_Petrotrin_F.C. | ground | Palo_Seco_Velodrome
Akeem_Adams | club | United_Petrotrin_F.C.
Akeem_Adams | club | United_Petrotrin_F.C.
United_Petrotrin_F.C. | ground | Palo_Seco
Akeem_Adams | club | T&TEC_Sports_Club
Akeem_Dent | birthYear | 1987
Akeem_Dent | birthDate | 1987-09-27
Akeem_Dent | birthPlace | Atlanta, Georgia
Akeem_Dent | club | Houston_Texans
Akeem_Dent | birthDate | 1987-09-27
Akeem_Dent | birthPlace | Atlanta, Georgia
Akeem_Dent | debutTeam | Atlanta_Falcons
Akeem_Dent | formerTeam | Houston_Texans
Atlanta_Falcons | city | Atlanta
Akeem_Dent | debutTeam | Atlanta_Falcons
Akeem_Dent | formerTeam | Houston_Texans
Houston_Texans | city | Houston
Akeem_Dent | debutTeam | Atlanta_Falcons
Atlanta_Falcons | owner | Arthur_Blank
Atlanta_Falcons | city | Atlanta
Akeem_Dent | formerTeam | Atlanta_Falcons
Akeem_Dent | birthDate | 1987-09-27
Akeem_Dent | birthPlace | Atlanta, Georgia
Akeem_Dent | formerTeam | Houston_Texans
Akeem_Dent | birthDate | 1987-09-27
Akeem_Dent | birthPlace | Atlanta, Georgia
Akeem_Priestley | club | Dayton_Dutch_Lions
Akeem_Priestley | club | Antigua_GFC
Akeem_Priestley | youthclub | Harbour_View_F.C.
Akeem_Priestley | club | Jacksonville_Dolphins
Akeem_Priestley | club | Harbour_View_F.C.
Akeem_Priestley | youthclub | Connecticut_Huskies
Akeem_Priestley | club | Jacksonville_Dolphins
Akeem_Priestley | club | Sheikh_Russel_KC
Akeem_Priestley | youthclub | Connecticut_Huskies
Akeem_Priestley | club | Jamaica_national_football_team
Akeem_Priestley | club | Dayton_Dutch_Lions
Akeem_Priestley | youthclub | Connecticut_Huskies
Akeem_Priestley | club | Jamaica_national_football_team
Akeem_Priestley | club | Dayton_Dutch_Lions
Akeem_Priestley | youthclub | Harbour_View_F.C.
Akeem_Priestley | club | Orange_County_Blues_FC
Orange_County_Blues_FC | manager | Oliver_Wyss
Akeem_Priestley | club | Antigua_GFC
Akeem_Priestley | club | Orange_County_Blues_FC
Orange_County_Blues_FC | manager | Oliver_Wyss
Akeem_Priestley | club | Dayton_Dutch_Lions
Akeem_Priestley | club | Orange_County_Blues_FC
Orange_County_Blues_FC | manager | Oliver_Wyss
Akeem_Priestley | club | FK_Mughan
Akeem_Priestley | club | Orange_County_Blues_FC
Orange_County_Blues_FC | manager | Oliver_Wyss
Akeem_Priestley | club | Sheikh_Russel_KC
Akeem_Priestley | club | Sheikh_Russel_KC
Akeem_Priestley | youthclub | Jacksonville_Dolphins
Akeem_Priestley | club | Harbour_View_F.C.
Akeem_Priestley | youthclub | Jacksonville_Dolphins
Akeem_Priestley | club | Jamaica_national_football_team
Akeem_Priestley | club | Dayton_Dutch_Lions
Al_Kharaitiyat_SC | ground | Al_Khor
Alaa_Abdul-Zahra | club | Al-Wakrah_Sport_Club
Alaa_Abdul-Zahra | club | Al_Kharaitiyat_SC
Al_Kharaitiyat_SC | ground | Al_Khor
Alaa_Abdul-Zahra | club | Al-Zawra'a_SC
Alaa_Abdul-Zahra | club | Al_Kharaitiyat_SC
Al_Kharaitiyat_SC | ground | Al_Khor
Alaa_Abdul-Zahra | club | Duhok_SC
Alaa_Abdul-Zahra | club | Al_Kharaitiyat_SC
Al_Kharaitiyat_SC | ground | Al_Khor
Alaa_Abdul-Zahra | club | Sanat_Mes_Kerman_F.C.
Alaa_Abdul-Zahra | club | Al_Kharaitiyat_SC
Alaa_Abdul-Zahra | birthPlace | Iraq
Alaa_Abdul-Zahra | club | Al_Kharaitiyat_SC
Alaa_Abdul-Zahra | club | Al-Khor_Sports_Club
Alaa_Abdul-Zahra | birthPlace | Iraq
Alaa_Abdul-Zahra | club | Al_Kharaitiyat_SC
Alaa_Abdul-Zahra | club | Sanat_Mes_Kerman_F.C.
Alaa_Abdul-Zahra | birthPlace | Iraq
Alaa_Abdul-Zahra | club | Iraq_national_under-23_football_team
Alaa_Abdul-Zahra | club | Al_Kharaitiyat_SC
Alaa_Abdul-Zahra | birthPlace | Iraq
Alaa_Abdul-Zahra | club | Iraq_national_under-23_football_team
Alaa_Abdul-Zahra | club | Duhok_SC
Alaa_Abdul-Zahra | birthPlace | Iraq
Alaa_Abdul-Zahra | club | Iraq_national_under-23_football_team
Alaa_Abdul-Zahra | club | Sanat_Mes_Kerman_F.C.
Alaa_Abdul-Zahra | birthPlace | Iraq
Alaa_Abdul-Zahra | club | Tractor_Sazi_F.C.
Alaa_Abdul-Zahra | club | Al-Wakrah_Sport_Club
Alaa_Abdul-Zahra | club | Al-Khor_Sports_Club
Al_Kharaitiyat_SC | ground | Al_Khor
Alaa_Abdul-Zahra | club | Al_Kharaitiyat_SC
Alaa_Abdul-Zahra | club | Al-Khor_Sports_Club
Alaa_Abdul-Zahra | club | Al-Wakrah_Sport_Club
Al-Khor_Sports_Club | ground | Al_Khor
Alaa_Abdul-Zahra | club | Al_Kharaitiyat_SC
Al_Kharaitiyat_SC | ground | Al_Khor
Al_Kharaitiyat_SC | manager | Amar_Osim
Alaa_Abdul-Zahra | club | Al_Kharaitiyat_SC
Al_Kharaitiyat_SC | ground | Al_Khor
Alaa_Abdul-Zahra | club | Al_Shorta_SC
Alaa_Abdul-Zahra | club | Al_Kharaitiyat_SC
Al_Kharaitiyat_SC | ground | Al_Khor
Alaa_Abdul-Zahra | club | Iraq_national_under-20_football_team
Alaa_Abdul-Zahra | club | Al_Kharaitiyat_SC
Al_Kharaitiyat_SC | ground | Al_Khor
Alaa_Abdul-Zahra | club | Iraq_national_under-23_football_team
Alaa_Abdul-Zahra | club | Al_Kharaitiyat_SC
Alaa_Abdul-Zahra | club | Al-Khor_Sports_Club
Al-Khor_Sports_Club | ground | Al_Khor
Aleksander_Barkov,_Jr. | birthYear | 1995
Aleksander_Barkov,_Jr. | club | Florida_Panthers
Aleksander_Barkov,_Jr. | birthPlace | Tampere, Finland
Aleksander_Barkov,_Jr. | weight | 96.1632 (kilograms)
Aleksander_Barkov,_Jr. | draftTeam | Florida_Panthers
Florida_Panthers | generalManager | Dale_Tallon
Aleksandr_Chumakov | birthYear | 1948
Aleksandr_Chumakov | birthPlace | Moscow
Aleksandr_Chumakov | club | FC_Torpedo_Moscow
Aleksandr_Chumakov | birthYear | 1948
Aleksandr_Chumakov | club | Soviet_Union_national_football_team
Aleksandr_Chumakov | birthPlace | Moscow
Aleksandr_Chumakov | birthYear | 1948
Aleksandr_Chumakov | club | Soviet_Union_national_football_team
Aleksandr_Chumakov | birthPlace | Soviet_Union
Aleksandr_Chumakov | club | FC_Torpedo_Moscow
Aleksandr_Chumakov | club | Soviet_Union_national_football_team
FC_Torpedo_Moscow | manager | Valery_Petrakov
Aleksandr_Chumakov | club | FC_Torpedo_Moscow
FC_Torpedo_Moscow | manager | Valery_Petrakov
FC_Torpedo_Moscow | chairman | Aleksandr_Tukmanov
Aleksandr_Chumakov | club | Soviet_Union_national_football_team
Aleksandr_Chumakov | birthPlace | Moscow
Aleksandr_Chumakov | club | FC_Torpedo_Moscow
Aleksandr_Chumakov | club | Soviet_Union_national_football_team
Aleksandr_Chumakov | club | FC_Torpedo_Moscow
Aleksandr_Chumakov | birthPlace | Soviet_Union
Aleksandr_Chumakov | deathPlace | Russia
Russia | leader | Vladimir_Putin
Aleksandr_Chumakov | birthPlace | Moscow
Aleksandr_Prudnikov | birthDate | 1989-02-24
Aleksandr_Prudnikov | club | FC_Kuban_Krasnodar
Aleksandr_Prudnikov | club | FC_Tom_Tomsk
Aleksandr_Prudnikov | club | FC_Amkar_Perm
FC_Spartak_Moscow | ground | Otkrytiye_Arena
Aleksandr_Prudnikov | youthclub | FC_Spartak_Moscow
Aleksandr_Prudnikov | club | FC_Amkar_Perm
FC_Terek_Grozny | ground | Grozny
Aleksandr_Prudnikov | club | FC_Terek_Grozny
Aleksandr_Prudnikov | club | FC_Spartak_Moscow
Aleksandr_Prudnikov | birthDate | 1989-02-24
Aleksandr_Prudnikov | club | FC_Amkar_Perm
Aleksandr_Prudnikov | club | FC_Spartak_Moscow
Aleksandr_Prudnikov | birthDate | 1989-02-24
Aleksandr_Prudnikov | club | FC_Dynamo_Moscow
Aleksandr_Prudnikov | club | FC_Spartak_Moscow
Aleksandr_Prudnikov | birthDate | 1989-02-24
Aleksandr_Prudnikov | club | FC_Tom_Tomsk
Aleksandr_Prudnikov | club | FC_Spartak_Moscow
Aleksandr_Prudnikov | club | FC_Amkar_Perm
FC_Spartak_Moscow | ground | Otkrytiye_Arena
Aleksandr_Prudnikov | club | FC_Spartak_Moscow
FC_Spartak_Moscow | ground | Otkrytiye_Arena
Aleksandr_Prudnikov | club | FC_Alania_Vladikavkaz
Aleksandr_Prudnikov | club | FC_Spartak_Moscow
FC_Spartak_Moscow | ground | Otkrytiye_Arena
Aleksandr_Prudnikov | club | FC_Rubin_Kazan
Alessio_Romagnoli | birthPlace | Anzio
Alessio_Romagnoli | club | Italy_national_under-17_football_team
Alessio_Romagnoli | club | U.C._Sampdoria
Alessio_Romagnoli | club | A.C._Milan
A.C._Milan | manager | Siniša_Mihajlović
Alessio_Romagnoli | club | A.S._Roma
Alessio_Romagnoli | club | A.C._Milan
A.C._Milan | manager | Siniša_Mihajlović
Alessio_Romagnoli | club | Italy_national_under-17_football_team
Alessio_Romagnoli | club | A.C._Milan
A.C._Milan | manager | Siniša_Mihajlović
Alessio_Romagnoli | club | Italy_national_under-19_football_team
Alessio_Romagnoli | club | A.C._Milan
Alessio_Romagnoli | club | Italy_national_under-16_football_team
Italy_national_under-16_football_team | coach | Daniele_Zoratto
Alessio_Romagnoli | club | A.C._Milan
Alessio_Romagnoli | club | Italy_national_under-17_football_team
Italy_national_under-17_football_team | coach | Alessandro_Dal_Canto
Alessio_Romagnoli | club | Italy_national_under-16_football_team
Alessio_Romagnoli | birthPlace | Anzio
Alessio_Romagnoli | club | U.C._Sampdoria
Alessio_Romagnoli | club | Italy_national_under-16_football_team
Alessio_Romagnoli | club | A.C._Milan
Alessio_Romagnoli | birthPlace | Italy
Alessio_Romagnoli | club | Italy_national_under-16_football_team
Alessio_Romagnoli | club | A.S._Roma
Alessio_Romagnoli | birthPlace | Italy
Alessio_Romagnoli | club | Italy_national_under-16_football_team
Alessio_Romagnoli | club | U.C._Sampdoria
Alessio_Romagnoli | birthPlace | Italy
Alessio_Romagnoli | club | Italy_national_under-16_football_team
Italy_national_under-16_football_team | coach | Daniele_Zoratto
Alessio_Romagnoli | club | Italy_national_under-17_football_team
Alessio_Romagnoli | club | Italy_national_under-16_football_team
Italy_national_under-16_football_team | coach | Daniele_Zoratto
Alessio_Romagnoli | club | Italy_national_under-19_football_team
Alessio_Romagnoli | club | Italy_national_under-16_football_team
Italy_national_under-16_football_team | coach | Daniele_Zoratto
Alessio_Romagnoli | club | U.C._Sampdoria
Alessio_Romagnoli | club | Italy_national_under-17_football_team
Italy_national_under-17_football_team | coach | Alessandro_Dal_Canto
Alessio_Romagnoli | club | A.S._Roma
Alessio_Romagnoli | club | Italy_national_under-17_football_team
Italy_national_under-17_football_team | coach | Alessandro_Dal_Canto
Alessio_Romagnoli | club | Italy_national_under-16_football_team
Alessio_Romagnoli | club | Italy_national_under-17_football_team
Italy_national_under-17_football_team | coach | Alessandro_Dal_Canto
Alessio_Romagnoli | club | Italy_national_under-19_football_team
Alessio_Romagnoli | club | Italy_national_under-17_football_team
Italy_national_under-17_football_team | coach | Alessandro_Dal_Canto
Alessio_Romagnoli | club | U.C._Sampdoria
Alessio_Romagnoli | club | Italy_national_under-19_football_team
Alessio_Romagnoli | club | U.C._Sampdoria
Alessio_Romagnoli | birthPlace | Italy
Alex_Tyus | birthPlace | St._Louis
St._Louis | isPartOf | French_First_Republic
St._Louis | leader | Francis_G._Slay
Alex_Tyus | birthPlace | St._Louis
St._Louis | leader | Francis_G._Slay
St._Louis | isPartOf | Kingdom_of_France
Alex_Tyus | birthPlace | St._Louis
St._Louis | leader | Francis_G._Slay
St._Louis | isPartOf | Spain
Alex_Tyus | club | Anadolu_Efes_S.K.
Anadolu_Efes_S.K. | coach | Dušan_Ivković
Alex_Tyus | league | Euroleague
Alex_Tyus | club | Anadolu_Efes_S.K.
Anadolu_Efes_S.K. | coach | Dušan_Ivković
Alex_Tyus | league | Turkish_Basketball_Super_League
Alex_Tyus | college | Florida_Gators_men's_basketball
Alex_Tyus | draftYear | 2011
Alex_Tyus | birthDate | 1988-01-08
Alex_Tyus | league | Euroleague
Alex_Tyus | club | Maccabi_Tel_Aviv_B.C.
Maccabi_Tel_Aviv_B.C. | coach | Žan_Tabak
Alex_Tyus | league | Turkish_Basketball_Super_League
Alex_Tyus | club | Maccabi_Tel_Aviv_B.C.
Maccabi_Tel_Aviv_B.C. | coach | Žan_Tabak
Canada | anthem | O_Canada
Canada | language | Slavey_language
Aaron_Boogaard | birthPlace | Canada
Canada | anthem | O_Canada
Canada | leader | Elizabeth_II
Aaron_Boogaard | birthPlace | Canada
Canada | ethnicGroup | Black_Canadians
Canada | leader | Elizabeth_II
Adam_McQuaid | birthPlace | Canada
Canada | language | French_language
Canada | anthem | O_Canada
Aaron_Boogaard | birthPlace | Canada
Canada | leader | Elizabeth_II
Canada | ethnicGroup | Asian_Canadians
Aaron_Boogaard | birthPlace | Canada
Canada | leader | Elizabeth_II
Canada | ethnicGroup | Asian_Canadians
Adam_McQuaid | birthPlace | Canada
FC_Spartak_Moscow | ground | Otkrytiye_Arena
Aleksandr_Prudnikov | club | FC_Spartak_Moscow
Aleksandr_Prudnikov | club | FC_Anzhi_Makhachkala
FC_Spartak_Moscow | ground | Otkrytiye_Arena
Aleksandr_Prudnikov | club | FC_Spartak_Moscow
Aleksandr_Prudnikov | club | FC_Kuban_Krasnodar
FC_Spartak_Moscow | ground | Otkrytiye_Arena
Aleksandr_Prudnikov | club | FC_Spartak_Moscow
Aleksandr_Prudnikov | club | FC_Terek_Grozny
FC_Spartak_Moscow | ground | Otkrytiye_Arena
Aleksandr_Prudnikov | youthclub | FC_Spartak_Moscow
Aleksandr_Prudnikov | club | FC_Alania_Vladikavkaz
FC_Spartak_Moscow | ground | Otkrytiye_Arena
Aleksandr_Prudnikov | youthclub | FC_Spartak_Moscow
Aleksandr_Prudnikov | club | FC_Dynamo_Moscow
FC_Spartak_Moscow | ground | Otkrytiye_Arena
Aleksandr_Prudnikov | youthclub | FC_Spartak_Moscow
Aleksandr_Prudnikov | club | FC_Kuban_Krasnodar
FC_Spartak_Moscow | ground | Otkrytiye_Arena
Aleksandr_Prudnikov | youthclub | FC_Spartak_Moscow
Aleksandr_Prudnikov | club | FC_Rubin_Kazan
FC_Spartak_Moscow | ground | Otkrytiye_Arena
Aleksandr_Prudnikov | youthclub | FC_Spartak_Moscow
Aleksandr_Prudnikov | club | FC_Terek_Grozny
FC_Spartak_Moscow | ground | Otkrytiye_Arena
Aleksandr_Prudnikov | youthclub | FC_Spartak_Moscow
Aleksandr_Prudnikov | club | FC_Tom_Tomsk
FC_Spartak_Moscow | ground | Otkrytiye_Arena
Aleksandr_Prudnikov | youthclub | FC_Spartak_Moscow
Aleksandr_Prudnikov | club | Sparta_Prague
FC_Terek_Grozny | ground | Grozny
Aleksandr_Prudnikov | club | FC_Terek_Grozny
Aleksandr_Prudnikov | club | FC_Kuban_Krasnodar
FC_Terek_Grozny | ground | Grozny
Aleksandr_Prudnikov | club | FC_Terek_Grozny
FC_Terek_Grozny | manager | Rashid_Rakhimov
Houston_Texans | city | Texas
Akeem_Dent | debutTeam | Atlanta_Falcons
Akeem_Dent | formerTeam | Houston_Texans
Houston_Texans | city | Texas
Akeem_Dent | formerTeam | Houston_Texans
Houston_Texans | city | Houston
Moscow | leader | Sergey_Sobyanin
Aleksandr_Chumakov | birthPlace | Moscow
Aleksandr_Chumakov | deathPlace | Moscow, Russia
Orange_County_Blues_FC | manager | Oliver_Wyss
Akeem_Priestley | club | Orange_County_Blues_FC
Akeem_Priestley | club | Connecticut_Huskies
Orange_County_Blues_FC | manager | Oliver_Wyss
Akeem_Priestley | club | Orange_County_Blues_FC
Akeem_Priestley | club | Harbour_View_F.C.
Orange_County_Blues_FC | manager | Oliver_Wyss
Akeem_Priestley | club | Orange_County_Blues_FC
Akeem_Priestley | club | Jacksonville_Dolphins
Orange_County_Blues_FC | manager | Oliver_Wyss
Akeem_Priestley | club | Orange_County_Blues_FC
Akeem_Priestley | club | Jamaica_national_football_team
Orange_County_Blues_FC | manager | Oliver_Wyss
Akeem_Priestley | club | Orange_County_Blues_FC
Akeem_Priestley | club | RoPS
PSV_Eindhoven | manager | Phillip_Cocu
Adam_Maher | club | AZ_Alkmaar
Adam_Maher | club | PSV_Eindhoven
PSV_Eindhoven | manager | Phillip_Cocu
Adam_Maher | club | PSV_Eindhoven
Adam_Maher | club | Netherlands_national_under-17_football_team
Real_Madrid_Castilla | manager | Luis_Miguel_Ramis
Abner_(footballer) | club | Brazil_national_under-17_football_team
Abner_(footballer) | club | Real_Madrid_Castilla
United_Petrotrin_F.C. | ground | Palo_Seco
Akeem_Adams | club | Central_F.C.
Akeem_Adams | club | United_Petrotrin_F.C.
United_Petrotrin_F.C. | ground | Palo_Seco_Velodrome
Akeem_Adams | club | United_Petrotrin_F.C.
Akeem_Adams | club | Central_F.C.
United_Petrotrin_F.C. | ground | Palo_Seco_Velodrome
Akeem_Adams | club | United_Petrotrin_F.C.
Akeem_Adams | club | T&TEC_Sports_Club
Aleksandr_Prudnikov | height | 185.0 (centimetres)
FC_Spartak_Moscow | ground | Otkrytiye_Arena
Aleksandr_Prudnikov | club | FC_Spartak_Moscow
Aleksandr_Prudnikov | height | 185.0 (centimetres)
Aleksandr_Prudnikov | youthclub | FC_Spartak_Moscow
FC_Spartak_Moscow | ground | Otkrytiye_Arena
Aleksandr_Prudnikov | birthDate | 1989-02-24
Aleksandr_Prudnikov | youthclub | FC_Spartak_Moscow
FC_Spartak_Moscow | ground | Otkrytiye_Arena
FC_Terek_Grozny | ground | Grozny
Aleksandr_Prudnikov | currentclub | FC_Amkar_Perm
Aleksandr_Prudnikov | club | FC_Terek_Grozny
Aleksandr_Prudnikov | birthDate | 1989-02-24
Aleksandr_Prudnikov | height | 185.0 (centimetres)
Aleksandr_Prudnikov | youthclub | FC_Spartak_Moscow
Aleksandr_Prudnikov | club | FC_Spartak_Moscow
Aleksandr_Prudnikov | club | FC_Amkar_Perm
Aleksandr_Prudnikov | height | 185.0 (centimetres)
Aleksandr_Prudnikov | youthclub | FC_Spartak_Moscow
FC_Amkar_Perm | manager | Gadzhi_Gadzhiyev
Aleksandr_Prudnikov | birthDate | 1989-02-24
Aleksandr_Prudnikov | youthclub | FC_Spartak_Moscow
Aleksandr_Prudnikov | club | FC_Spartak_Moscow
Aleksandr_Prudnikov | birthDate | 1989-02-24
Aleksandr_Prudnikov | club | FC_Terek_Grozny
FC_Terek_Grozny | manager | Rashid_Rakhimov
Aleksandr_Prudnikov | club | FC_Amkar_Perm
Aleksandr_Prudnikov | birthDate | 1989-02-24
Aleksandr_Prudnikov | youthclub | FC_Spartak_Moscow
Aleksandr_Prudnikov | currentclub | FC_Amkar_Perm
Aleksandr_Prudnikov | club | FC_Amkar_Perm
Aleksandr_Prudnikov | height | 185.0 (centimetres)
Aleksandr_Prudnikov | birthDate | 1989-02-24
FC_Amkar_Perm | manager | Gadzhi_Gadzhiyev
Aleksandr_Prudnikov | birthDate | 1989-02-24
FC_Terek_Grozny | ground | Grozny
Aleksandr_Prudnikov | club | FC_Terek_Grozny
Aleksandr_Prudnikov | youthclub | FC_Spartak_Moscow
Aleksandr_Prudnikov | club | FC_Terek_Grozny
FC_Terek_Grozny | manager | Rashid_Rakhimov
Aleksandr_Prudnikov | club | FC_Amkar_Perm
Aleksandr_Prudnikov | birthDate | 1989-02-24
Aleksandr_Prudnikov | youthclub | FC_Spartak_Moscow
FC_Amkar_Perm | manager | Gadzhi_Gadzhiyev
FC_Terek_Grozny | ground | Grozny
Aleksandr_Prudnikov | currentclub | FC_Amkar_Perm
Aleksandr_Prudnikov | club | FC_Terek_Grozny
FC_Terek_Grozny | manager | Rashid_Rakhimov
Aleksandr_Prudnikov | youthclub | FC_Spartak_Moscow
FC_Terek_Grozny | ground | Grozny
Aleksandr_Prudnikov | currentclub | FC_Amkar_Perm
Aleksandr_Prudnikov | club | FC_Terek_Grozny
Aleksandr_Prudnikov | height | 185.0 (centimetres)
Aleksandr_Prudnikov | youthclub | FC_Spartak_Moscow
FC_Terek_Grozny | ground | Grozny
Aleksandr_Prudnikov | currentclub | FC_Amkar_Perm
FC_Amkar_Perm | manager | Gadzhi_Gadzhiyev
Aleksandr_Prudnikov | club | FC_Terek_Grozny
Aleksandr_Prudnikov | height | 185.0 (centimetres)
Aleksandr_Prudnikov | height | 185.0 (centimetres)
Aleksandr_Prudnikov | youthclub | FC_Spartak_Moscow
Aleksandr_Prudnikov | club | FC_Terek_Grozny
FC_Terek_Grozny | ground | Grozny
Aleksandr_Prudnikov | currentclub | FC_Amkar_Perm
FC_Amkar_Perm | manager | Gadzhi_Gadzhiyev
Aleksandr_Prudnikov | club | FC_Terek_Grozny
Aleksandr_Prudnikov | youthclub | FC_Spartak_Moscow
FC_Terek_Grozny | ground | Grozny
Aleksandr_Prudnikov | currentclub | FC_Amkar_Perm
Aleksandr_Prudnikov | club | FC_Terek_Grozny
Aleksandr_Prudnikov | birthDate | 1989-02-24
Aleksandr_Prudnikov | youthclub | FC_Spartak_Moscow
Aleksandr_Prudnikov | youthclub | FC_Spartak_Moscow
FC_Terek_Grozny | ground | Grozny
Aleksandr_Prudnikov | club | FC_Terek_Grozny
Aleksandr_Prudnikov | club | FC_Amkar_Perm
Aleksandr_Prudnikov | youthclub | FC_Spartak_Moscow
FC_Amkar_Perm | manager | Gadzhi_Gadzhiyev
FC_Spartak_Moscow | ground | Otkrytiye_Arena
Aleksandr_Prudnikov | club | FC_Amkar_Perm
Aleksandr_Prudnikov | height | 185.0 (centimetres)
Aleksandr_Prudnikov | birthDate | 1989-02-24
Aleksandr_Prudnikov | youthclub | FC_Spartak_Moscow
Aleksandr_Prudnikov | birthDate | 1989-02-24
FC_Spartak_Moscow | ground | Otkrytiye_Arena
Aleksandr_Prudnikov | club | FC_Spartak_Moscow
Aaron_Boogaard | height | 1.905
Aaron_Boogaard | birthPlace | Regina,_Saskatchewan
Aaron_Boogaard | club | Wichita_Thunder
Abel_Hernández | youthclub | Central_Español
Abel_Hernández | club | U.S._Città_di_Palermo
Abel_Hernández | club | Peñarol
Akeem_Dent | debutTeam | Atlanta_Falcons
Akeem_Dent | birthDate | 1987-09-27
Akeem_Dent | birthPlace | Atlanta, Georgia
Akeem_Priestley | birthPlace | Jamaica
Jamaica | leader | Patrick_Allen_(politician)
Jamaica | leader | Elizabeth_II
Alaa_Abdul-Zahra | club | Al-Khor_Sports_Club
Al-Khor_Sports_Club | ground | Al_Khor
Alaa_Abdul-Zahra | club | Al_Shorta_SC
