1_Decembrie_1918_University | latinName | Universitas Apulensis
University_of_Burgundy | staff | 2900
University_of_Burgundy | numberOfDoctoralStudents | 1299
University_of_Burgundy | campus | Dijon
University_of_Burgundy | numberOfStudents | 27400
University_of_Burgundy | numberOfPostgraduateStudents | 9400
University_of_Burgundy | staff | 2900
University_of_Burgundy | numberOfDoctoralStudents | 1299
University_of_Burgundy | numberOfUndergraduateStudents | 16800
University_of_Burgundy | numberOfStudents | 27400
University_of_Burgundy | campus | Dijon
Dijon | country | France
University_of_Burgundy | numberOfUndergraduateStudents | 16800
University_of_Burgundy | staff | 2900
University_of_Burgundy | numberOfStudents | 27400
University_of_Burgundy | numberOfDoctoralStudents | 1299
University_of_Burgundy | campus | Dijon
University_of_Burgundy | country | France
University_of_Burgundy | numberOfUndergraduateStudents | 16800
University_of_Burgundy | staff | 2900
University_of_Burgundy | numberOfStudents | 27400
University_of_Burgundy | numberOfDoctoralStudents | 1299
University_of_Burgundy | numberOfUndergraduateStudents | 16800
University_of_Burgundy | staff | 2900
University_of_Burgundy | campus | Dijon
University_of_Burgundy | numberOfUndergraduateStudents | 16800
University_of_Burgundy | staff | 2900
University_of_Burgundy | numberOfStudents | 27400
University_of_Burgundy | numberOfDoctoralStudents | 1299
University_of_Burgundy | campus | Dijon
University_of_Burgundy | city | Dijon
University_of_Burgundy | staff | 2900
University_of_Burgundy | staff | 2900
University_of_Burgundy | numberOfStudents | 27400
University_of_Burgundy | numberOfDoctoralStudents | 1299
University_of_Burgundy | numberOfStudents | 27400
University_of_Burgundy | campus | Dijon
University_of_Burgundy | staff | 2900
University_of_Burgundy | numberOfDoctoralStudents | 1299
University_of_Burgundy | campus | Dijon
University_of_Burgundy | country | France
University_of_Burgundy | numberOfStudents | 27400
University_of_Burgundy | numberOfDoctoralStudents | 1299
University_of_Burgundy | campus | Dijon
University_of_Burgundy | numberOfUndergraduateStudents | 16800
University_of_Burgundy | staff | 2900
University_of_Burgundy | numberOfStudents | 27400
University_of_Burgundy | numberOfDoctoralStudents | 1299
University_of_Burgundy | campus | Dijon
University_of_Burgundy | numberOfUndergraduateStudents | 16800
University_of_Burgundy | staff | 2900
Dijon | elevationAboveTheSeaLevel | 245.0
Dijon | country | France
France | governmentType | Unitary_state
University_of_Burgundy | numberOfStudents | 27400
University_of_Burgundy | campus | Dijon
University_of_Burgundy | numberOfUndergraduateStudents | 16800
University_of_Burgundy | numberOfStudents | 27400
University_of_Burgundy | numberOfDoctoralStudents | 1299
University_of_Burgundy | numberOfPostgraduateStudents | 9400
University_of_Burgundy | campus | Dijon
University_of_Burgundy | city | Dijon
University_of_Burgundy | country | France
University_of_Burgundy | staff | 2900
University_of_Burgundy | numberOfStudents | 27400
University_of_Burgundy | city | Dijon
Dijon | postalCode | 21000
University_of_Burgundy | numberOfUndergraduateStudents | 16800
University_of_Burgundy | staff | 2900
University_of_Burgundy | numberOfStudents | 27400
University_of_Burgundy | campus | Dijon
University_of_Burgundy | city | Dijon
University_of_Burgundy | numberOfPostgraduateStudents | 9400
University_of_Burgundy | country | France
University_of_Burgundy | country | France
France | longName | French Republic
University_of_Burgundy | city | Dijon
France | leader | Claude_Bartolone
University_of_Burgundy | campus | Dijon
University_of_Burgundy | city | Dijon
University_of_Burgundy | numberOfPostgraduateStudents | 9400
University_of_Burgundy | country | France
University_of_Burgundy | numberOfStudents | 27400
University_of_Burgundy | numberOfDoctoralStudents | 1299
University_of_Burgundy | campus | Dijon
University_of_Burgundy | city | Dijon
France | longName | French Republic
University_of_Burgundy | staff | 2900
University_of_Burgundy | numberOfPostgraduateStudents | 9400
University_of_Burgundy | campus | Dijon
University_of_Burgundy | city | Dijon
Dijon | postalCode | 21000
University_of_Burgundy | numberOfStudents | 27400
University_of_Burgundy | city | Dijon
Dijon | elevationAboveTheSeaLevel | 245.0
University_of_Burgundy | numberOfUndergraduateStudents | 16800
University_of_Burgundy | staff | 2900
University_of_Burgundy | numberOfStudents | 27400
University_of_Burgundy | numberOfDoctoralStudents | 1299
University_of_Burgundy | numberOfPostgraduateStudents | 9400
University_of_Burgundy | staff | 2900
University_of_Burgundy | numberOfDoctoralStudents | 1299
University_of_Burgundy | campus | Dijon
University_of_Burgundy | city | Dijon
University_of_Burgundy | campus | Dijon
University_of_Burgundy | city | Dijon
Dijon | country | France
France | governmentType | Unitary_state
University_of_Burgundy | numberOfPostgraduateStudents | 9400
University_of_Burgundy | country | France
University_of_Burgundy | city | Dijon
University_of_Burgundy | country | France
University_of_Burgundy | numberOfUndergraduateStudents | 16800
University_of_Burgundy | staff | 2900
University_of_Burgundy | numberOfStudents | 27400
University_of_Burgundy | numberOfDoctoralStudents | 1299
University_of_Burgundy | campus | Dijon
University_of_Burgundy | numberOfPostgraduateStudents | 9400
University_of_Burgundy | country | France
University_of_Burgundy | numberOfDoctoralStudents | 1299
University_of_Burgundy | campus | Dijon
University_of_Burgundy | numberOfDoctoralStudents | 1299
University_of_Burgundy | numberOfUndergraduateStudents | 16800
University_of_Burgundy | staff | 2900
University_of_Burgundy | numberOfStudents | 27400
University_of_Burgundy | numberOfDoctoralStudents | 1299
University_of_Burgundy | city | Dijon
University_of_Burgundy | numberOfUndergraduateStudents | 16800
University_of_Burgundy | numberOfDoctoralStudents | 1299
University_of_Burgundy | numberOfUndergraduateStudents | 16800
University_of_Burgundy | numberOfPostgraduateStudents | 9400
University_of_Burgundy | city | Dijon
University_of_Burgundy | numberOfPostgraduateStudents | 9400
Accademia_di_Architettura_di_Mendrisio | country | Switzerland
Accademia_di_Architettura_di_Mendrisio | dean | Mario_Botta
Accademia_di_Architettura_di_Mendrisio | numberOfStudents | 600
Romania | leaderTitle | Prime_Minister_of_Romania
Romania | leader | Klaus_Iohannis
1_Decembrie_1918_University | country | Romania
Romania | patronSaint | Andrew_the_Apostle
1_Decembrie_1918_University | latinName | Universitas Apulensis
1_Decembrie_1918_University | country | Romania
School of Business and Social Sciences at the Aarhus University | academicStaffSize | 737
School of Business and Social Sciences at the Aarhus University | numberOfStudents | 16000
School of Business and Social Sciences at the Aarhus University | established | 1928
