Aaron_S._Daggett | battle | American_Civil_War
Abdulsalami_Abubakar | inOfficeWhileVicePresident | Mike_Akhigbe
Mike_Akhigbe | militaryBranch | Nigerian_Navy
Abel_Caballero | birthPlace | Galicia_(Spain)
Abel_Caballero | birthPlace | Ponteareas
Abel_Caballero | party | Spanish_Socialist_Workers'_Party
Abel_Caballero | birthPlace | Spain
Abel_Caballero | birthPlace | Ponteareas
Abel_Caballero | party | Spanish_Socialist_Workers'_Party
Abel_Caballero | birthPlace | Spain
Abel_Caballero | office | Mayor of Vigo
Abel_Caballero | birthPlace | Galicia_(Spain)
Abel_Caballero | birthPlace | Spain
Abel_Caballero | office | Member of the Congress of Deputies
Abel_Caballero | birthPlace | Galicia_(Spain)
Abel_Caballero | inOfficeWhileMonarch | Juan_Carlos_I_of_Spain
Abel_Caballero | inOfficeWhilePrimeMinister | Felipe_González
Felipe_González | predecessor | Rodolfo_Llopis
Abel_Caballero | inOfficeWhileMonarch | Juan_Carlos_I_of_Spain
Abel_Caballero | inOfficeWhilePrimeMinister | Felipe_González
Juan_Carlos_I_of_Spain | predecessor | Alfonso_XIII_of_Spain
Abel_Caballero | inOfficeWhileMonarch | Juan_Carlos_I_of_Spain
Juan_Carlos_I_of_Spain | birthPlace | Rome
Juan_Carlos_I_of_Spain | predecessor | Alfonso_XIII_of_Spain
Abel_Caballero | inOfficeWhileMonarch | Juan_Carlos_I_of_Spain
Juan_Carlos_I_of_Spain | birthPlace | Rome
Juan_Carlos_I_of_Spain | spouse | Queen_Sofía_of_Spain
Abel_Caballero | inOfficeWhileMonarch | Juan_Carlos_I_of_Spain
Juan_Carlos_I_of_Spain | predecessor | Alfonso_XIII_of_Spain
Abel_Caballero | birthPlace | Galicia_(Spain)
Abel_Caballero | inOfficeWhileMonarch | Juan_Carlos_I_of_Spain
Juan_Carlos_I_of_Spain | predecessor | Alfonso_XIII_of_Spain
Abel_Caballero | birthPlace | Ponteareas
Abel_Caballero | inOfficeWhileMonarch | Juan_Carlos_I_of_Spain
Juan_Carlos_I_of_Spain | predecessor | Alfonso_XIII_of_Spain
Abel_Caballero | birthPlace | Spain
Abel_Caballero | inOfficeWhileMonarch | Juan_Carlos_I_of_Spain
Juan_Carlos_I_of_Spain | predecessor | Francisco_Franco
Abel_Caballero | birthPlace | Ponteareas
Abel_Caballero | inOfficeWhileMonarch | Juan_Carlos_I_of_Spain
Juan_Carlos_I_of_Spain | predecessor | Francisco_Franco
Abel_Caballero | birthPlace | Spain
Abel_Caballero | inOfficeWhileMonarch | Juan_Carlos_I_of_Spain
Juan_Carlos_I_of_Spain | predecessor | Francisco_Franco
Abel_Caballero | inOfficeWhilePrimeMinister | Felipe_González
Abel_Caballero | inOfficeWhileMonarch | Juan_Carlos_I_of_Spain
Juan_Carlos_I_of_Spain | predecessor | Francisco_Franco
Juan_Carlos_I_of_Spain | birthPlace | Rome
Abel_Caballero | inOfficeWhileMonarch | Juan_Carlos_I_of_Spain
Juan_Carlos_I_of_Spain | spouse | Queen_Sofía_of_Spain
Abel_Caballero | birthPlace | Galicia_(Spain)
Abel_Caballero | office | Minister of Transport
Abel_Caballero | birthPlace | Galicia_(Spain)
Abel_Caballero | birthPlace | Ponteareas
Abel_Caballero | office | Minister of Transport
Abel_Caballero | birthPlace | Ponteareas
Abel_Caballero | birthPlace | Spain
Abraham_A._Ribicoff | birthPlace | New_Britain,_Connecticut
Abraham_A._Ribicoff | nationality | United_States
United_States | ethnicGroup | African_Americans
Abraham_A._Ribicoff | birthPlace | United_States
Abraham_A._Ribicoff | spouse | Ruth Ribicoff
United_States | ethnicGroup | African_Americans
Abraham_A._Ribicoff | nationality | American
Abraham_A._Ribicoff | birthPlace | United_States
United_States | ethnicGroup | African_Americans
Abraham_A._Ribicoff | office | Governor of Connecticut
Abraham_A._Ribicoff | birthPlace | Connecticut
Abraham_A._Ribicoff | spouse | Ruth Ribicoff
Abraham_A._Ribicoff | office | Governor of Connecticut
Abraham_A._Ribicoff | birthPlace | United_States
Abraham_A._Ribicoff | spouse | Ruth Ribicoff
Abraham_A._Ribicoff | office | United States Secretary of Health, Education, and Welfare
Abraham_A._Ribicoff | birthPlace | United_States
Abraham_A._Ribicoff | spouse | Ruth Ribicoff
Abraham_A._Ribicoff | office | United States Secretary of Health, Education, and Welfare
Abraham_A._Ribicoff | successor | Anthony_J._Celebrezze
Abraham_A._Ribicoff | birthPlace | Connecticut
Abraham_A._Ribicoff | office | United States Secretary of Health, Education, and Welfare
Abraham_A._Ribicoff | successor | Anthony_J._Celebrezze
Abraham_A._Ribicoff | birthPlace | New_Britain,_Connecticut
Abraham_A._Ribicoff | office | United States Secretary of Health, Education, and Welfare
Abraham_A._Ribicoff | successor | Anthony_J._Celebrezze
Abraham_A._Ribicoff | birthPlace | United_States
Abraham_A._Ribicoff | office | United States Secretary of Health, Education, and Welfare
Abraham_A._Ribicoff | successor | John_N._Dempsey
Abraham_A._Ribicoff | birthPlace | New_Britain,_Connecticut
Abraham_A._Ribicoff | office | United States Secretary of Health, Education, and Welfare
Abraham_A._Ribicoff | successor | John_N._Dempsey
Abraham_A._Ribicoff | birthPlace | United_States
Abraham_A._Ribicoff | spouse | Casey_Ribicoff
Abraham_A._Ribicoff | birthPlace | United_States
United_States | ethnicGroup | African_Americans
Abraham_A._Ribicoff | spouse | Casey_Ribicoff
Abraham_A._Ribicoff | office | Governor of Connecticut
Abraham_A._Ribicoff | birthPlace | Connecticut
Abraham_A._Ribicoff | spouse | Casey_Ribicoff
Abraham_A._Ribicoff | office | Governor of Connecticut
Abraham_A._Ribicoff | birthPlace | United_States
Abraham_A._Ribicoff | spouse | Casey_Ribicoff
Abraham_A._Ribicoff | office | United States Secretary of Health, Education, and Welfare
Abraham_A._Ribicoff | birthPlace | Connecticut
Abraham_A._Ribicoff | spouse | Casey_Ribicoff
Abraham_A._Ribicoff | office | United States Secretary of Health, Education, and Welfare
Abraham_A._Ribicoff | birthPlace | United_States
Abraham_A._Ribicoff | spouse | Casey_Ribicoff
Casey_Ribicoff | birthPlace | Chicago
Abraham_A._Ribicoff | office | Governor of Connecticut
Abraham_A._Ribicoff | spouse | Casey_Ribicoff
United_States | ethnicGroup | Native_Americans_in_the_United_States
Abraham_A._Ribicoff | birthPlace | United_States
Abraham_A._Ribicoff | successor | Anthony_J._Celebrezze
Abraham_A._Ribicoff | birthPlace | United_States
Abraham_A._Ribicoff | office | Governor of Connecticut
Abraham_A._Ribicoff | successor | John_N._Dempsey
Abraham_A._Ribicoff | birthPlace | New_Britain,_Connecticut
Abraham_A._Ribicoff | office | Governor of Connecticut
Abraham_A._Ribicoff | successor | John_N._Dempsey
Abraham_A._Ribicoff | birthPlace | United_States
Abraham_A._Ribicoff | office | Governor of Connecticut
Adam_Koc | award | Cross_of_Independence
Adam_Koc | battle | World_War_I
Adam_Koc | award | Cross_of_Valour_(Poland)
Adam_Koc | award | Cross_of_Independence
Adam_Koc | battle | World_War_I
Adam_Koc | award | Order_of_Polonia_Restituta
Adam_Koc | award | Order_of_Polonia_Restituta
Adam_Koc | battle | World_War_I
Adam_Koc | award | Cross_of_Valour_(Poland)
Adam_Koc | award | Virtuti_Militari
Adam_Koc | battle | World_War_I
Adam_Koc | award | Cross_of_Valour_(Poland)
Adam_Koc | battle | Polish–Soviet_War
Adam_Koc | award | Cross_of_Independence
Adam_Koc | award | Cross_of_Valour_(Poland)
Adam_Koc | battle | Polish–Soviet_War
Adam_Koc | award | Legion_of_Honour
Adam_Koc | award | Cross_of_Valour_(Poland)
Adam_Koc | battle | Polish–Soviet_War
Adam_Koc | award | Order_of_Polonia_Restituta
Adam_Koc | award | Cross_of_Independence
Adam_Koc | battle | Polish–Soviet_War
Adam_Koc | award | Virtuti_Militari
Adam_Koc | award | Cross_of_Valour_(Poland)
Adam_Koc | battle | Polish–Soviet_War
Adam_Koc | birthPlace | Suwałki
Polish–Soviet_War | commander | Leon_Trotsky
Adam_Koc | battle | Polish–Soviet_War
Polish–Soviet_War | commander | Joseph_Stalin
Adam_Koc | birthPlace | Congress_Poland
Adam_Koc | battle | Polish–Soviet_War
Polish–Soviet_War | isPartOfMilitaryConflict | Russian_Civil_War
Polish–Soviet_War | commander | Joseph_Stalin
Adonis_Georgiadis | birthPlace | Athens
Adonis_Georgiadis | birthPlace | Greece
Adonis_Georgiadis | party | New_Democracy_(Greece)
Adonis_Georgiadis | birthPlace | Greece
Adonis_Georgiadis | birthPlace | Athens
Adonis_Georgiadis | successor | Makis_Voridis
Adonis_Georgiadis | birthPlace | Greece
Adonis_Georgiadis | office | Deputy Minister for Development, Competitiveness and Shipping
Adonis_Georgiadis | birthPlace | Athens
Adonis_Georgiadis | birthPlace | Greece
Adonis_Georgiadis | office | Spokesman of Popular Orthodox Rally
Adonis_Georgiadis | birthPlace | Athens
Adonis_Georgiadis | birthPlace | Greece
Adonis_Georgiadis | office | Vice-President of New Democracy
Adonis_Georgiadis | birthPlace | Athens
Adonis_Georgiadis | birthPlace | Greece
Adonis_Georgiadis | office | Member of the Hellenic Parliament
Adonis_Georgiadis | birthPlace | Athens
Adonis_Georgiadis | inOfficeWhilePrimeMinister | Antonis_Samaras
Antonis_Samaras | birthPlace | Athens
Antonis_Samaras | inOfficeWhilePrimeMinister | Konstantinos_Mitsotakis
Adonis_Georgiadis | inOfficeWhilePrimeMinister | Antonis_Samaras
Antonis_Samaras | hasDeputy | Evangelos_Venizelos
Adonis_Georgiadis | successor | Makis_Voridis
Adonis_Georgiadis | inOfficeWhilePrimeMinister | Antonis_Samaras
Antonis_Samaras | inOfficeWhilePrimeMinister | Konstantinos_Mitsotakis
Adonis_Georgiadis | birthPlace | Athens
Adonis_Georgiadis | inOfficeWhilePrimeMinister | Antonis_Samaras
Antonis_Samaras | inOfficeWhilePrimeMinister | Konstantinos_Mitsotakis
Adonis_Georgiadis | birthPlace | Greece
Adonis_Georgiadis | inOfficeWhilePrimeMinister | Antonis_Samaras
Antonis_Samaras | inOfficeWhilePrimeMinister | Konstantinos_Mitsotakis
Adonis_Georgiadis | successor | Makis_Voridis
Adonis_Georgiadis | inOfficeWhilePrimeMinister | Antonis_Samaras
Antonis_Samaras | inOfficeWhilePrimeMinister | Konstantinos_Mitsotakis
Antonis_Samaras | hasDeputy | Evangelos_Venizelos
Adonis_Georgiadis | inOfficeWhilePrimeMinister | Antonis_Samaras
Antonis_Samaras | successor | Konstantinos_Mitsotakis
Antonis_Samaras | hasDeputy | Evangelos_Venizelos
Airey_Neave | battle | Battle_of_France
Airey_Neave | activeYearsEndDate | 1979-03-30
Airey_Neave | award | Distinguished_Service_Order
Airey_Neave | battle | Battle_of_France
Airey_Neave | activeYearsEndDate | 1979-03-30
Airey_Neave | award | Territorial_Decoration
Airey_Neave | battle | Battle_of_France
Airey_Neave | activeYearsStartDate | 1953-06-30
Airey_Neave | activeYearsEndDate | 1979-03-30
Airey_Neave | battle | World_War_II
Airey_Neave | activeYearsEndDate | 1979-03-30
Airey_Neave | award | Territorial_Decoration
Airey_Neave | battle | World_War_II
Airey_Neave | activeYearsStartDate | 1953-06-30
Airey_Neave | activeYearsEndDate | 1979-03-30
Albert_B._White | birthDate | 1856-09-22
Albert_B._White | deathPlace | Parkersburg,_West_Virginia
Albert_B._White | deathDate | 1941-07-03
Albert_B._White | birthPlace | Cleveland
Albert_B._White | deathPlace | Parkersburg,_West_Virginia
Albert_B._White | successor | William_M._O._Dawson
Albert_B._White | birthPlace | Cleveland
Albert_B._White | successor | William_M._O._Dawson
William_M._O._Dawson | birthPlace | Bloomington,_Maryland
Albert_B._White | birthPlace | Cleveland
Albert_B._White | successor | William_M._O._Dawson
William_M._O._Dawson | deathPlace | Charleston,_West_Virginia
Albert_B._White | birthYear | 1856
Albert_B._White | birthDate | 1856-09-22
Albert_B._White | birthPlace | Cleveland
Albert_B._White | birthYear | 1856
Albert_B._White | birthDate | 1856-09-22
Albert_B._White | deathDate | 1941-07-03
Albert_B._White | birthYear | 1856
Albert_B._White | birthDate | 1856-09-22
Albert_B._White | deathPlace | Parkersburg,_West_Virginia
Albert_B._White | birthYear | 1856
Albert_B._White | deathYear | 1941
Albert_B._White | birthDate | 1856-09-22
Albert_B._White | deathPlace | Parkersburg,_West_Virginia
Albert_B._White | successor | William_M._O._Dawson
William_M._O._Dawson | birthPlace | Bloomington,_Maryland
Albert_B._White | deathYear | 1941
Albert_B._White | birthDate | 1856-09-22
Albert_B._White | deathDate | 1941-07-03
Albert_B._White | spouse | Agnes_Ward_White
Agnes_Ward_White | birthPlace | Marietta,_Ohio
Albert_B._White | successor | William_M._O._Dawson
Albert_B._White | spouse | Agnes_Ward_White
Albert_B._White | birthPlace | Cleveland
Albert_B._White | activeYearsEndDate | 1905-03-04
Albert_B._White | spouse | Agnes_Ward_White
Albert_B._White | birthPlace | Cleveland
Albert_B._White | successor | William_M._O._Dawson
Albert_B._White | spouse | Agnes_Ward_White
Albert_B._White | successor | William_M._O._Dawson
William_M._O._Dawson | birthPlace | Bloomington,_Maryland
Albert_B._White | successor | William_M._O._Dawson
Albert_B._White | activeYearsEndDate | 1905-03-04
Albert_B._White | activeYearsStartDate | 1901-03-04
Albert_B._White | successor | William_M._O._Dawson
William_M._O._Dawson | deathPlace | Charleston,_West_Virginia
William_M._O._Dawson | birthPlace | Bloomington,_Maryland
Alberto_Teisaire | deathPlace | Buenos_Aires
Buenos_Aires | governingBody | Buenos_Aires_City_Legislature
Buenos_Aires | leader | Diego_Santilli
Alberto_Teisaire | deathPlace | Buenos_Aires
Buenos_Aires | governingBody | Buenos_Aires_City_Legislature
Buenos_Aires | leader | Gabriela_Michetti
Alberto_Teisaire | deathPlace | Buenos_Aires
Buenos_Aires | governingBody | Buenos_Aires_City_Legislature
Buenos_Aires | leader | Horacio_Rodríguez_Larreta
Alberto_Teisaire | office | Provisional President of the Argentine Senate
Alberto_Teisaire | party | Justicialist_Party
Alberto_Teisaire | inOfficeWhilePresident | Juan_Perón
Alberto_Teisaire | office | Provisional President of the Argentine Senate
Alberto_Teisaire | profession | Rear_admiral
Alberto_Teisaire | birthPlace | Mendoza,_Argentina
Alberto_Teisaire | office | Provisional President of the Argentine Senate
Alberto_Teisaire | successor | Isaac_Rojas
Alberto_Teisaire | birthPlace | Mendoza,_Argentina
Alberto_Teisaire | party | Justicialist_Party
Alberto_Teisaire | birthPlace | Mendoza,_Argentina
Alberto_Teisaire | inOfficeWhilePresident | Juan_Perón
Alberto_Teisaire | party | Justicialist_Party
Alberto_Teisaire | successor | Isaac_Rojas
Alberto_Teisaire | birthPlace | Mendoza,_Argentina
Alberto_Teisaire | profession | Rear_admiral
Alberto_Teisaire | successor | Isaac_Rojas
Alberto_Teisaire | birthPlace | Mendoza,_Argentina
Alfons_Gorbach | deathPlace | Graz
Alfons_Gorbach | birthPlace | Austria-Hungary
Alfons_Gorbach | birthPlace | Imst
Alfons_Gorbach | deathPlace | Graz
Alfons_Gorbach | birthPlace | Austria
Alfons_Gorbach | birthPlace | Austria-Hungary
Alfons_Gorbach | deathPlace | Graz
Alfons_Gorbach | birthPlace | County_of_Tyrol
Alfons_Gorbach | birthPlace | Austria
Alfons_Gorbach | deathPlace | Graz
Alfons_Gorbach | birthPlace | Imst
Alfons_Gorbach | birthPlace | Austria
Alfons_Gorbach | deathPlace | Graz
Alfons_Gorbach | birthPlace | Tyrol_(state)
Alfons_Gorbach | birthPlace | Austria
Alfons_Gorbach | deathPlace | Styria
Alfons_Gorbach | birthPlace | Imst
Alfons_Gorbach | birthPlace | Austria
Alfred_Moore_Scales | office | Governor of North Carolina
Alfred_Moore_Scales | party | Democratic_Party_(United_States)
Alfred_Moore_Scales | successor | James_Madison_Leach
Alfred_Moore_Scales | office | Governor of North Carolina
Alfred_Moore_Scales | party | Democratic_Party_(United_States)
Alfred_Moore_Scales | successor | James_W._Reid_(politician)
Alfred_Moore_Scales | successor | Daniel_Gould_Fowle
Alfred_Moore_Scales | office | Governor of North Carolina
Alfred_Moore_Scales | party | Democratic_Party_(United_States)
Alfred_N._Phillips | militaryBranch | United_States_Army
Alfred_N._Phillips | activeYearsEndDate | 1939-01-03
United_States_Army | battle | American_Civil_War
Alfred_N._Phillips | militaryBranch | United_States_Army
Alfred_N._Phillips | activeYearsEndDate | 1939-01-03
United_States_Army | battle | Korean_War
Alfred_N._Phillips | militaryBranch | United_States_Army
United_States_Army | battle | Invasion_of_Grenada
Alfred_N._Phillips | activeYearsEndDate | 1939-01-03
Alfred_N._Phillips | militaryBranch | United_States_Army
United_States_Army | battle | Spanish–American_War
Alfred_N._Phillips | activeYearsEndDate | 1939-01-03
Alfred_N._Phillips | militaryBranch | United_States_Army
United_States_Army | battle | Whiskey_Rebellion
Alfred_N._Phillips | activeYearsEndDate | 1939-01-03
Alfred_N._Phillips | office | Mayor_of_Stamford,_Connecticut
Alfred_N._Phillips | successor | Albert_E._Austin
Alfred_N._Phillips | birthPlace | Darien,_Connecticut
Alfred_N._Phillips | successor | Albert_E._Austin
Alfred_N._Phillips | birthPlace | Connecticut
Alfred_N._Phillips | office | Member of the U.S. House of Representatives from Connecticut's 4th district
Alfred_N._Phillips | successor | Albert_E._Austin
Alfred_N._Phillips | birthPlace | Connecticut
Alfred_N._Phillips | office | United_States_House_of_Representatives
Alfred_N._Phillips | successor | Albert_E._Austin
Alfred_N._Phillips | birthPlace | Darien,_Connecticut
Alfred_N._Phillips | office | Member of the U.S. House of Representatives from Connecticut's 4th district
Alvah_Sabin | activeYearsEndDate | 1857-03-03
Alvah_Sabin | region | Vermont
Vermont | largestCity | Burlington,_Vermont
Alvah_Sabin | office | Secretary_of_State_of_Vermont
Alvah_Sabin | region | Vermont's_3rd_congressional_district
Alvah_Sabin | birthPlace | Georgia,_Vermont
Alvah_Sabin | office | Secretary_of_State_of_Vermont
Alvah_Sabin | religion | Baptists
Alvah_Sabin | birthPlace | Georgia,_Vermont
Alvah_Sabin | office | Secretary_of_State_of_Vermont
Alvah_Sabin | successor | Homer_Elihu_Royce
Alvah_Sabin | birthPlace | Georgia,_Vermont
Alvah_Sabin | party | Whig_Party_(United_States)
Alvah_Sabin | activeYearsEndDate | 1857-03-03
Whig_Party_(United_States) | leader | Henry_Clay
Alvah_Sabin | party | Whig_Party_(United_States)
Alvah_Sabin | birthDate | 1793-10-23
Whig_Party_(United_States) | leader | Henry_Clay
Alvah_Sabin | party | Whig_Party_(United_States)
Whig_Party_(United_States) | leader | Daniel_Webster
Alvah_Sabin | birthDate | 1793-10-23
Alvah_Sabin | region | Vermont's_3rd_congressional_district
Vermont | largestCity | Burlington,_Vermont
Alvah_Sabin | state | Vermont
Alvah_Sabin | region | Vermont
Alvah_Sabin | office | Secretary_of_State_of_Vermont
Alvah_Sabin | birthPlace | Georgia,_Vermont
Alvah_Sabin | region | Vermont
Vermont | largestCity | Burlington,_Vermont
Alvah_Sabin | deathPlace | Sycamore,_Illinois
Austria | leader | Doris_Bures
Alfons_Gorbach | birthPlace | County_of_Tyrol
Alfons_Gorbach | deathPlace | Austria
Austria | leader | Doris_Bures
Alfons_Gorbach | birthPlace | Tyrol_(state)
Alfons_Gorbach | deathPlace | Austria
Austria | leader | Doris_Bures
Alfons_Gorbach | deathPlace | Graz
Alfons_Gorbach | deathPlace | Austria
Austria | leader | Doris_Bures
Alfons_Gorbach | deathPlace | Styria
Alfons_Gorbach | birthPlace | Austria
Austria | leader | Doris_Bures
Alfons_Gorbach | deathPlace | Styria
Alfons_Gorbach | deathPlace | Austria
Juan_Perón | inOfficeWhileGovernor | Hortensio_Quijano
Alberto_Teisaire | party | Justicialist_Party
Alberto_Teisaire | inOfficeWhilePresident | Juan_Perón
Juan_Perón | inOfficeWhileGovernor | Hortensio_Quijano
Juan_Perón | party | Labour_Party_(Argentina)
Alberto_Teisaire | inOfficeWhilePresident | Juan_Perón
Juan_Perón | inOfficeWhileVicePresident | Hortensio_Quijano
Alberto_Teisaire | party | Justicialist_Party
Alberto_Teisaire | inOfficeWhilePresident | Juan_Perón
Juan_Perón | inOfficeWhileVicePresident | Hortensio_Quijano
Juan_Perón | party | Labour_Party_(Argentina)
Alberto_Teisaire | inOfficeWhilePresident | Juan_Perón
Juan_Perón | party | Labour_Party_(Argentina)
Alberto_Teisaire | birthPlace | Mendoza,_Argentina
Alberto_Teisaire | inOfficeWhilePresident | Juan_Perón
Juan_Perón | party | Labour_Party_(Argentina)
Alberto_Teisaire | office | Provisional President of the Argentine Senate
Alberto_Teisaire | inOfficeWhilePresident | Juan_Perón
Juan_Perón | party | Labour_Party_(Argentina)
Alberto_Teisaire | successor | Isaac_Rojas
Alberto_Teisaire | inOfficeWhilePresident | Juan_Perón
Juan_Perón | spouse | Eva_Perón
Alberto_Teisaire | party | Justicialist_Party
Alberto_Teisaire | inOfficeWhilePresident | Juan_Perón
Juan_Perón | spouse | Eva_Perón
Juan_Perón | party | Labour_Party_(Argentina)
Alberto_Teisaire | inOfficeWhilePresident | Juan_Perón
Parkersburg,_West_Virginia | country | United_States
Albert_B._White | deathPlace | Parkersburg,_West_Virginia
Albert_B._White | successor | William_M._O._Dawson
Poland | ethnicGroup | Romani_people
Poland | language | Polish_language
Adam_Koc | nationality | Poland
Spain | leader | Felipe_VI_of_Spain
Abel_Caballero | nationality | Spain
Spain | language | Spanish_language
Abdul_Taib_Mahmud | residence | Demak Jaya, Jalan Bako, Kuching, Sarawak
Abdul_Taib_Mahmud | party | Parti_Pesaka_Bumiputera_Bersatu
Abdul_Taib_Mahmud | residence | Sarawak
Abdul_Taib_Mahmud | party | Parti_Pesaka_Bumiputera_Bersatu
Abdul_Taib_Mahmud | residence | Sarawak
Abdul_Taib_Mahmud | birthPlace | Kingdom_of_Sarawak
Abdul_Taib_Mahmud | party | Barisan Ra'ayat Jati Sarawak
Abdul_Taib_Mahmud | residence | Sarawak
Abdul_Taib_Mahmud | birthPlace | Miri,_Malaysia
Abdul_Taib_Mahmud | party | Barisan Ra'ayat Jati Sarawak
Abdulsalami_Abubakar | inOfficeWhileVicePresident | Mike_Akhigbe
Mike_Akhigbe | predecessor | Oladipo_Diya
Mike_Akhigbe | successor | Atiku_Abubakar
Abdulsalami_Abubakar | successor | Olusegun_Obasanjo
Abdulsalami_Abubakar | inOfficeWhileVicePresident | Mike_Akhigbe
Mike_Akhigbe | predecessor | Oladipo_Diya
Abdulsalami_Abubakar | successor | Olusegun_Obasanjo
Abdulsalami_Abubakar | militaryBranch | Nigerian_Air_Force
Olusegun_Obasanjo | inOfficeWhileVicePresident | Atiku_Abubakar
