(15788)_1993_SB | discoverer | Donal_O'Ceallaigh
101_Helena | escapeVelocity | 0.0348 (kilometrePerSeconds)
101_Helena | apoapsis | 441092000.0 (kilometres)
101_Helena | discoverer | James_Craig_Watson
101_Helena | epoch | 2006-12-31
James_Craig_Watson | deathPlace | Madison,_Wisconsin
101_Helena | discoverer | James_Craig_Watson
James_Craig_Watson | almaMater | University_of_Michigan
James_Craig_Watson | deathCause | Peritonitis
101_Helena | discoverer | James_Craig_Watson
James_Craig_Watson | almaMater | University_of_Michigan
James_Craig_Watson | deathPlace | Madison,_Wisconsin
101_Helena | discoverer | James_Craig_Watson
James_Craig_Watson | almaMater | University_of_Michigan
James_Craig_Watson | nationality | Canada
101_Helena | discoverer | James_Craig_Watson
James_Craig_Watson | almaMater | University_of_Michigan
James_Craig_Watson | stateOfOrigin | Canada
101_Helena | discoverer | James_Craig_Watson
James_Craig_Watson | deathPlace | Madison,_Wisconsin
101_Helena | apoapsis | 441092000.0 (kilometres)
101_Helena | discoverer | James_Craig_Watson
James_Craig_Watson | deathPlace | Madison,_Wisconsin
James_Craig_Watson | deathCause | Peritonitis
101_Helena | discoverer | James_Craig_Watson
James_Craig_Watson | nationality | Canada
James_Craig_Watson | deathCause | Peritonitis
101_Helena | discoverer | James_Craig_Watson
James_Craig_Watson | nationality | Canada
James_Craig_Watson | deathPlace | Madison,_Wisconsin
101_Helena | discoverer | James_Craig_Watson
James_Craig_Watson | stateOfOrigin | Canada
James_Craig_Watson | deathCause | Peritonitis
101_Helena | epoch | 2006-12-31
101_Helena | orbitalPeriod | 1516.6700000000003 (days)
101_Helena | apoapsis | 441092000.0 (kilometres)
101_Helena | epoch | 2006-12-31
101_Helena | periapsis | 331683000.0 (kilometres)
101_Helena | apoapsis | 441092000.0 (kilometres)
103_Hera | discoverer | James_Craig_Watson
James_Craig_Watson | almaMater | University_of_Michigan
James_Craig_Watson | deathCause | Peritonitis
103_Hera | discoverer | James_Craig_Watson
James_Craig_Watson | almaMater | University_of_Michigan
James_Craig_Watson | deathPlace | Madison,_Wisconsin
103_Hera | discoverer | James_Craig_Watson
James_Craig_Watson | almaMater | University_of_Michigan
James_Craig_Watson | nationality | Canada
103_Hera | discoverer | James_Craig_Watson
James_Craig_Watson | almaMater | University_of_Michigan
James_Craig_Watson | stateOfOrigin | Canada
103_Hera | discoverer | James_Craig_Watson
James_Craig_Watson | deathPlace | Madison,_Wisconsin
103_Hera | apoapsis | 437170000.0 (kilometres)
103_Hera | discoverer | James_Craig_Watson
James_Craig_Watson | nationality | Canada
James_Craig_Watson | deathCause | Peritonitis
103_Hera | discoverer | James_Craig_Watson
James_Craig_Watson | nationality | Canada
James_Craig_Watson | deathPlace | Madison,_Wisconsin
103_Hera | discoverer | James_Craig_Watson
James_Craig_Watson | stateOfOrigin | Canada
James_Craig_Watson | deathCause | Peritonitis
103_Hera | discoverer | James_Craig_Watson
James_Craig_Watson | stateOfOrigin | Canada
James_Craig_Watson | deathPlace | Madison,_Wisconsin
103_Hera | epoch | 2011-08-27
103_Hera | periapsis | 371240000.0 (kilometres)
103_Hera | apoapsis | 437170000.0 (kilometres)
107_Camilla | discoverer | A._Storrs
107_Camilla | periapsis | 479343000.0 (kilometres)
107_Camilla | epoch | 2006-12-31
107_Camilla | discoverer | B._Zellner
107_Camilla | epoch | 2006-12-31
107_Camilla | periapsis | 479343000.0 (kilometres)
107_Camilla | discoverer | C._Woods
107_Camilla | periapsis | 479343000.0 (kilometres)
107_Camilla | epoch | 2006-12-31
107_Camilla | discoverer | N._R._Pogson
107_Camilla | epoch | 2006-12-31
107_Camilla | periapsis | 479343000.0 (kilometres)
107_Camilla | discoverer | N._R._Pogson
107_Camilla | orbitalPeriod | 2368.05 (days)
N._R._Pogson | birthPlace | Nottingham
107_Camilla | discoverer | N._R._Pogson
107_Camilla | periapsis | 479343000.0 (kilometres)
N._R._Pogson | birthPlace | Nottingham
107_Camilla | discoverer | N._R._Pogson
N._R._Pogson | birthPlace | Nottingham
107_Camilla | discovered | 1868-11-17
107_Camilla | discoverer | N._R._Pogson
N._R._Pogson | birthPlace | Nottingham
107_Camilla | discovered | 2001-03-01
107_Camilla | discoverer | N._R._Pogson
N._R._Pogson | deathPlace | Chennai
N._R._Pogson | birthPlace | Nottingham
107_Camilla | discoverer | N._R._Pogson
N._R._Pogson | deathPlace | Chennai
N._R._Pogson | nationality | England
107_Camilla | periapsis | 479343000.0 (kilometres)
107_Camilla | epoch | 2006-12-31
107_Camilla | discoverer | M._Gaffey
1097_Vicia | epoch | 2006-12-31
1097_Vicia | formerName | 1928 PC
1097_Vicia | orbitalPeriod | 135589000.0
1097_Vicia | epoch | 2006-12-31
1097_Vicia | mass | 9.8 (kilograms)
1097_Vicia | orbitalPeriod | 135589000.0
1097_Vicia | epoch | 2006-12-31
1097_Vicia | orbitalPeriod | 135589000.0
1097_Vicia | apoapsis | 511592000.0 (kilometres)
1097_Vicia | epoch | 2006-12-31
1097_Vicia | orbitalPeriod | 135589000.0
1097_Vicia | periapsis | 279142000000.0
1097_Vicia | escapeVelocity | 0.0112 (kilometrePerSeconds)
1097_Vicia | mass | 9.8 (kilograms)
1097_Vicia | apoapsis | 511592000.0 (kilometres)
1099_Figneria | epoch | 2006-12-31
1099_Figneria | formerName | 1928 RQ
1099_Figneria | orbitalPeriod | 179942000.0
1099_Figneria | epoch | 2006-12-31
1099_Figneria | mass | 2.7 (kilograms)
1099_Figneria | orbitalPeriod | 179942000.0
1099_Figneria | epoch | 2006-12-31
1099_Figneria | orbitalPeriod | 179942000.0
1099_Figneria | apoapsis | 605718000.0 (kilometres)
1099_Figneria | epoch | 2006-12-31
1099_Figneria | orbitalPeriod | 179942000.0
1099_Figneria | periapsis | 349206000000.0
1099_Figneria | epoch | 2006-12-31
1099_Figneria | periapsis | 349206000000.0
1099_Figneria | apoapsis | 605718000.0 (kilometres)
1099_Figneria | escapeVelocity | 0.0155 (kilometrePerSeconds)
1099_Figneria | mass | 2.7 (kilograms)
1099_Figneria | apoapsis | 605718000.0 (kilometres)
1099_Figneria | formerName | 1928 RQ
1099_Figneria | periapsis | 349206000000.0
1099_Figneria | epoch | 2006-12-31
109_Felicitas | epoch | 2006-12-31
109_Felicitas | mass | 7.5 (kilograms)
109_Felicitas | periapsis | 283326000000.0
109_Felicitas | epoch | 2006-12-31
109_Felicitas | orbitalPeriod | 139705000.0
109_Felicitas | periapsis | 283326000000.0
109_Felicitas | epoch | 2006-12-31
109_Felicitas | periapsis | 283326000000.0
109_Felicitas | apoapsis | 523329000.0 (kilometres)
109_Felicitas | escapeVelocity | 0.0473 (kilometrePerSeconds)
109_Felicitas | mass | 7.5 (kilograms)
109_Felicitas | apoapsis | 523329000.0 (kilometres)
109_Felicitas | escapeVelocity | 0.0473 (kilometrePerSeconds)
109_Felicitas | temperature | 170.0 (kelvins)
109_Felicitas | apoapsis | 523329000.0 (kilometres)
10_Hygiea | epoch | 2015-06-27
10_Hygiea | formerName | A900 GA
10_Hygiea | orbitalPeriod | 5.57 (days)
10_Hygiea | epoch | 2015-06-27
10_Hygiea | formerName | A900 GA
10_Hygiea | periapsis | 416136000000.0
10_Hygiea | epoch | 2015-06-27
10_Hygiea | orbitalPeriod | 5.57 (days)
10_Hygiea | escapeVelocity | 0.21 (kilometrePerSeconds)
10_Hygiea | epoch | 2015-06-27
10_Hygiea | surfaceArea | 837080.744 (squareKilometres)
10_Hygiea | apoapsis | 523951582.33968 (kilometres)
10_Hygiea | orbitalPeriod | 5.57 (days)
10_Hygiea | periapsis | 416136000000.0
10_Hygiea | epoch | 2015-06-27
10_Hygiea | surfaceArea | 837080.744 (squareKilometres)
10_Hygiea | escapeVelocity | 0.21 (kilometrePerSeconds)
10_Hygiea | apoapsis | 523951582.33968 (kilometres)
1101_Clematis | epoch | 2006-12-31
1101_Clematis | mass | 5.7 (kilograms)
1101_Clematis | orbitalPeriod | 183309000.0
1101_Clematis | epoch | 2006-12-31
1101_Clematis | orbitalPeriod | 183309000.0
1101_Clematis | periapsis | 445895000000.0
1101_Clematis | epoch | 2006-12-31
1101_Clematis | periapsis | 445895000000.0
1101_Clematis | apoapsis | 520906000.0 (kilometres)
1101_Clematis | escapeVelocity | 0.02 (kilometrePerSeconds)
1101_Clematis | mass | 5.7 (kilograms)
1101_Clematis | apoapsis | 520906000.0 (kilometres)
1101_Clematis | escapeVelocity | 0.02 (kilometrePerSeconds)
1101_Clematis | temperature | 155.0 (kelvins)
1101_Clematis | apoapsis | 520906000.0 (kilometres)
1101_Clematis | formerName | 1928 SJ
1101_Clematis | orbitalPeriod | 183309000.0
1101_Clematis | epoch | 2006-12-31
1101_Clematis | formerName | 1928 SJ
1101_Clematis | periapsis | 445895000000.0
1101_Clematis | epoch | 2006-12-31
11264_Claudiomaccone | averageSpeed | 18.29 (kilometrePerSeconds)
11264_Claudiomaccone | discoverer | Nikolai_Chernykh
11264_Claudiomaccone | apoapsis | 475426000.0 (kilometres)
11264_Claudiomaccone | averageSpeed | 18.29 (kilometrePerSeconds)
11264_Claudiomaccone | orbitalPeriod | 1513.722 (days)
11264_Claudiomaccone | apoapsis | 475426000.0 (kilometres)
11264_Claudiomaccone | discoverer | Nikolai_Chernykh
11264_Claudiomaccone | epoch | 2005-11-26
11264_Claudiomaccone | periapsis | 296521000.0 (kilometres)
11264_Claudiomaccone | epoch | 2005-11-26
11264_Claudiomaccone | orbitalPeriod | 1513.722 (days)
11264_Claudiomaccone | apoapsis | 475426000.0 (kilometres)
11264_Claudiomaccone | epoch | 2005-11-26
11264_Claudiomaccone | periapsis | 296521000.0 (kilometres)
11264_Claudiomaccone | apoapsis | 475426000.0 (kilometres)
11264_Claudiomaccone | epoch | 2005-11-26
11264_Claudiomaccone | rotationPeriod | 11473.9
11264_Claudiomaccone | apoapsis | 475426000.0 (kilometres)
11264_Claudiomaccone | epoch | 2005-11-26
11264_Claudiomaccone | temperature | 173.0 (kelvins)
11264_Claudiomaccone | apoapsis | 475426000.0 (kilometres)
11264_Claudiomaccone | orbitalPeriod | 1513.722 (days)
11264_Claudiomaccone | periapsis | 296521000.0 (kilometres)
11264_Claudiomaccone | epoch | 2005-11-26
1147_Stavropolis | periapsis | 260855000000.0
1147_Stavropolis | epoch | 31 July 2016 (JD2457600.5)
1147_Stavropolis | apoapsis | 418476000000.0
1147_Stavropolis | orbitalPeriod | 1249.6
1147_Stavropolis | discoverer | Grigory_Neujmin
1147_Stavropolis | discovered | 1929-06-11
1147_Stavropolis | apoapsis | 418476000000.0
1147_Stavropolis | orbitalPeriod | 1249.6
1147_Stavropolis | discovered | 1929-06-11
1147_Stavropolis | discoverer | Grigory_Neujmin
1147_Stavropolis | apoapsis | 418476000000.0
1147_Stavropolis | rotationPeriod | 20378.5
1147_Stavropolis | periapsis | 260855000000.0
1147_Stavropolis | epoch | 31 July 2016 (JD2457600.5)
1147_Stavropolis | orbitalPeriod | 1249.6
1147_Stavropolis | discoverer | Grigory_Neujmin
1147_Stavropolis | apoapsis | 418476000000.0
1147_Stavropolis | absoluteMagnitude | 11.5
1147_Stavropolis | discovered | 1929-06-11
1147_Stavropolis | orbitalPeriod | 1249.6
1147_Stavropolis | apoapsis | 418476000000.0
1147_Stavropolis | discovered | 1929-06-11
1147_Stavropolis | rotationPeriod | 20378.5
1147_Stavropolis | periapsis | 260855000000.0
1147_Stavropolis | discovered | 1929-06-11
1147_Stavropolis | periapsis | 260855000000.0
1147_Stavropolis | apoapsis | 418476000000.0
1147_Stavropolis | orbitalPeriod | 1249.6
1147_Stavropolis | absoluteMagnitude | 11.5
1147_Stavropolis | apoapsis | 418476000000.0
1147_Stavropolis | epoch | 31 July 2016 (JD2457600.5)
1147_Stavropolis | periapsis | 260855000000.0
1147_Stavropolis | orbitalPeriod | 1249.6
1147_Stavropolis | apoapsis | 418476000000.0
1147_Stavropolis | orbitalPeriod | 1249.6
1147_Stavropolis | discoverer | Grigory_Neujmin
1147_Stavropolis | rotationPeriod | 20378.5
1147_Stavropolis | apoapsis | 418476000000.0
1147_Stavropolis | orbitalPeriod | 1249.6
1147_Stavropolis | discoverer | Grigory_Neujmin
1147_Stavropolis | absoluteMagnitude | 11.5
1147_Stavropolis | rotationPeriod | 20378.5
1147_Stavropolis | apoapsis | 418476000000.0
1147_Stavropolis | discoverer | Grigory_Neujmin
1147_Stavropolis | absoluteMagnitude | 11.5
1147_Stavropolis | apoapsis | 418476000000.0
1147_Stavropolis | absoluteMagnitude | 11.5
1147_Stavropolis | discovered | 1929-06-11
1147_Stavropolis | periapsis | 260855000000.0
(410777)_2009_FD | orbitalPeriod | 39447000.0
(410777)_2009_FD | periapsis | 88234300000.0
(410777)_2009_FD | discoverer | Spacewatch
(66063)_1998_RO1 | minimumTemperature | -71.0 (degreeCelsius)
(66063)_1998_RO1 | maximumTemperature | 500.0 (kelvins)
(66063)_1998_RO1 | apoapsis | 254989570.60815 (kilometres)
1001_Gaussia | epoch | 2015-06-27
1001_Gaussia | formerName | 1923 OAA907 XC
1001_Gaussia | periapsis | 419113394.55312 (kilometres)
101_Helena | discoverer | James_Craig_Watson
James_Craig_Watson | stateOfOrigin | Canada
James_Craig_Watson | deathPlace | Madison,_Wisconsin
103_Hera | escapeVelocity | 0.0482 (kilometrePerSeconds)
103_Hera | temperature | 170.0 (kelvins)
103_Hera | apoapsis | 437170000.0 (kilometres)
103_Hera | mass | 7.9 (kilograms)
103_Hera | escapeVelocity | 0.0482 (kilometrePerSeconds)
103_Hera | apoapsis | 437170000.0 (kilometres)
107_Camilla | discoverer | E._Wells
107_Camilla | periapsis | 479343000.0 (kilometres)
107_Camilla | epoch | 2006-12-31
107_Camilla | discoverer | N._R._Pogson
N._R._Pogson | birthPlace | Nottingham
107_Camilla | epoch | 2006-12-31
1097_Vicia | epoch | 2006-12-31
1097_Vicia | periapsis | 279142000000.0
1097_Vicia | apoapsis | 511592000.0 (kilometres)
1097_Vicia | escapeVelocity | 0.0112 (kilometrePerSeconds)
1097_Vicia | temperature | 171.0 (kelvins)
1097_Vicia | apoapsis | 511592000.0 (kilometres)
1099_Figneria | escapeVelocity | 0.0155 (kilometrePerSeconds)
1099_Figneria | temperature | 156.0 (kelvins)
1099_Figneria | apoapsis | 605718000.0 (kilometres)
10_Hygiea | surfaceArea | 837080.744 (squareKilometres)
10_Hygiea | apoapsis | 523951582.33968 (kilometres)
10_Hygiea | temperature | 164.0 (kelvins)
1101_Clematis | epoch | 2006-12-31
1101_Clematis | orbitalPeriod | 183309000.0
1101_Clematis | apoapsis | 520906000.0 (kilometres)
