s,p,o
Dinaric Alps,ISPARTOF,Croatia
Dinara Peak,ISPARTOF,Croatia
Vukovar,ISPARTOF,Danube
Plitvice Lakes,ISPARTOF,Croatia
Čakovec,ISPARTOF,Croatia
Ploče,ISPARTOF,Croatia
Hvar,ISPARTOF,Croatia
Korčula,ISPARTOF,Croatia
Zrmanja,ISPARTOF,Croatia
Krka,ISPARTOF,Croatia
Velebit,ISPARTOF,Croatia
Biokovo,ISPARTOF,Croatia
Dinaric Mountains Mixed Forests,ISPARTOF,Croatia
Pannonian Mixed Forests,ISPARTOF,Croatia
Illyrian Deciduous Forests,ISPARTOF,Croatia
Plitvice Lakes National Park,ISPARTOF,Croatia
Banski Dvori,ISPARTOF,Croatia
Zagreb,ISPARTOF,Banski Dvori
Croatian Democratic Union,ISRELATEDTO,Croatia
Social Democratic Party Of Croatia,ISRELATEDTO,Croatia
European Union,ISRELATEDTO,Croatia
Nato,ISRELATEDTO,Croatia
Security And Intelligence Agency,ISRELATEDTO,Croatia
Croatia,ISRELATEDTO,Caf
Croatia,ISRELATEDTO,Hs2000
Croatia,ISRELATEDTO,Đuro Đaković
Croatia,ISPARTOF,Zagreb
Croatia,ISRELATEDTO,European Union
Pelješac Bridge,OCCURSAT,Croatia
Global Peace Index,ISRELATEDTO,Croatia
Corruption Perceptions Index,ISRELATEDTO,Croatia
International Monetary Fund,ISRELATEDTO,Croatia
Eurostat,ISRELATEDTO,Croatia
Croatian Railways,ISRELATEDTO,Croatia
Pelješac Bridge,WASPRESENTAT,China Road And Bridge Corporation
Franjo Tuđman Airport,ISPARTOF,Zagreb
Croatia Airlines,ISPARTOF,Zagreb
Croatia Airlines,ISRELATEDTO,Tirana
Croatia Airlines,ISRELATEDTO,Berlin
Croatia Airlines,ISRELATEDTO,Stockholm
Croatia Airlines,ISRELATEDTO,Hamburg
Port Of Rijeka,ISPARTOF,Rijeka
Vukovar,ISCONTAINEDIN,Danube
Vukovar,ISPARTOF,Croatia
Croatia,ISPARTOF,European Union
Krško Nuclear Power Plant,ISRELATEDTO,Croatia
Hrvatska Elektroprivreda,ISRELATEDTO,Croatia
Music_And_Art_Schools,ISRELATEDTO,Elementary_Schools_For_Disabled_Children
Elementary_Schools_For_Disabled_Children,ISRELATEDTO,Secondary_Schools_For_Disabled_Children
Elementary_Schools_For_Adults,ISRELATEDTO,Secondary_Schools_For_Adults
Leaving_Exams,ISPARTOF,University_Of_Zadar
Leaving_Exams,ISPARTOF,University_Of_Zagreb
University_Of_Zadar,ISRELATEDTO,University_Of_Zagreb
Polytechnics,ISPARTOF,Higher_Education_Institutions
Research_And_Development_Expenditure,ISRELATEDTO,Ruđer_Bošković_Institute
Research_And_Development_Expenditure,ISRELATEDTO,Croatian_Academy_Of_Sciences_And_Arts
Global_Innovation_Index_2024,ISRELATEDTO,Croatian_Academy_Of_Sciences_And_Arts
European_Investment_Bank,ISPARTOF,City_Of_Zagreb
European_Investment_Bank,ISPARTOF,City_Of_Split
Health_Care_System,ISRELATEDTO,Healthcare_Expenditures
Healthcare_Expenditures,ISRELATEDTO,Life_Expectancy_2025
Healthcare_Institutions,ISPARTOF,Health_Care_System
Healthcare_Institutions,ISRELATEDTO,Cardiovascular_Disease
Healthcare_Institutions,ISRELATEDTO,Smoking_Statistics_2022
Healthcare_Institutions,ISRELATEDTO,Obesity_Statistics_2022
Cultural_Influences_In_Croatia,ISPARTOF,Ministry_Of_Culture
Unesco_World_Heritage_List,ISPARTOF,Ministry_Of_Culture
Professional_Theatres,ISPARTOF,Professional_Artists
Professional_Theatres,ISRELATEDTO,Orchestras_And_Ensembles
Cinemas,ISRELATEDTO,Professional_Theatres
Museums,ISPARTOF,Libraries
Publishing_Market,ISRELATEDTO,Museums
Croatian_Architecture,ISRELATEDTO,Cultural_Influences_In_Croatia
Middle_Ages_Artists,ISRELATEDTO,Croatian_Architecture
Croatian_Literature,ISRELATEDTO,Croatian_Music
Press_Freedom,ISRELATEDTO,European_Investment_Bank
Hrt,ISPARTOF,Croatia
Rtl Televizija,ISPARTOF,Croatia
Nova Tv,ISPARTOF,Croatia
Croatian Olympic Committee,ISPARTOF,Croatia
Kapital Net D.O.O.,ISPARTOF,Croatia
Author D.O.O.,ISPARTOF,Croatia
Hanza Media,ISPARTOF,Croatia
Styria Media Group,ISPARTOF,Croatia
Riva,ISPARTOF,Croatia
Dušan Vukotić,ISPARTOF,Croatia
Branko Lustig,ISPARTOF,Croatia
Nebojša Slijepčević,ISPARTOF,Croatia
Pula Film Festival,ISPARTOF,Croatia
Animafest Zagreb,ISPARTOF,Croatia
Game Of Thrones,ISPARTOF,Croatia
Star Wars: The Last Jedi,ISPARTOF,Croatia
Robin Hood,ISPARTOF,Croatia
Mamma Mia! Here We Go Again,ISPARTOF,Croatia
Croatian Cuisine,ISPARTOF,Croatia
Croatian Wine Regions,ISPARTOF,Croatia
Franjo Bučar,ISPARTOF,Croatia
Football,ISPARTOF,Croatia
Basketball,ISPARTOF,Croatia
Handball,ISPARTOF,Croatia
Water Polo,ISPARTOF,Croatia
Rowing,ISPARTOF,Croatia
Tennis,ISPARTOF,Croatia
