s,p,o
Croatia,ISRELATEDTO,Eurozone
Croatia,ISRELATEDTO,Erm Ii
Croatia,ISRELATEDTO,Croatian Diaspora
Croatian Armed Forces (Caf),ISPARTOF,Air Force
Croatian Armed Forces (Caf),ISPARTOF,Army
Croatian Armed Forces (Caf),ISPARTOF,Navy
Croatian Armed Forces (Caf),ISRELATEDTO,General Staff
General Staff,ISRELATEDTO,Defence Minister
Defence Minister,ISRELATEDTO,President Of The Republic
President Of The Republic,ISRELATEDTO,Prime Minister
Croatia,ISRELATEDTO,Military-Industrial Sector Of Croatia
Military-Industrial Sector Of Croatia,ISRELATEDTO,Military Equipment Exports 2020
Hs Produkt,ISRELATEDTO,Hs2000
Đuro Đaković Factory,ISRELATEDTO,M-84D Battle Tank
Caf,ISRELATEDTO,Hs2000
Caf,ISRELATEDTO,M-84D Battle Tank
Caf,ISRELATEDTO,Uniforms And Helmets For Caf
2024 Global Peace Index,ISRELATEDTO,Croatia
Croatia,ISRELATEDTO,"Kingdom Of Serbs, Croats And Slovenes"
Croatia,ISRELATEDTO,Kingdom Of Yugoslavia
Croatia,ISRELATEDTO,Municipality Subdivisions
Croatia,ISRELATEDTO,1992 County Legislation
20 Counties Of Croatia,ISCONTAINEDIN,Croatia
City Of Zagreb,ISCONTAINEDIN,Croatia
127 Cities Of Croatia,ISCONTAINEDIN,Croatia
429 Municipalities Of Croatia,ISCONTAINEDIN,Croatia
Nuts 1 Croatia,ISRELATEDTO,Croatia
Northwest Croatia,ISPARTOF,Nuts 1 Croatia
Central And Eastern (Pannonian) Croatia,ISPARTOF,Nuts 1 Croatia
Adriatic Croatia,ISPARTOF,Nuts 1 Croatia
Northwest Croatia,ISCONTAINEDIN,Koprivnica-Križevci
Northwest Croatia,ISCONTAINEDIN,Krapina-Zagorje
Northwest Croatia,ISCONTAINEDIN,Međimurje
Northwest Croatia,ISCONTAINEDIN,Varaždin
Northwest Croatia,ISCONTAINEDIN,City Of Zagreb
Northwest Croatia,ISCONTAINEDIN,Zagreb County
Central And Eastern (Pannonian) Croatia,ISCONTAINEDIN,Bjelovar-Bilogora
Central And Eastern (Pannonian) Croatia,ISCONTAINEDIN,Brod-Posavina
Central And Eastern (Pannonian) Croatia,ISCONTAINEDIN,Karlovac
Central And Eastern (Pannonian) Croatia,ISCONTAINEDIN,Osijek-Baranja
Central And Eastern (Pannonian) Croatia,ISCONTAINEDIN,Požega-Slavonia
Central And Eastern (Pannonian) Croatia,ISCONTAINEDIN,Sisak-Moslavina
Central And Eastern (Pannonian) Croatia,ISCONTAINEDIN,Virovitica-Podravina
Central And Eastern (Pannonian) Croatia,ISCONTAINEDIN,Vukovar-Syrmia
Croatia,ISRELATEDTO,International Monetary Fund
Croatia,ISRELATEDTO,Eurostat
Service Sector Of Croatia,ISRELATEDTO,Croatia
Industrial Sector Of Croatia,ISRELATEDTO,Croatia
Agriculture Sector Of Croatia,ISRELATEDTO,Croatia
Shipbuilding Industry Croatia,ISPARTOF,Industrial Sector Of Croatia
Food Processing Industry Croatia,ISPARTOF,Industrial Sector Of Croatia
Pharmaceutical Industry Croatia,ISPARTOF,Industrial Sector Of Croatia
It Industry Croatia,ISPARTOF,Industrial Sector Of Croatia
Biochemical Industry Croatia,ISPARTOF,Industrial Sector Of Croatia
Timber Industry Croatia,ISPARTOF,Industrial Sector Of Croatia
Exports 2018,ISRELATEDTO,Croatia
Imports 2018,ISRELATEDTO,Croatia
European Union,ISRELATEDTO,Croatia
Croatia,ISRELATEDTO,Germany
Croatia,ISRELATEDTO,Italy
Croatia,ISRELATEDTO,Slovenia
Transparency International,ISRELATEDTO,2022 Corruption Perceptions Index
2022 Corruption Perceptions Index,ISRELATEDTO,Croatia
Tourism Industry Croatia,ISRELATEDTO,Croatia
Tourism Income 2019,ISRELATEDTO,Tourism Industry Croatia
Opatija,ISCONTAINEDIN,Adriatic Coast Of Croatia
Marinas Of Croatia,ISRELATEDTO,Adriatic Coast Of Croatia
Zagreb Tourism,ISRELATEDTO,Zagreb
Agrotourism Croatia,ISRELATEDTO,Croatia
Mountain Resorts Croatia,ISRELATEDTO,Croatia
Spas Croatia,ISRELATEDTO,Croatia
Blue Flag Beaches Croatia,ISRELATEDTO,Croatia
European Environmental Agency,ISRELATEDTO,Blue Flag Beaches Croatia
World Tourism Organization,ISRELATEDTO,2019 Tourist Destination Ranking
2019 Tourist Destination Ranking,ISRELATEDTO,Croatia
Naturism In Croatia,ISRELATEDTO,Croatia
Bounce,ISRELATEDTO,2023 Solo Travel Index
2023 Solo Travel Index,ISRELATEDTO,Croatia
Pinterest,ISRELATEDTO,2023 Wedding Trends Report
Zola,ISRELATEDTO,2023 Wedding Trends Report
2023 Wedding Trends Report,ISRELATEDTO,Croatia
Motorway Network Croatia,ISRELATEDTO,Croatia
A1 Motorway,ISRELATEDTO,Zagreb
A1 Motorway,ISRELATEDTO,Split
A3 Motorway,ISRELATEDTO,Slavonia
Eurotap,ISRELATEDTO,Motorway Network Croatia
Eurotest,ISRELATEDTO,Motorway Network Croatia
Rail Network Croatia,ISRELATEDTO,Croatia
Pan-European Transport Corridor Vb,ISRELATEDTO,Rail Network Croatia
Pan-European Transport Corridor X,ISRELATEDTO,Rail Network Croatia
Rijeka,ISRELATEDTO,Budapest
Ljubljana,ISRELATEDTO,Belgrade
Croatian Railways,ISRELATEDTO,Rail Network Croatia
European Investment Bank,ISRELATEDTO,2024 Railway Revitalization Commitment
2024 Railway Revitalization Commitment,ISRELATEDTO,Rail Network Croatia
Electro-Diesel Multiple Units Acquisition July 2024,ISRELATEDTO,European Investment Bank
Electro-Diesel Multiple Units Acquisition July 2024,ISRELATEDTO,Split
Electro-Diesel Multiple Units Acquisition July 2024,ISRELATEDTO,Zagreb
Pelješac Bridge,ISRELATEDTO,Dubrovnik-Neretva County
Pelješac Bridge,ISRELATEDTO,Korčula
Pelješac Bridge,ISRELATEDTO,Lastovo
Hrvatske Ceste,ISRELATEDTO,Chinese Consortium
China Road And Bridge Corporation,ISPARTOF,Chinese Consortium
Pelješac Bridge Construction July 2018,ISRELATEDTO,Hrvatske Ceste
Pelješac Bridge Construction July 2018,ISRELATEDTO,Chinese Consortium
European Union Funding Pelješac Bridge,ISRELATEDTO,European Union
European Union Funding Pelješac Bridge,ISRELATEDTO,Pelješac Bridge
Pelješac Bridge Completion July 2022,ISRELATEDTO,Pelješac Bridge
Franjo Tuđman Airport,ISCONTAINEDIN,Zagreb
Dubrovnik,ISCONTAINEDIN,Croatia
Osijek,ISCONTAINEDIN,Croatia
Pula,ISCONTAINEDIN,Croatia
Rijeka,ISCONTAINEDIN,Croatia
Split,ISCONTAINEDIN,Croatia
Zadar,ISCONTAINEDIN,Croatia
Zagreb,ISCONTAINEDIN,Croatia
Franko Tuđman Airport,ISCONTAINEDIN,Croatia
Croatia Airlines,ISRELATEDTO,Airbus A220-300
Croatia Airlines,ISRELATEDTO,Airbus A220-100
Croatia Airlines,ISRELATEDTO,Zagreb
Croatia Airlines,ISRELATEDTO,Tirana
Croatia Airlines,ISRELATEDTO,Berlin
Croatia Airlines,ISRELATEDTO,Stockholm
Croatia Airlines,ISRELATEDTO,Hamburg
Port Of Rijeka,ISRELATEDTO,Rijeka
Split,ISRELATEDTO,Croatia
Zadar,ISRELATEDTO,Croatia
Vukovar,ISCONTAINEDIN,Danube
Vukovar,ISRELATEDTO,Pan-European Transport Corridor Vii
Rijeka Oil Terminal,ISCONTAINEDIN,Rijeka
Rijeka Oil Terminal,ISRELATEDTO,Sisak
Okoli Natural Gas Storage Facility,ISCONTAINEDIN,Croatia
Krk Island,ISCONTAINEDIN,Croatia
Lng Hrvatska,ISCONTAINEDIN,Krk Island
Krško Nuclear Power Plant,ISCONTAINEDIN,Slovenia
Krško Nuclear Power Plant,ISRELATEDTO,Hrvatska Elektroprivreda
Bosnia And Herzegovina,ISRELATEDTO,Croatia
Office Of Displaced Persons And Refugees,ISRELATEDTO,Croatia
Croats,ISCONTAINEDIN,Croatia
Serbs,ISCONTAINEDIN,Croatia
Operation Storm,OCCURSAT,Croatia
United Nations,ISRELATEDTO,Croatia
European Union,ISRELATEDTO,Croatia
Croatia,ISRELATEDTO,European Union
Croatian Language,ISRELATEDTO,Croatia
Croatian Language,ISRELATEDTO,Latin
Croatian Language,ISRELATEDTO,Yugoslavia
Croatian Language,ISRELATEDTO,South Slavic Languages
Croatian Language,ISRELATEDTO,Shtokavian Dialect
Croatian Language,ISRELATEDTO,Chakavian Dialect
Croatian Language,ISRELATEDTO,Kajkavian Dialect
English,ISRELATEDTO,Croatia
German,ISRELATEDTO,Croatia
Italian,ISRELATEDTO,Croatia
French,ISRELATEDTO,Croatia
Russian,ISRELATEDTO,Croatia
Spanish,ISRELATEDTO,Croatia
Czech,ISRELATEDTO,Croatia
Hungarian,ISRELATEDTO,Croatia
Serbian,ISRELATEDTO,Croatia
Slovak,ISRELATEDTO,Croatia
Bosniaks,ISCONTAINEDIN,Croatia
Roma,ISCONTAINEDIN,Croatia
Albanians,ISCONTAINEDIN,Croatia
Hungarians,ISCONTAINEDIN,Croatia
Czechs,ISCONTAINEDIN,Croatia
Slovenes,ISCONTAINEDIN,Croatia
Slovaks,ISCONTAINEDIN,Croatia
Macedonians,ISCONTAINEDIN,Croatia
Germans,ISCONTAINEDIN,Croatia
Montenegrins,ISCONTAINEDIN,Croatia
Bulgarians,ISRELATEDTO,Croatia
Hebrew,ISRELATEDTO,Croatia
Polish,ISRELATEDTO,Croatia
Romanian,ISRELATEDTO,Croatia
Istro-Romanian,ISRELATEDTO,Croatia
Romani,ISRELATEDTO,Croatia
Rusyn,ISRELATEDTO,Croatia
Turkish,ISRELATEDTO,Croatia
Ukrainian,ISRELATEDTO,Croatia
Primary Education In Croatia,OCCURSAT,Croatia
Secondary Education In Croatia,OCCURSAT,Croatia
University Of Zadar,ISCONTAINEDIN,Croatia
University Of Zagreb,ISCONTAINEDIN,Croatia
Ruđer Bošković Institute,ISCONTAINEDIN,Zagreb
Croatian Academy Of Sciences And Arts,ISCONTAINEDIN,Zagreb
European Investment Bank,ISRELATEDTO,Croatia
European Investment Bank,ISRELATEDTO,City Of Zagreb
European Investment Bank,ISRELATEDTO,City Of Split
City Of Zagreb,ISRELATEDTO,Zagreb
City Of Split,ISRELATEDTO,Split
Unesco,ISRELATEDTO,Croatia
Interliber,OCCURSAT,Zagreb Fair
Ministry Of Culture,ISRELATEDTO,Croatia
Illyrian Movement,ISRELATEDTO,Croatia
Croatia,ISRELATEDTO,Western Roman Empire
Croatia,ISRELATEDTO,Byzantine Empire
Croatia,ISRELATEDTO,Central Europe
Croatia,ISRELATEDTO,Mediterranean Culture
Tvrđa,ISPARTOF,Osijek
Osijek,ISCONTAINEDIN,Croatia
Varaždin,ISCONTAINEDIN,Croatia
Karlovac,ISCONTAINEDIN,Croatia
Dalmatia,ISCONTAINEDIN,Croatia
Istria,ISCONTAINEDIN,Croatia
Giorgio Da Sebenico,ISRELATEDTO,Cathedral Of St. James In Šibenik
Nicolas Of Florence,ISRELATEDTO,Cathedral Of St. James In Šibenik
Cathedral Of St. James In Šibenik,ISCONTAINEDIN,Croatia
Church Of St. Donatus In Zadar,ISCONTAINEDIN,Zadar
Radovan,ISRELATEDTO,Trogir Cathedral
Trogir Cathedral,ISCONTAINEDIN,Croatia
Baška Tablet,OCCURSAT,Krk Island
Marko Marulić,ISRELATEDTO,Croatia
Marin Držić,ISRELATEDTO,Croatia
Ivan Gundulić,ISRELATEDTO,Croatia
Ivan Mažuranić,ISRELATEDTO,Croatia
August Šenoa,ISRELATEDTO,Croatia
Ivana Brlić-Mažuranić,ISRELATEDTO,Croatia
Marija Jurić Zagorka,ISRELATEDTO,Croatia
Antun Gustav Matoš,ISRELATEDTO,Croatia
Antun Branko Šimić,ISRELATEDTO,Croatia
Miroslav Krleža,ISRELATEDTO,Croatia
Tin Ujević,ISRELATEDTO,Croatia
Ivo Andrić,ISRELATEDTO,Croatia
Vatroslav Lisinski,ISRELATEDTO,Love And Malice
Ivan Zajc,ISRELATEDTO,Croatia
Ivo Pogorelić,ISRELATEDTO,Croatia
Hrt,ISRELATEDTO,Croatia
Hina,ISRELATEDTO,Croatia
Reporters Without Borders,ISRELATEDTO,Croatia
Freedom House,ISRELATEDTO,Croatia
Croatian Radiotelevision,ISRELATEDTO,Croatia
Rtl Televizija,ISRELATEDTO,Croatia
Nova Tv,ISRELATEDTO,Croatia
Croatian Olympic Committee,ISRELATEDTO,Croatia
Kapital Net D.O.O.,ISRELATEDTO,Croatia
Author D.O.O.,ISRELATEDTO,Croatia
Hanza Media,ISRELATEDTO,Croatia
Styria Media Group,ISRELATEDTO,Croatia
Jutarnji List,ISPARTOF,Hanza Media
Večernji List,ISPARTOF,Styria Media Group
24Sata,ISPARTOF,Styria Media Group
Croatia,WASPRESENTAT,Eurovision Song Contest
Yugoslavia,WASPRESENTAT,Eurovision Song Contest
Riva,WASPRESENTAT,Eurovision Song Contest
Riva,ISRELATEDTO,Yugoslavia
Ministry Of Culture,ISRELATEDTO,Croatia
Hrt,ISRELATEDTO,Ministry Of Culture
Pula Film Festival,OCCURSAT,Pula
Animafest Zagreb,OCCURSAT,Zagreb
Dušan Vukotić,ISRELATEDTO,Ersatz (Surogat)
Branko Lustig,ISRELATEDTO,Schindler'S List
Branko Lustig,ISRELATEDTO,Gladiator
Nebojša Slijepčević,ISRELATEDTO,The Man Who Could Not Remain Silent
Game Of Thrones,OCCURSAT,Croatia
Star Wars: The Last Jedi,OCCURSAT,Croatia
Robin Hood,OCCURSAT,Dubrovnik
Speak No Evil,OCCURSAT,Croatia
Season Of The Witch,OCCURSAT,Istria
Titius,OCCURSAT,Istria
Infinity Pool,OCCURSAT,Šibenik
Armour Of God,OCCURSAT,Zagreb
Fiddler On The Roof,OCCURSAT,Zagreb
Sophie'S Choice,OCCURSAT,Zagreb
Mamma Mia! Here We Go Again,OCCURSAT,Vis
Succession,OCCURSAT,Korčula
Hercules,OCCURSAT,Split
The Weekend Away,OCCURSAT,Split
Bliss,OCCURSAT,Split
