s,p,o
Parliament Dissolution Vote (28 October 2011),WASPRESENTAT,Sabor
Dissolution Of Sabor Agreed By President (31 October 2011),OCCURSAT,Croatia
Dissolution Of Sabor Agreed By President (31 October 2011),WASPRESENTAT,Ivo Josipović
Elections (4 December 2011),OCCURSAT,Croatia
2015 European Migrant Crisis In Croatia,OCCURSAT,Croatia
Andrej Plenković Became Prime Minister (19 October 2016),OCCURSAT,Croatia
Andrej Plenković Became Prime Minister (19 October 2016),WASPRESENTAT,Andrej Plenković
Presidential Elections (5 January 2020),OCCURSAT,Croatia
Presidential Elections (5 January 2020),WASPRESENTAT,Zoran Milanović
Joined Erm Ii (10 July 2020),OCCURSAT,Croatia
Joined Erm Ii (10 July 2020),WASPRESENTAT,Erm Ii
Adopted The Euro And Joined Eurozone (1 January 2023),OCCURSAT,Croatia
Adopted The Euro And Joined Eurozone (1 January 2023),WASPRESENTAT,Eurozone
Joined Schengen Area (1 January 2023),OCCURSAT,Croatia
Joined Schengen Area (1 January 2023),WASPRESENTAT,Schengen Area
Oecd Council Opened Accession Negotiations With Croatia (25 January 2022),OCCURSAT,Croatia
Oecd Council Opened Accession Negotiations With Croatia (25 January 2022),WASPRESENTAT,Oecd Council
Oecd Accession Roadmap (June 2022),OCCURSAT,Croatia
Oecd Accession Roadmap (June 2022),WASPRESENTAT,Oecd
Joined Nato (1 April 2009),WASPRESENTAT,Nato
Lowest Temperature Recorded In Čakovec (3 February 1919),OCCURSAT,Čakovec
Highest Temperature Recorded In Ploče (4 August 1981),OCCURSAT,Ploče
Serb Paramilitary Campaign Against Croats In Occupied Territories (1991),OCCURSAT,Croatia
Serb Paramilitary Campaign Against Croats In Occupied Territories (1991),WASPRESENTAT,Serb Paramilitary Groups
Displacement Of Croatian Serbs In Eastern And Western Slavonia And Parts Of Krajina,OCCURSAT,Eastern Slavonia
Displacement Of Croatian Serbs In Eastern And Western Slavonia And Parts Of Krajina,OCCURSAT,Western Slavonia
Displacement Of Croatian Serbs In Eastern And Western Slavonia And Parts Of Krajina,OCCURSAT,Krajina
Displacement Of Croatian Serbs In Eastern And Western Slavonia And Parts Of Krajina,WASPRESENTAT,Croatian Armed Forces
Displacement Of Croatian Serbs In Eastern And Western Slavonia And Parts Of Krajina,WASPRESENTAT,Croatian Government
Post-1995 Exodus And Killings Of Serb Civilians,OCCURSAT,Krajina
Post-1995 Exodus And Killings Of Serb Civilians,OCCURSAT,Croatia
Post-1995 Exodus And Killings Of Serb Civilians,WASPRESENTAT,Republic Of Serbian Krajina
Settlement Of Serb Homes By Croat Refugees From Bosnia And Herzegovina,OCCURSAT,Croatia
Settlement Of Serb Homes By Croat Refugees From Bosnia And Herzegovina,ISRELATEDTO,Bosnia And Herzegovina
National Ecological Network Set Up (2005),OCCURSAT,Croatia
National Ecological Network Set Up (2005),WASPRESENTAT,National Ecological Network
Croatian Troops Served In Isaf In Afghanistan (2019),OCCURSAT,Afghanistan
Croatian Troops Served In Isaf In Afghanistan (2019),WASPRESENTAT,Croatian Armed Forces
Croatian Troops Served In Isaf In Afghanistan (2019),WASPRESENTAT,Isaf
Croatian Troops Served With Kfor In Kosovo (2019),OCCURSAT,Kosovo
Croatian Troops Served With Kfor In Kosovo (2019),WASPRESENTAT,Croatian Armed Forces
Croatian Troops Served With Kfor In Kosovo (2019),WASPRESENTAT,Kfor
Compulsory Conscription Abolished (January 2008),OCCURSAT,Croatia
Compulsory Conscription Abolished (January 2008),WASPRESENTAT,Croatian Armed Forces
Compulsory Conscription Reintroduction Planned (January 2025),OCCURSAT,Croatia
Compulsory Conscription Reintroduction Planned (January 2025),WASPRESENTAT,Croatian Armed Forces
2024 Global Peace Index Ranking,OCCURSAT,Croatia
2024 Global Peace Index Ranking,WASPRESENTAT,Global Peace Index
Zagreb,ISCONTAINEDIN,Croatia
Zagreb County,ISCONTAINEDIN,Croatia
Koprivnica-Križevci County,ISCONTAINEDIN,Croatia
Krapina-Zagorje County,ISCONTAINEDIN,Croatia
Međimurje County,ISCONTAINEDIN,Croatia
Varaždin County,ISCONTAINEDIN,Croatia
Bjelovar-Bilogora County,ISCONTAINEDIN,Croatia
Brod-Posavina County,ISCONTAINEDIN,Croatia
Karlovac County,ISCONTAINEDIN,Croatia
Osijek-Baranja County,ISCONTAINEDIN,Croatia
Požega-Slavonia County,ISCONTAINEDIN,Croatia
Sisak-Moslavina County,ISCONTAINEDIN,Croatia
Virovitica-Podravina County,ISCONTAINEDIN,Croatia
Vukovar-Syrmia County,ISCONTAINEDIN,Croatia
Dalmatia,ISCONTAINEDIN,Croatia
Dubrovnik,ISCONTAINEDIN,Croatia
Istria,ISCONTAINEDIN,Croatia
Opatija,ISCONTAINEDIN,Croatia
Dubrovnik-Neretva County,ISCONTAINEDIN,Croatia
Pelješac Bridge,ISCONTAINEDIN,Croatia
Pelješac Peninsula,ISCONTAINEDIN,Croatia
Korčula,ISCONTAINEDIN,Croatia
Lastovo,ISCONTAINEDIN,Croatia
Franjo Tuđman Airport,ISCONTAINEDIN,Zagreb
Split,ISCONTAINEDIN,Croatia
Zadar,ISCONTAINEDIN,Croatia
Rijeka,ISCONTAINEDIN,Croatia
Osijek,ISCONTAINEDIN,Croatia
Pula,ISCONTAINEDIN,Croatia
Vukovar,ISCONTAINEDIN,Croatia
Port Of Rijeka,ISCONTAINEDIN,Rijeka
Krk,ISCONTAINEDIN,Croatia
Lng Hrvatska,ISCONTAINEDIN,Krk
Okoli Natural Gas Storage Facility,ISCONTAINEDIN,Croatia
Rijeka Oil Terminal,ISCONTAINEDIN,Rijeka
Rijeka Refinery,ISCONTAINEDIN,Rijeka
Sisak,ISCONTAINEDIN,Croatia
Sisak Refinery,ISCONTAINEDIN,Sisak
Krško Nuclear Power Plant,ISCONTAINEDIN,Slovenia
Croatian Motorway Network,ISCONTAINEDIN,Croatia
Koprivnica-Križevci County,ISPARTOF,Northwest Croatia
Krapina-Zagorje County,ISPARTOF,Northwest Croatia
Međimurje County,ISPARTOF,Northwest Croatia
Varaždin County,ISPARTOF,Northwest Croatia
Zagreb,ISPARTOF,Northwest Croatia
Zagreb County,ISPARTOF,Northwest Croatia
Bjelovar-Bilogora County,ISPARTOF,Central And Eastern (Pannonian) Croatia
Brod-Posavina County,ISPARTOF,Central And Eastern (Pannonian) Croatia
Karlovac County,ISPARTOF,Central And Eastern (Pannonian) Croatia
Osijek-Baranja County,ISPARTOF,Central And Eastern (Pannonian) Croatia
Požega-Slavonia County,ISPARTOF,Central And Eastern (Pannonian) Croatia
Sisak-Moslavina County,ISPARTOF,Central And Eastern (Pannonian) Croatia
Virovitica-Podravina County,ISPARTOF,Central And Eastern (Pannonian) Croatia
Vukovar-Syrmia County,ISPARTOF,Central And Eastern (Pannonian) Croatia
Nomenclature Of Territorial Units For Statistics (Nuts),ISRELATEDTO,Croatia
Lau,ISRELATEDTO,Croatia
Pan-European Corridor Vb,ISRELATEDTO,Rijeka
Pan-European Corridor Vb,ISRELATEDTO,Budapest
Pan-European Corridor Vb,ISRELATEDTO,Zagreb
Pan-European Corridor X,ISRELATEDTO,Ljubljana
Pan-European Corridor X,ISRELATEDTO,Belgrade
Pan-European Corridor X,ISRELATEDTO,Zagreb
Vukovar,ISRELATEDTO,Pan-European Transport Corridor Vii
Vukovar,ISRELATEDTO,Danube
A1 Motorway,ISRELATEDTO,Zagreb
A1 Motorway,ISRELATEDTO,Split
A3 Motorway,ISRELATEDTO,Northwest Croatia
A3 Motorway,ISRELATEDTO,Slavonia
Eurotap,ISRELATEDTO,Croatian Motorway Network
Eurotest,ISRELATEDTO,Croatian Motorway Network
Hrvatske Ceste (Hc),ISRELATEDTO,Pelješac Bridge
China Road And Bridge Corporation (Crbc),ISRELATEDTO,Pelješac Bridge
European Union,ISRELATEDTO,Pelješac Bridge
Pelješac Bridge,ISRELATEDTO,Dubrovnik-Neretva County
Pelješac Bridge,ISRELATEDTO,Pelješac Peninsula
Pelješac Bridge,ISRELATEDTO,Korčula
Pelješac Bridge,ISRELATEDTO,Lastovo
European Investment Bank,ISRELATEDTO,Croatian Railways
Croatian Railways,ISRELATEDTO,Croatia
Croatia Airlines,ISRELATEDTO,Zagreb
Croatia Airlines,ISRELATEDTO,Tirana
Croatia Airlines,ISRELATEDTO,Berlin
Croatia Airlines,ISRELATEDTO,Stockholm
Croatia Airlines,ISRELATEDTO,Hamburg
Rijeka Oil Terminal,ISRELATEDTO,Rijeka Refinery
Rijeka Oil Terminal,ISRELATEDTO,Sisak Refinery
Lng Hrvatska,ISRELATEDTO,Croatia
Okoli Natural Gas Storage Facility,ISRELATEDTO,Croatia
Krško Nuclear Power Plant,ISRELATEDTO,Hrvatska Elektroprivreda
Krško Nuclear Power Plant,ISRELATEDTO,Croatia
Hrvatska Elektroprivreda,ISRELATEDTO,Croatia
Croatia,ISRELATEDTO,Germany
Croatia,ISRELATEDTO,Italy
Croatia,ISRELATEDTO,Slovenia
Croatia,ISRELATEDTO,United Kingdom
